Company Name,Industry,Symbol,Series,ISIN Code
International Holding Company PJSC,Financials,IHC.AD,EQ,AEI000201014
ADNOC Gas plc,Energy,ADNOCGAS.AD,EQ,AEE01195A234
Abu Dhabi National Energy Company PJSC (TAQA),Utilities,TAQA.AD,EQ,AEA002401015
First Abu Dhabi Bank PJSC,Financials,FAB.AD,EQ,AEN000101016
Emirates NBD Bank PJSC,Financials,EMIRATESNBD.DU,EQ,AEE000801010
Emirates Telecom Group Company (e&) PJSC,Communication Services,EAND.AD,EQ,AEE000401019
Dubai Electricity & Water Authority PJSC,Utilities,DEWA.DU,EQ,AED001801011
Abu Dhabi Commercial Bank PJSC,Financials,ADCB.AD,EQ,AEA000201011
Emaar Properties PJSC,Real Estate,EMAAR.DU,EQ,AEE000301011
ADNOC Drilling Company PJSC,Industrials,ADNOCDRILL.AD,EQ,AEA007301012
Two Point Zero Group PJSC,Industrials,2POINTZERO.AD,EQ,AEM001001019
Abu Dhabi Islamic Bank PJSC,Financials,ADIB.AD,EQ,AEA000801018
Borouge PLC,Materials,BOROUGE.AD,EQ,AEE01072B225
Alpha Dhabi Holding PJSC,Industrials,ALPHADHABI.AD,EQ,AEA007601015
Aldar Properties PJSC,Real Estate,ALDAR.AD,EQ,AEA002001013
Emaar Development PJSC,Real Estate,EMAARDEV.DU,EQ,AEE001901017
Dubai Islamic Bank PJSC,Financials,DIB.DU,EQ,AED000201015
Emirates Integrated Telecommunications Company PJSC (du),Communication Services,DU.DU,EQ,AEE000701012
Mashreqbank PSC,Financials,MASQ.DU,EQ,AEM000101018
Modon Holding PSC,Real Estate,MODON.AD,EQ,AEA006501018
Abu Dhabi National Oil Company For Distribution,Consumer Staples,ADNOCDIST.AD,EQ,AEA006101017
ADNOC Logistics & Services plc,Industrials,ADNOCLS.AD,EQ,AEE01268A239
Salik Company PJSC,Industrials,SALIK.DU,EQ,AEE01110S227
Talabat Holding Plc,Industrials,TALABAT.DU,EQ,AEE01569T248
Commercial Bank of Dubai PSC,Financials,CBD.DU,EQ,AEC000201017
Fertiglobe plc,Materials,FERTIGLB.AD,EQ,AEF000901015
Pure Health Holding PJSC,Health Care,PUREHEALTH.AD,EQ,AEE01362P238
Air Arabia PJSC,Industrials,AIRARABIA.DU,EQ,AEA003001012
Abu Dhabi Ports Company PJSC,Industrials,ADPORTS.AD,EQ,AEA004601018
Presight AI Holding PLC,Technology,PRESIGHT.AD,EQ,AEE01200P230
Agility Global PLC,Industrials,AGILITY.AD,EQ,AEE01376A248
Parkin Co. PJSC,Consumer Discretionary,PARKIN.DU,EQ,AEE01370P249
