Company Name,Industry,Symbol,Series,ISIN Code
Parkin Co. PJSC,Consumer Discretionary,PARKIN.DU,EQ,AEE01370P249
Americana Restaurants International PLC,Consumer Discretionary,AMR.AD,EQ,AEE01135A222
Lulu Retail Holdings PLC,Consumer Discretionary,LULU.AD,EQ,AEE01487L240
Alef Education Holding plc,Consumer Discretionary,ALEFEDT.AD,EQ,AEE01388A243
Abu Dhabi National Hotels Co.,Consumer Discretionary,ADNH.AD,EQ,AEA000301019
Spinneys 1961 Holding plc,Consumer Discretionary,SPINNEYS.DU,EQ,AEE01377S248
Union Coop,Consumer Discretionary,UNIONCOOP.DU,EQ,AEE01083U222
Emirates Mobility Company PJSC,Consumer Discretionary,EMOBILITY.AD,EQ,AEE000601014
National Corporation for Tourism & Hotels,Consumer Discretionary,NCTH.AD,EQ,AEN001001017
Taaleem Holdings PJSC,Consumer Discretionary,TAALEEM.DU,EQ,AEE01136T220
Al Seer Marine Supplies & Equipment Company PJSC,Consumer Discretionary,ASM.AD,EQ,AEA007701013
ADNH Catering plc,Consumer Discretionary,ADNHC.AD,EQ,AEE01486A245
Palms Sports PrJSC,Consumer Discretionary,PALMS.AD,EQ,AEP000201019
Easy Lease Motorcycle Rental PJSC,Consumer Discretionary,EASYLEASE.AD,EQ,AEE002801018
Al Firdous Holdings PJSC,Consumer Discretionary,ALFIRDOUS.DU,EQ,AEA003101010
ALEC Holdings PJSC,Consumer Discretionary,ALEC.DU,EQ,AEE01710A255
