Company Name,Industry,Symbol,Series,ISIN Code
International Holding Company PJSC,Financials,IHC.AD,EQ,AEI000201014
First Abu Dhabi Bank PJSC,Financials,FAB.AD,EQ,AEN000101016
Emirates NBD Bank PJSC,Financials,EMIRATESNBD.DU,EQ,AEE000801010
Abu Dhabi Commercial Bank PJSC,Financials,ADCB.AD,EQ,AEA000201011
Abu Dhabi Islamic Bank PJSC,Financials,ADIB.AD,EQ,AEA000801018
Dubai Islamic Bank PJSC,Financials,DIB.DU,EQ,AED000201015
Mashreqbank PSC,Financials,MASQ.DU,EQ,AEM000101018
Commercial Bank of Dubai PSC,Financials,CBD.DU,EQ,AEC000201017
The National Bank of Ras Al Khaimah (RAKBANK),Financials,RAKBANK.AD,EQ,AEN000601015
Dubai Residential REIT,Financials,DUBAIRESI.DU,EQ,AEE01657D252
Sharjah Islamic Bank,Financials,SIB.AD,EQ,AES000201013
Dubai Financial Market PJSC,Financials,DFM.DU,EQ,AED000901010
National Bank of Fujairah,Financials,NBF.AD,EQ,AEN000801011
Invest Bank,Financials,INB.AD,EQ,AEI000101016
National Bank of Umm Al Qaiwain,Financials,NBQ.AD,EQ,AEN000701013
United Arab Bank,Financials,UAB.AD,EQ,AEU000601010
Abu Dhabi National Insurance Company PJSC,Financials,ADNIC.AD,EQ,AEA001101012
PHOENIX GROUP   PLC,Financials,PHX.AD,EQ,AEE01357P238
Ajman Bank PJSC,Financials,AJMANBANK.DU,EQ,AEA003201018
Waha Capital Company PJSC,Financials,WAHA.AD,EQ,AEA000701010
ANAN INVESTMENT HOLDING P.J.S.C,Financials,ANAN.AD,EQ,AEW000201015
Investcorp Capital PLC,Financials,ICAP.AD,EQ,AEE01354I230
Amanat Holdings PJSC,Financials,AMANAT.DU,EQ,AEA005901011
Bank of Sharjah PJSC,Financials,BOS.AD,EQ,AEB000101011
Sukoon Insurance PJSC,Financials,SUKOON.DU,EQ,AEO000101014
MAIR Group PJSC,Financials,MAIR.AD,EQ,AEE01571M249
Amlak Finance PJSC,Financials,AMLAK.DU,EQ,AEA001201010
E7 Group PJSC,Financials,E7.AD,EQ,AEE01073A225
Dubai Insurance Company PSC,Financials,DIN.DU,EQ,AED000301013
ESHRAQ INVESTMENTS P.J.S.C,Financials,ESHRAQ.AD,EQ,AEE000901018
National General Insurance Co. PJSC,Financials,NGI.DU,EQ,AEN000301012
Manazel PJSC,Financials,MANAZEL.AD,EQ,AEM000601017
Al Ramz Corporation Investment & Development PJSC,Financials,ALRAMZ.DU,EQ,AED000801012
Shuaa Capital PSC,Financials,SHUAA.DU,EQ,AES000101015
Al Dhafra Insurance Co.,Financials,DHAFRA.AD,EQ,AEA000601012
Emirates Investment Bank PJSC,Financials,EIBANK.DU,EQ,AEA001301018
Al Buhaira National Insurance Company,Financials,ABNIC.AD,EQ,AEA001701019
Islamic Arab Insurance Co. (Salama),Financials,SALAMA.DU,EQ,AEI000301012
BHM Capital Financial Services PSC,Financials,BHMCAPITAL.DU,EQ,AEA006001019
Umm Al Qaiwain General Investment Co. PSC,Financials,QIC.AD,EQ,AEU000701018
Al Khaleej Investment PJSC,Financials,KICO.AD,EQ,AEG000701017
Abu Dhabi National Takaful Co.,Financials,TKFL.AD,EQ,AEA001801017
Dubai National Insurance & Reinsurance Co. PSC,Financials,DNIR.DU,EQ,AED000101017
Takaful Emarat - Insurance (PSC),Financials,TAKAFUL_EM.DU,EQ,AET000201011
Orient Insurance PJSC,Financials,ORIENT.DU,EQ,AEA002601010
Union Insurance Company,Financials,UNION.AD,EQ,AEU000501012
Hayah Insurance Company P.J.S.C,Financials,HAYAH.AD,EQ,AEG000801015
Sharjah Insurance Company,Financials,SICO.AD,EQ,AES000301011
Sukoon Takaful PJSC,Financials,SUKOONTAKAFL.DU,EQ,AEA001401016
Insurance House PJSC,Financials,IH.AD,EQ,AEI000401010
Watania International Holding PJSC,Financials,WATANIA.DU,EQ,AET000301019
Aram Group PJSC,Financials,ARAM.AD,EQ,AES000601014
Al Sagr National Insurance Co. PSC,Financials,ASNIC.DU,EQ,AEA002101011
Dubai Islamic Insurance & Reinsurance Co.,Financials,AMAN.DU,EQ,AED000401011
