Company Name,Industry,Symbol,Series,ISIN Code
ADNOC Drilling Company PJSC,Industrials,ADNOCDRILL.AD,EQ,AEA007301012
Two Point Zero Group PJSC,Industrials,2POINTZERO.AD,EQ,AEM001001019
Alpha Dhabi Holding PJSC,Industrials,ALPHADHABI.AD,EQ,AEA007601015
ADNOC Logistics & Services plc,Industrials,ADNOCLS.AD,EQ,AEE01268A239
Salik Company PJSC,Industrials,SALIK.DU,EQ,AEE01110S227
Talabat Holding Plc,Industrials,TALABAT.DU,EQ,AEE01569T248
Air Arabia PJSC,Industrials,AIRARABIA.DU,EQ,AEA003001012
Abu Dhabi Ports Company PJSC,Industrials,ADPORTS.AD,EQ,AEA004601018
Agility Global PLC,Industrials,AGILITY.AD,EQ,AEE01376A248
NMDC Group PJSC,Industrials,NMDC.AD,EQ,AEN000401010
NMDC Energy PJSC,Industrials,NMDCENR.AD,EQ,AEE01456N241
Gulf Navigation Holding PJSC,Industrials,GULFNAV.DU,EQ,AEG000601019
Al Ansari Financial Services PJSC,Industrials,ALANSARI.DU,EQ,AEE01198A238
Orascom Construction PLC,Industrials,ORAS.AD,EQ,AEE01702O253
Abu Dhabi Aviation Co.,Industrials,ADAVIATION.AD,EQ,AEA001001014
Dubai Taxi Co. PJSC,Industrials,DTC.DU,EQ,AEE01356D236
ESG Emirates Stallions Group PJSC,Industrials,ESG.AD,EQ,AEE002901016
Aramex PJSC,Industrials,ARMX.DU,EQ,AEA002301017
RAK Ceramics PJSC,Industrials,RAKCEC.AD,EQ,AER000301013
Abu Dhabi Ship Building Co.,Industrials,ADSB.AD,EQ,AEA000901016
Drake & Scull International PJSC,Industrials,DSI.DU,EQ,AED001101016
Depa Plc,Industrials,DEPA.DU,EQ,AEDFXA0NFP81
Depa PLC Class A,Industrials,DEPACLA.DU,EQ,AEDFXA20E018
