Company Name,Industry,Symbol,Series,ISIN Code
Borouge PLC,Materials,BOROUGE.AD,EQ,AEE01072B225
Fertiglobe plc,Materials,FERTIGLB.AD,EQ,AEF000901015
Dubai Investment PJSC,Materials,DIC.DU,EQ,AED000601016
Apex Investment PJSC,Materials,APEX.AD,EQ,AER000401011
Emirates Steel ARKAN Building Materials PJSC,Materials,EMSTEEL.AD,EQ,AEA002801016
Abu Dhabi National Co. for Building Materials,Materials,BILDCO.AD,EQ,AEA000501014
National Cement Company PSC,Materials,NCC.DU,EQ,AEN000901019
Sharjah Cement and Industrial Development Co.,Materials,SCIDC.AD,EQ,AES000401019
RAK Co. for White Cement & Construction Materials,Materials,RAKWCT.AD,EQ,AER000101017
Fujairah Building Industries PSC,Materials,FBI.AD,EQ,AEF000501013
Gulf Cement Co.,Materials,GCEM.AD,EQ,AEG000101010
RAPCO Investment PJSC,Materials,RAPCO.AD,EQ,AER000201015
Fujairah Cement Industries,Materials,FCI.AD,EQ,AEF000301018
