Company Name,Industry,Symbol,Series,ISIN Code
Emaar Properties PJSC,Real Estate,EMAAR.DU,EQ,AEE000301011
Aldar Properties PJSC,Real Estate,ALDAR.AD,EQ,AEA002001013
Emaar Development PJSC,Real Estate,EMAARDEV.DU,EQ,AEE001901017
Modon Holding PSC,Real Estate,MODON.AD,EQ,AEA006501018
TECOM Group PJSC,Real Estate,TECOM.DU,EQ,AEE01081T004
Deyaar Development PJSC,Real Estate,DEYAAR.DU,EQ,AED001001018
RAK Properties PJSC,Real Estate,RAKPROP.AD,EQ,AER000601016
Union Properties PJSC,Real Estate,UPP.DU,EQ,AEU000101011
Al Mal Capital REIT,Real Estate,AMCREIT.DU,EQ,AEA003630067
Emirates REIT (CEIC) PLC,Real Estate,REIT.DU,EQ,AEDFXA1XE5D7
ENBD REIT (CEIC) PLC,Real Estate,ENBDREIT.DU,EQ,AEDFXA1CN004
