Company Name,Industry,Symbol,Series,ISIN Code
International Holding Co,Financials,IHC.AD,EQ,
First Abu Dhabi Bank,Financials,FAB.AD,EQ,
Emirates Telecom (e&),CommServices,EAND.AD,EQ,
Abu Dhabi Commercial Bank,Financials,ADCB.AD,EQ,
Aldar Properties,RealEstate,ALDAR.AD,EQ,
ADNOC Gas,Energy,ADNOCGAS.AD,EQ,
ADNOC Drilling,Energy,ADNOCDRILL.AD,EQ,
ADNOC Distribution,Energy,ADNOCDIST.AD,EQ,
Abu Dhabi Islamic Bank,Financials,ADIB.AD,EQ,
Alpha Dhabi Holding,Financials,ALPHADHABI.AD,EQ,
Multiply Group,Financials,MULTIPLY.AD,EQ,
Fertiglobe,Materials,FERTIGLB.AD,EQ,
Borouge,Materials,BOROUGE.AD,EQ,
Pure Health Holding,Healthcare,PUREHEALTH.AD,EQ,
Americana Restaurants,ConsumerDisc,AMR.AD,EQ,
Q Holding,Industrials,QHOLDING.AD,EQ,
Emirates NBD,Financials,EMIRATESNBD.DU,EQ,
Emaar Properties,RealEstate,EMAAR.DU,EQ,
Dubai Islamic Bank,Financials,DIB.DU,EQ,
Emaar Development,RealEstate,EMAARDEV.DU,EQ,
Dubai Electricity Water,Utilities,DEWA.DU,EQ,
Salik Company,Industrials,SALIK.DU,EQ,
Emirates Central Cooling,Utilities,EMPOWER.DU,EQ,
Commercial Bank of Dubai,Financials,CBD.DU,EQ,
Mashreqbank,Financials,MASQ.DU,EQ,
Dubai Financial Market,Financials,DFM.DU,EQ,
Air Arabia,Industrials,AIRARABIA.DU,EQ,
Amlak Finance,Financials,AMLAK.DU,EQ,
Tabreed,Utilities,TABREED.DU,EQ,
Parkin Company,Industrials,PARKIN.DU,EQ,
Talabat Holding,Technology,TALABAT.DU,EQ,
Dubai Investments,Financials,DIC.DU,EQ,
Union Properties,RealEstate,UPP.DU,EQ,
Gulf Navigation,Industrials,GULFNAV.DU,EQ,
Agility,Industrials,ARTC.DU,EQ,
