Company Name,Industry,Symbol,Series,ISIN Code
BHP,Materials,BHP.AX,EQ,AU000000BHP4
Commonwealth Bank,Financials,CBA.AX,EQ,AU000000CBA7
Rio Tinto,Materials,RIO.AX,EQ,AU000000RIO1
Newmont,Materials,NEM.AX,EQ,AU0000297962
Westpac,Financials,WBC.AX,EQ,AU000000WBC1
National Australia Bank,Financials,NAB.AX,EQ,AU000000NAB4
Australia & New Zealand Banking Group,Financials,ANZ.AX,EQ,AU000000ANZ3
Wesfarmers,Consumer Discretionary,WES.AX,EQ,AU000000WES1
Macquarie Group,Financials,MQG.AX,EQ,AU000000MQG1
Goodman Group,Real Estate,GMG.AX,EQ,AU000000GMG2
Fortescue,Materials,FMG.AX,EQ,AU000000FMG4
Woodside Energy Group,Energy,WDS.AX,EQ,AU0000224040
Block,Financials,XYZ.AX,EQ,AU0000380420
Telstra,Communication Services,TLS.AX,EQ,AU000000TLS2
CSL,Health Care,CSL.AX,EQ,AU000000CSL8
Transurban,Industrials,TCL.AX,EQ,AU000000TCL6
Woolworths Group,Consumer Staples,WOW.AX,EQ,AU000000WOW2
ResMed,Health Care,RMD.AX,EQ,AU000000RMD6
QBE Insurance,Financials,QBE.AX,EQ,AU000000QBE9
Aristocrat Leisure,Consumer Discretionary,ALL.AX,EQ,AU000000ALL7
Coles Group,Consumer Staples,COL.AX,EQ,AU0000030678
Sigma Healthcare,Health Care,SIG.AX,EQ,AU000000SIG5
Northern Star Resources,Materials,NST.AX,EQ,AU000000NST8
Amcor,Materials,AMC.AX,EQ,AU000000AMC4
Santos,Energy,STO.AX,EQ,AU000000STO6
Alcoa,Materials,AAI.AX,EQ,AU0000339426
Brambles,Industrials,BXB.AX,EQ,AU000000BXB1
Evolution Mining,Materials,EVN.AX,EQ,AU000000EVN4
Computershare,Technology,CPU.AX,EQ,AU000000CPU5
PLS Group,Materials,PLS.AX,EQ,AU000000PLS0
News Corp Class B,Communication Services,NWS.AX,EQ,AU000000NWS2
News Corporation Shs A Chess Depository Interests repr 1 Sh,Consumer Discretionary,NWSLV.AX,EQ,AU0000NWSLV3
South32,Materials,S32.AX,EQ,AU000000S320
Scentre Group,Real Estate,SCG.AX,EQ,AU000000SCG8
James Hardie,Materials,JHX.AX,EQ,AU000000JHX1
Suncorp,Financials,SUN.AX,EQ,AU000000SUN6
Origin Energy,Utilities,ORG.AX,EQ,AU000000ORG5
