Company Name,Industry,Symbol,Series,ISIN Code
Commonwealth Bank of Australia,Financials,CBA,EQ,
Westpac Banking,Financials,WBC,EQ,
ANZ Banking Group,Financials,ANZ,EQ,
National Australia Bank,Financials,NAB,EQ,
Macquarie Group,Financials,MQG,EQ,
AMP Limited,Financials,AMP,EQ,
Insurance Australia Group,Financials,IAG,EQ,
QBE Insurance,Financials,QBE,EQ,
Suncorp Group,Financials,SUN,EQ,
ASX Limited,Financials,ASX,EQ,
Challenger Financial,Financials,CGF,EQ,
IOOF Holdings,Financials,IFL,EQ,
Perpetual,Financials,PPT,EQ,
Computershare,Financials,CPU,EQ,
Steadfast Group,Financials,SDF,EQ,
BHP Group,Materials,BHP,EQ,
Rio Tinto,Materials,RIO,EQ,
Fortescue Metals Group,Materials,FMG,EQ,
South32,Materials,S32,EQ,
Evolution Mining,Materials,EVN,EQ,
Northern Star Resources,Materials,NST,EQ,
Mineral Resources,Materials,MIN,EQ,
Pilbara Minerals,Materials,PLS,EQ,
Liontown Resources,Materials,LTR,EQ,
Iluka Resources,Materials,ILU,EQ,
IGO Limited,Materials,IGO,EQ,
Sandfire Resources,Materials,SFR,EQ,
29Metals,Materials,29M,EQ,
Coronado Global Resources,Materials,CRN,EQ,
Whitehaven Coal,Materials,WHC,EQ,
New Hope Corporation,Materials,NHC,EQ,
Yancoal Australia,Materials,YAL,EQ,
Nickel Industries,Materials,NIC,EQ,
Woodside Energy,Energy,WDS,EQ,
Santos,Energy,STO,EQ,
Beach Energy,Energy,BPT,EQ,
APA Group,Energy,APA,EQ,
Ampol,Energy,ALD,EQ,
Viva Energy,Energy,VEA,EQ,
Woolworths Group,Consumer Staples,WOW,EQ,
Coles Group,Consumer Staples,COL,EQ,
Wesfarmers,ConsumerDisc,WES,EQ,
JB Hi-Fi,ConsumerDisc,JBH,EQ,
Harvey Norman,ConsumerDisc,HVN,EQ,
Kogan.com,ConsumerDisc,KGN,EQ,
Nick Scali,ConsumerDisc,NCK,EQ,
Adairs,ConsumerDisc,ADH,EQ,
Myer Holdings,ConsumerDisc,MYR,EQ,
Premier Investments,ConsumerDisc,PMV,EQ,
Lovisa Holdings,ConsumerDisc,LOV,EQ,
CSL Limited,Healthcare,CSL,EQ,
Cochlear,Healthcare,COH,EQ,
ResMed Inc,Healthcare,RMD,EQ,
Sonic Healthcare,Healthcare,SHL,EQ,
Ramsey Health Care,Healthcare,RHC,EQ,
Healius,Healthcare,HLS,EQ,
Australian Clinical Labs,Healthcare,ACL,EQ,
Monash IVF Group,Healthcare,MVF,EQ,
Integral Diagnostics,Healthcare,IDX,EQ,
Clinuvel Pharmaceuticals,Healthcare,CUV,EQ,
Polynovo,Healthcare,PNV,EQ,
Mesoblast,Healthcare,MSB,EQ,
Transurban Group,Industrials,TCL,EQ,
Brambles,Industrials,BXB,EQ,
Downer EDI,Industrials,DOW,EQ,
Qube Holdings,Industrials,QUB,EQ,
Atlas Arteria,Industrials,ALX,EQ,
Aurizon Holdings,Industrials,AZJ,EQ,
Lindsay Australia,Industrials,LAU,EQ,
Cleanaway Waste Management,Industrials,CWY,EQ,
Xero,Technology,XRO,EQ,
WiseTech Global,Technology,WTC,EQ,
Technology One,Technology,TNE,EQ,
Appen,Technology,APX,EQ,
Objective Corporation,Technology,OCL,EQ,
HUB24,Technology,HUB,EQ,
Netwealth Group,Technology,NWL,EQ,
REA Group,Technology,REA,EQ,
Seek,Technology,SEK,EQ,
Carsales.com,Technology,CAR,EQ,
Goodman Group,RealEstate,GMG,EQ,
Scentre Group,RealEstate,SCG,EQ,
Vicinity Centres,RealEstate,VCX,EQ,
Stockland,RealEstate,SGP,EQ,
Mirvac Group,RealEstate,MGR,EQ,
Dexus,RealEstate,DXS,EQ,
Charter Hall Group,RealEstate,CHC,EQ,
GPT Group,RealEstate,GPT,EQ,
Region Group,RealEstate,RGN,EQ,
Telstra,CommServices,TLS,EQ,
TPG Telecom,CommServices,TPG,EQ,
AGL Energy,Utilities,AGL,EQ,
Origin Energy,Utilities,ORG,EQ,
Mercury NZ,Utilities,MCY,EQ,
Bendigo and Adelaide Bank,Financials,BEN,EQ,
Bank of Queensland,Financials,BOQ,EQ,
Medibank Private,Financials,MPL,EQ,
NIB Holdings,Financials,NHF,EQ,
Magellan Financial Group,Financials,MFG,EQ,
Pinnacle Investment Management,Financials,PNI,EQ,
GQG Partners,Financials,GQG,EQ,
Newmont,Materials,NEM,EQ,
James Hardie Industries,Materials,JHX,EQ,
Orica,Materials,ORI,EQ,
Incitec Pivot,Materials,IPL,EQ,
BlueScope Steel,Materials,BSL,EQ,
Amcor,Materials,AMC,EQ,
Lynas Rare Earths,Materials,LYC,EQ,
Deterra Royalties,Materials,DRR,EQ,
Karoon Energy,Energy,KAR,EQ,
Treasury Wine Estates,Consumer Staples,TWE,EQ,
Endeavour Group,Consumer Staples,EDV,EQ,
Metcash,Consumer Staples,MTS,EQ,
The A2 Milk Company,Consumer Staples,A2M,EQ,
Aristocrat Leisure,ConsumerDisc,ALL,EQ,
Tabcorp Holdings,ConsumerDisc,TAH,EQ,
Domino's Pizza Enterprises,ConsumerDisc,DMP,EQ,
Flight Centre Travel,ConsumerDisc,FLT,EQ,
Webjet,ConsumerDisc,WEB,EQ,
Breville Group,ConsumerDisc,BRG,EQ,
Super Retail Group,ConsumerDisc,SUL,EQ,
Eagers Automotive,ConsumerDisc,APE,EQ,
Fisher & Paykel Healthcare,Healthcare,FPH,EQ,
Pro Medicus,Healthcare,PME,EQ,
Telix Pharmaceuticals,Healthcare,TLX,EQ,
Qantas Airways,Industrials,QAN,EQ,
Reece Group,Industrials,REH,EQ,
Seven Group Holdings,Industrials,SVW,EQ,
ALS Limited,Industrials,ALQ,EQ,
Worley,Industrials,WOR,EQ,
SGH Limited,Industrials,SGH,EQ,
Megaport,Technology,MP1,EQ,
NextDC,Technology,NXT,EQ,
Life360,Technology,360,EQ,
Block Inc CDI,Technology,SQ2,EQ,
Charter Hall Long WALE REIT,RealEstate,CLW,EQ,
National Storage REIT,RealEstate,NSR,EQ,
Ingenia Communities,RealEstate,INA,EQ,
Nine Entertainment,CommServices,NEC,EQ,
Seven West Media,CommServices,SWM,EQ,
