Company Name,Industry,Symbol,Series,ISIN Code
Telstra Group Limited,Communication Services,TLS.AX,EQ,
TPG Telecom Limited,Communication Services,TPG.AX,EQ,
Chorus Limited,Communication Services,CNU.AX,EQ,
Spark New Zealand Limited,Communication Services,SPK.AX,EQ,
Macquarie Technology Group Limited,Communication Services,MAQ.AX,EQ,
Aussie Broadband Ltd.,Communication Services,ABB.AX,EQ,
Tuas Ltd.,Communication Services,TUA.AX,EQ,
Infotrust Ltd,Communication Services,ITS.AX,EQ,
FlexiRoam Ltd,Communication Services,FRX.AX,EQ,
Hubify Ltd.,Communication Services,HFY.AX,EQ,
