Company Name,Industry,Symbol,Series,ISIN Code
Wesfarmers Limited,Consumer Discretionary,WES.AX,EQ,
Woolworths Group Ltd,Consumer Discretionary,WOW.AX,EQ,
Aristocrat Leisure Limited,Consumer Discretionary,ALL.AX,EQ,
Coles Group Ltd.,Consumer Discretionary,COL.AX,EQ,
News Corporation Shs A Chess Depository Interests repr 1 Sh,Consumer Discretionary,NWSLV.AX,EQ,
News Corporation Shs B Chess Depository Interests repr 1 Sh,Consumer Discretionary,NWS.AX,EQ,
Lottery Corporation Limited,Consumer Discretionary,TLC.AX,EQ,
Light & Wonder Inc. Shs Chess Depository Interests Repr 1 Sh,Consumer Discretionary,LNW.AX,EQ,
Codan Limited,Consumer Discretionary,CDA.AX,EQ,
JB Hi-Fi Limited,Consumer Discretionary,JBH.AX,EQ,
Eagers Automotive Limited,Consumer Discretionary,APE.AX,EQ,
Harvey Norman Holdings Ltd,Consumer Discretionary,HVN.AX,EQ,
Endeavour Group Ltd,Consumer Discretionary,EDV.AX,EQ,
Breville Group Limited,Consumer Discretionary,BRG.AX,EQ,
Super Retail Group Limited,Consumer Discretionary,SUL.AX,EQ,
Flight Centre Travel Group Limited,Consumer Discretionary,FLT.AX,EQ,
Lovisa Holdings Ltd.,Consumer Discretionary,LOV.AX,EQ,
Premier Investments Limited,Consumer Discretionary,PMV.AX,EQ,
Dicker Data Limited,Consumer Discretionary,DDR.AX,EQ,
EVT Limited,Consumer Discretionary,EVT.AX,EQ,
Guzman y Gomez Ltd.,Consumer Discretionary,GYG.AX,EQ,
Tabcorp Holdings Limited,Consumer Discretionary,TAH.AX,EQ,
Mader Group Ltd,Consumer Discretionary,MAD.AX,EQ,
Domino's Pizza Enterprises Limited,Consumer Discretionary,DMP.AX,EQ,
Nine Entertainment Co. Holdings Limited,Consumer Discretionary,NEC.AX,EQ,
Nick Scali Limited,Consumer Discretionary,NCK.AX,EQ,
Kelsian Group Limited,Consumer Discretionary,KLS.AX,EQ,
Collins Foods Limited,Consumer Discretionary,CKF.AX,EQ,
Briscoe Group Limited,Consumer Discretionary,BGP.AX,EQ,
Amotiv Limited,Consumer Discretionary,AOV.AX,EQ,
WEB Travel Group limited,Consumer Discretionary,WEB.AX,EQ,
Star Entertainment Group Limited,Consumer Discretionary,SGR.AX,EQ,
Lifestyle Communities Ltd,Consumer Discretionary,LIC.AX,EQ,
Temple & Webster Group Ltd,Consumer Discretionary,TPW.AX,EQ,
IDP Education Ltd.,Consumer Discretionary,IEL.AX,EQ,
GWA Group Limited,Consumer Discretionary,GWA.AX,EQ,
Ainsworth Game Technology Limited,Consumer Discretionary,AGI.AX,EQ,
Universal Store Holdings Ltd.,Consumer Discretionary,UNI.AX,EQ,
Jumbo Interactive Limited,Consumer Discretionary,JIN.AX,EQ,
SkyCity Entertainment Group Limited,Consumer Discretionary,SKC.AX,EQ,
Propel Funeral Partners Ltd.,Consumer Discretionary,PFP.AX,EQ,
