Company Name,Industry,Symbol,Series,ISIN Code
Treasury Wine Estates Limited,Consumer Staples,TWE.AX,EQ,
a2 Milk Company Limited,Consumer Staples,A2M.AX,EQ,
Bega Cheese Limited,Consumer Staples,BGA.AX,EQ,
Australian Agricultural Company Limited,Consumer Staples,AAC.AX,EQ,
Schaffer Corporation Limited,Consumer Staples,SFC.AX,EQ,
Synlait Milk Ltd.,Consumer Staples,SM1.AX,EQ,
Decidr AI Industries Ltd,Consumer Staples,DAI.AX,EQ,
SPC Global Holdings Ltd,Consumer Staples,SPG.AX,EQ,
New Zealand King Salmon Investments Ltd.,Consumer Staples,NZK.AX,EQ,
Globe International Limited,Consumer Staples,GLB.AX,EQ,
Lark Distilling Co. Ltd.,Consumer Staples,LRK.AX,EQ,
F.F.I. Holdings Ltd.,Consumer Staples,FFI.AX,EQ,
Noumi Limited,Consumer Staples,NOU.AX,EQ,
Australian Vintage Ltd,Consumer Staples,AVG.AX,EQ,
Australian Agricultural Projects Ltd.,Consumer Staples,AAP.AX,EQ,
Nuchev Pty Ltd,Consumer Staples,NUC.AX,EQ,
Mcpherson's Limited,Consumer Staples,MCP.AX,EQ,
Australian Dairy Nutritionals Limited,Consumer Staples,AHF.AX,EQ,
Aeris Environmental Ltd,Consumer Staples,AEI.AX,EQ,
Scalare Partners Holdings Limited,Consumer Staples,SCP.AX,EQ,
Pure Foods Tasmania Ltd.,Consumer Staples,PFT.AX,EQ,
Prestal Holdings Limited,Consumer Staples,PTL.AX,EQ,
Eneco Refresh Limited,Consumer Staples,ERG.AX,EQ,
Wellnex Life Ltd,Consumer Staples,WNX.AX,EQ,
