Company Name,Industry,Symbol,Series,ISIN Code
Commonwealth Bank of Australia,Financials,CBA.AX,EQ,
Westpac Banking Corporation,Financials,WBC.AX,EQ,
National Australia Bank Limited,Financials,NAB.AX,EQ,
ANZ Group Holdings Limited,Financials,ANZ.AX,EQ,
Macquarie Group Ltd.,Financials,MQG.AX,EQ,
Goodman Group,Financials,GMG.AX,EQ,
QBE Insurance Group Limited,Financials,QBE.AX,EQ,
Scentre Group,Financials,SCG.AX,EQ,
Suncorp Group Limited,Financials,SUN.AX,EQ,
Insurance Australia Group Ltd,Financials,IAG.AX,EQ,
Washington H. Soul Pattinson and Company Limited,Financials,SOL.AX,EQ,
Medibank Private Ltd.,Financials,MPL.AX,EQ,
Infratil Limited,Financials,IFT.AX,EQ,
Vicinity Centres,Financials,VCX.AX,EQ,
Charter Hall Group,Financials,CHC.AX,EQ,
ASX Limited,Financials,ASX.AX,EQ,
Stockland,Financials,SGP.AX,EQ,
GPT Group,Financials,GPT.AX,EQ,
Mirvac Group,Financials,MGR.AX,EQ,
Challenger Limited,Financials,CGF.AX,EQ,
Dexus,Financials,DXS.AX,EQ,
Bendigo & Adelaide Bank Ltd.,Financials,BEN.AX,EQ,
Netwealth Group Ltd.,Financials,NWL.AX,EQ,
Steadfast Group Limited,Financials,SDF.AX,EQ,
GQG Partners Inc. Shs Chess Depository Interests Repr 1 Sh,Financials,GQG.AX,EQ,
Bank of Queensland Limited,Financials,BOQ.AX,EQ,
BSP Financial Group Ltd.,Financials,BFL.AX,EQ,
AMP Limited,Financials,AMP.AX,EQ,
Pinnacle Investment Management Group Limited,Financials,PNI.AX,EQ,
AUB Group Limited,Financials,AUB.AX,EQ,
NIB Holdings Ltd,Financials,NHF.AX,EQ,
Zip Co Ltd.,Financials,ZIP.AX,EQ,
BWP Trust,Financials,BWP.AX,EQ,
L1 Group Limited,Financials,L1G.AX,EQ,
Region Group,Financials,RGN.AX,EQ,
HomeCo Daily Needs REIT,Financials,HDN.AX,EQ,
Charter Hall Long WALE REIT,Financials,CLW.AX,EQ,
Charter Hall Retail REIT,Financials,CQR.AX,EQ,
PEXA Group Limited,Financials,PXA.AX,EQ,
Gemlife Communities Group,Financials,GLF.AX,EQ,
Centuria Industrial REIT,Financials,CIP.AX,EQ,
Perpetual Limited,Financials,PPT.AX,EQ,
Abacus Storage King,Financials,ASK.AX,EQ,
Centuria Capital Group,Financials,CNI.AX,EQ,
Growthpoint Properties Australia,Financials,GOZ.AX,EQ,
Judo Capital Holdings Limited,Financials,JDO.AX,EQ,
Magellan Financial Group Ltd,Financials,MFG.AX,EQ,
Generation Development Group Limited,Financials,GDG.AX,EQ,
Waypoint REIT Ltd.,Financials,WPR.AX,EQ,
Ingenia Communities Group,Financials,INA.AX,EQ,
Digico Infrastructure REIT,Financials,DGT.AX,EQ,
Mcmillan Shakespeare Limited,Financials,MMS.AX,EQ,
Navigator Global Investments Ltd,Financials,NGI.AX,EQ,
United Overseas Australia Ltd,Financials,UOS.AX,EQ,
Helia Group Limited,Financials,HLI.AX,EQ,
Arena REIT,Financials,ARF.AX,EQ,
HMC Capital Limited,Financials,HMC.AX,EQ,
MA Financial Group Limited,Financials,MAF.AX,EQ,
Cromwell Property Group,Financials,CMW.AX,EQ,
Aspen Group Limited,Financials,APZ.AX,EQ,
Qualitas Real Estate Income Fund Units,Financials,QRI.AX,EQ,
Liberty Financial Group Ltd,Financials,LFG.AX,EQ,
Heartland Group Holdings Ltd.,Financials,HGH.AX,EQ,
Latitude Group Holdings Ltd.,Financials,LFS.AX,EQ,
Charter Hall Social Infrastructure REIT,Financials,CQE.AX,EQ,
Regal Partners Limited,Financials,RPL.AX,EQ,
Abacus Group,Financials,ABG.AX,EQ,
Qualitas Limited,Financials,QAL.AX,EQ,
Peet Limited,Financials,PPC.AX,EQ,
Rural Funds Group,Financials,RFF.AX,EQ,
Pepper Money Ltd,Financials,PPM.AX,EQ,
Mystate Limited,Financials,MYS.AX,EQ,
Dexus Industria REIT,Financials,DXI.AX,EQ,
Chrysos Corp. Ltd.,Financials,C79.AX,EQ,
Servcorp Limited,Financials,SRV.AX,EQ,
Turners Automotive Group Ltd,Financials,TRA.AX,EQ,
FleetPartners Group Limited,Financials,FPR.AX,EQ,
Cedar Woods Properties Limited,Financials,CWP.AX,EQ,
Tower Limited,Financials,TWR.AX,EQ,
Emeco Holdings Limited,Financials,EHL.AX,EQ,
Centuria Office REIT,Financials,COF.AX,EQ,
Australian Unity Ltd Pref.,Financials,AYUPA.AX,EQ,
Australian Ethical Investment Ltd,Financials,AEF.AX,EQ,
Tourism Holdings Limited,Financials,THL.AX,EQ,
Carindale Property Trust,Financials,CDP.AX,EQ,
Bell Financial Group Limited,Financials,BFG.AX,EQ,
Australian Finance Group Ltd.,Financials,AFG.AX,EQ,
EQT Holdings Ltd.,Financials,EQT.AX,EQ,
Kina Securities Ltd.,Financials,KSL.AX,EQ,
Whitefield income limited,Financials,WHI.AX,EQ,
Winton Land Limited,Financials,WTN.AX,EQ,
ClearView Wealth Limited,Financials,CVW.AX,EQ,
HealthCo Healthcare & Wellness REIT,Financials,HCW.AX,EQ,
Dexus Convenience Retail REIT,Financials,DXC.AX,EQ,
GDI Property Group,Financials,GDI.AX,EQ,
Resimac Group Limited,Financials,RMC.AX,EQ,
Pacific Current Group Ltd,Financials,PAC.AX,EQ,
Humm Group Limited,Financials,HUM.AX,EQ,
Fiducian Group Ltd,Financials,FID.AX,EQ,
Solvar Limited,Financials,SVR.AX,EQ,
Eureka Group Holdings Limited,Financials,EGH.AX,EQ,
CVC Limited,Financials,CVC.AX,EQ,
RAM Essential Services Property Fund,Financials,REP.AX,EQ,
GARDA Property Group Stapled Secs Cons of 1 Ut GARDA Div Prop Fund + 1 Sh of GARDA Hldgs Ltd,Financials,GDF.AX,EQ,
Euroz Hartleys Group Limited,Financials,EZL.AX,EQ,
LDR Capital Property Fund,Financials,LED.AX,EQ,
Finbar Group Limited,Financials,FRI.AX,EQ,
FSA Group Limited,Financials,FSA.AX,EQ,
Plenti Group Ltd.,Financials,PLT.AX,EQ,
NobleOak Life Ltd,Financials,NOL.AX,EQ,
US Masters Residential Property Fund,Financials,URF.AX,EQ,
Schoolblazer Limited,Financials,SBZ.AX,EQ,
Pioneer Credit Ltd,Financials,PNC.AX,EQ,
WOTSO,Financials,WOT.AX,EQ,
360 Capital REIT,Financials,TOT.AX,EQ,
Ariadne Australia Limited,Financials,ARA.AX,EQ,
Harmoney Corp Ltd,Financials,HMY.AX,EQ,
Boom Logistics Ltd,Financials,BOL.AX,EQ,
Aland Equity Group Limited,Financials,AEG.AX,EQ,
Australian Unity Office Fund,Financials,AOF.AX,EQ,
Raiz Invest Ltd.,Financials,RZI.AX,EQ,
Prime Financial Group Limited,Financials,PFG.AX,EQ,
Microequities Asset Management Group Ltd.,Financials,MAM.AX,EQ,
ASF Group Limited,Financials,AFA.AX,EQ,
Salter Brothers Emerging Companies Ltd.,Financials,SB2.AX,EQ,
Australian Wealth Advisors Group Ltd.,Financials,WAG.AX,EQ,
WT Financial Group Ltd.,Financials,WTL.AX,EQ,
Wisr Ltd.,Financials,WZR.AX,EQ,
Desane Group Holdings Ltd,Financials,DGH.AX,EQ,
EarlyPay Limited,Financials,EPY.AX,EQ,
Teaminvest Private Group Ltd,Financials,TIP.AX,EQ,
BNK Banking Corporation Limited,Financials,BBC.AX,EQ,
London City Equities Ltd,Financials,LCE.AX,EQ,
Blackwall Limited,Financials,BWF.AX,EQ,
Clime Investment Management Ltd,Financials,CIW.AX,EQ,
Powerhouse Ventures Ltd.,Financials,PVL.AX,EQ,
Group One Capital Limited,Financials,G1C.AX,EQ,
Income Asset Management Group Limited,Financials,IAM.AX,EQ,
Strategic Elements Ltd,Financials,SOR.AX,EQ,
Acumentis Group Limited,Financials,ACU.AX,EQ,
Mustera Property Group Ltd.,Financials,MPX.AX,EQ,
Associate Global Partners Limited,Financials,APL.AX,EQ,
Tian An Australia Limited,Financials,TIA.AX,EQ,
Sequoia Financial Group Ltd.,Financials,SEQ.AX,EQ,
Agency Group Australia Ltd,Financials,AU1.AX,EQ,
Underwood Capital Limited,Financials,UWC.AX,EQ,
Australian Bond Exchange Holdings Ltd.,Financials,ABE.AX,EQ,
Queste Communications Ltd,Financials,QUE.AX,EQ,
CD Private Equity Fund III Units,Financials,CD3.AX,EQ,
CD Private Equity Fund I Units,Financials,CD1.AX,EQ,
Lion Selection Group Ltd.,Financials,LSX.AX,EQ,
L1 Gold Fund Limited,Financials,LGF.AX,EQ,
La Trobe Private Credit Fund,Financials,LF1.AX,EQ,
Metrics Real Estate Multi-Strategy Fund,Financials,MRE.AX,EQ,
Ryder Capital Ltd.,Financials,RYD.AX,EQ,
BTC Health Ltd Registered,Financials,BTC.AX,EQ,
InvestSMART Group Limited,Financials,INV.AX,EQ,
Orion Equities Limited,Financials,OEQ.AX,EQ,
NGE Capital Ltd,Financials,NGE.AX,EQ,
CD Private Equity Fund II Units,Financials,CD2.AX,EQ,
Solaris Australian Equity Income Plus Ltd.,Financials,SET.AX,EQ,
