Company Name,Industry,Symbol,Series,ISIN Code
CSL Limited,Health Care,CSL.AX,EQ,
ResMed Inc. CHESS Depositary Interests on a ratio of 10 CDIs per ord.sh,Health Care,RMD.AX,EQ,
Sigma Healthcare Ltd,Health Care,SIG.AX,EQ,
Fisher & Paykel Healthcare Corporation Limited,Health Care,FPH.AX,EQ,
Pro Medicus Ltd.,Health Care,PME.AX,EQ,
Sonic Healthcare Limited,Health Care,SHL.AX,EQ,
Ramsay Health Care Limited,Health Care,RHC.AX,EQ,
Cochlear Limited,Health Care,COH.AX,EQ,
Telix Pharmaceuticals Limited,Health Care,TLX.AX,EQ,
EBOS Group Limited,Health Care,EBO.AX,EQ,
Mesoblast Limited,Health Care,MSB.AX,EQ,
Ryman Healthcare Ltd.,Health Care,RYM.AX,EQ,
Regis Healthcare Ltd.,Health Care,REG.AX,EQ,
Neuren Pharmaceuticals Limited,Health Care,NEU.AX,EQ,
EBR Systems Inc. Shs Chess Depository Interests Repr 1 Sh,Health Care,EBR.AX,EQ,
Summerset Group Holdings Limited,Health Care,SNZ.AX,EQ,
Anteris Technologies Global Corp.,Health Care,AVR.AX,EQ,
PYC Therapeutics Limited,Health Care,PYC.AX,EQ,
Nanosonics Limited,Health Care,NAN.AX,EQ,
Clarity Pharmaceuticals Ltd.,Health Care,CU6.AX,EQ,
Integral Diagnostics Ltd,Health Care,IDX.AX,EQ,
Polynovo Limited,Health Care,PNV.AX,EQ,
Imricor Medical Systems Inc. Shs Chess Depository Interests Repr 1 Sh,Health Care,IMR.AX,EQ,
Racura Oncology Ltd,Health Care,RAC.AX,EQ,
Clinuvel Pharmaceuticals Limited,Health Care,CUV.AX,EQ,
Oceania Healthcare Ltd.,Health Care,OCA.AX,EQ,
Australian Clinical Labs Ltd,Health Care,ACL.AX,EQ,
AFT Pharmaceuticals Ltd.,Health Care,AFP.AX,EQ,
Starpharma Holdings Limited,Health Care,SPL.AX,EQ,
Tetratherix Limited,Health Care,TTX.AX,EQ,
Pacific Edge Limited,Health Care,PEB.AX,EQ,
Monash IVF Group Ltd,Health Care,MVF.AX,EQ,
Healius Limited,Health Care,HLS.AX,EQ,
