Company Name,Industry,Symbol,Series,ISIN Code
Block Inc. Shs Chess Depository Interests Repr 1 Sh,Industrials,XYZ.AX,EQ,
Transurban Group Ltd.,Industrials,TCL.AX,EQ,
Brambles Limited,Industrials,BXB.AX,EQ,
REA Group Ltd,Industrials,REA.AX,EQ,
Computershare Limited,Industrials,CPU.AX,EQ,
SGH Limited,Industrials,SGH.AX,EQ,
Bluescope Steel Limited,Industrials,BSL.AX,EQ,
Qantas Airways Limited,Industrials,QAN.AX,EQ,
ALS Ltd.,Industrials,ALQ.AX,EQ,
Auckland International Airport Limited,Industrials,AIA.AX,EQ,
Qube Holdings Ltd.,Industrials,QUB.AX,EQ,
Reece Limited,Industrials,REH.AX,EQ,
Atlas Arteria,Industrials,ALX.AX,EQ,
Aurizon Holdings Ltd.,Industrials,AZJ.AX,EQ,
Worley Limited,Industrials,WOR.AX,EQ,
Cleanaway Waste Management Ltd.,Industrials,CWY.AX,EQ,
Downer EDI Limited,Industrials,DOW.AX,EQ,
Ventia Services Group Limited,Industrials,VNT.AX,EQ,
Ansell Limited,Industrials,ANN.AX,EQ,
Metcash Limited,Industrials,MTS.AX,EQ,
NRW Holdings Limited,Industrials,NWH.AX,EQ,
Monadelphous Group Limited,Industrials,MND.AX,EQ,
MFF Capital Investments Ltd.,Industrials,MFF.AX,EQ,
Dalrymple Bay Infrastructure Ltd.,Industrials,DBI.AX,EQ,
SRG Global Limited,Industrials,SRG.AX,EQ,
Reliance Worldwide Corp. Ltd.,Industrials,RWC.AX,EQ,
Deterra Royalties Ltd,Industrials,DRR.AX,EQ,
Tasmea Limited,Industrials,TEA.AX,EQ,
Sunrise Energy Metals Limited,Industrials,SRL.AX,EQ,
GenusPlus Group Ltd.,Industrials,GNP.AX,EQ,
Imdex Ltd,Industrials,IMD.AX,EQ,
Freightways Group Limited,Industrials,FRW.AX,EQ,
Virgin Australia Holdings Limited,Industrials,VGN.AX,EQ,
MAAS Group Holdings Ltd.,Industrials,MGH.AX,EQ,
Redox Limited,Industrials,RDX.AX,EQ,
Superloop Ltd.,Industrials,SLC.AX,EQ,
Lendlease Group,Industrials,LLC.AX,EQ,
