Company Name,Industry,Symbol,Series,ISIN Code
BHP,Materials,BHP.AX,EQ,AU000000BHP4
Rio Tinto,Materials,RIO.AX,EQ,AU000000RIO1
Newmont,Materials,NEM.AX,EQ,AU0000297962
Fortescue,Materials,FMG.AX,EQ,AU000000FMG4
Northern Star Resources,Materials,NST.AX,EQ,AU000000NST8
Amcor,Materials,AMC.AX,EQ,AU000000AMC4
Alcoa,Materials,AAI.AX,EQ,AU0000339426
Evolution Mining,Materials,EVN.AX,EQ,AU000000EVN4
PLS Group,Materials,PLS.AX,EQ,AU000000PLS0
South32,Materials,S32.AX,EQ,AU000000S320
James Hardie,Materials,JHX.AX,EQ,AU000000JHX1
Lynas Rare Earths,Materials,LYC.AX,EQ,AU000000LYC6
BlueScope,Materials,BSL.AX,EQ,AU000000BSL0
Mineral Resources,Materials,MIN.AX,EQ,AU000000MIN4
Capstone Copper,Materials,CSC.AX,EQ,AU0000318552
Orica,Materials,ORI.AX,EQ,AU000000ORI1
DPM Metals Inc. Chess Depository Interests Repr 1 Sh,Materials,DPM.AX,EQ,AU0000413890
Sandfire Resources,Materials,SFR.AX,EQ,AU000000SFR8
Yancoal Australia,Materials,YAL.AX,EQ,AU000000YAL0
Greatland Resources,Materials,GGP.AX,EQ,AU0000397705
Almonty Industries Inc. Shs Chess Depository Interests repr 1 shs,Materials,AII.AX,EQ,AU0000157679
Liontown Resources,Materials,LTR.AX,EQ,AU000000LTR4
Dyno Nobel,Materials,DNL.AX,EQ,AU0000390544
IGO,Materials,IGO.AX,EQ,AU000000IGO4
Perseus Mining,Materials,PRU.AX,EQ,AU000000PRU3
Genesis Minerals,Materials,GMD.AX,EQ,AU000000GMD9
Ramelius Resources,Materials,RMS.AX,EQ,AU000000RMS4
Sims Metal,Materials,SGM.AX,EQ,AU000000SGM7
Capricorn Metals,Materials,CMM.AX,EQ,AU000000CMM9
PT ANTAM (Persero) Tbk CHESS Units of Foreign Securities,Materials,ATM.AX,EQ,AU000000ATM8
Westgold Resources,Materials,WGX.AX,EQ,AU000000WGX6
Regis Resources,Materials,RRL.AX,EQ,AU000000RRL8
Vault Minerals,Materials,VAU.AX,EQ,AU0000355588
Nickel Industries,Materials,NIC.AX,EQ,AU0000018236
