Company Name,Industry,Symbol,Series,ISIN Code
Goodman Group,Real Estate,GMG.AX,EQ,AU000000GMG2
Scentre Group,Real Estate,SCG.AX,EQ,AU000000SCG8
Vicinity Centres,Real Estate,VCX.AX,EQ,AU000000VCX7
Charter Hall,Real Estate,CHC.AX,EQ,AU000000CHC0
Stockland,Real Estate,SGP.AX,EQ,AU000000SGP0
GPT Group,Real Estate,GPT.AX,EQ,AU000000GPT8
Mirvac,Real Estate,MGR.AX,EQ,AU000000MGR9
Dexus,Real Estate,DXS.AX,EQ,AU000000DXS1
BWP Trust,Real Estate,BWP.AX,EQ,AU000000BWP3
Region Group,Real Estate,RGN.AX,EQ,AU0000253502
HomeCo Daily Needs REIT,Real Estate,HDN.AX,EQ,AU0000113136
Charter Hall Long WALE REIT,Real Estate,CLW.AX,EQ,AU000000CLW0
Charter Hall Retail REIT,Real Estate,CQR.AX,EQ,AU000000CQR9
Lendlease,Real Estate,LLC.AX,EQ,AU000000LLC3
Centuria Industrial REIT,Real Estate,CIP.AX,EQ,AU000000CIP0
Pexa Group,Real Estate,PXA.AX,EQ,AU0000158594
Abacus Storage King,Real Estate,ASK.AX,EQ,AU0000286213
Ingenia Communities,Real Estate,INA.AX,EQ,AU000000INA9
