Company Name,Industry,Symbol,Series,ISIN Code
Computershare,Technology,CPU.AX,EQ,AU000000CPU5
Wisetech Global,Technology,WTC.AX,EQ,AU000000WTC3
NextDC,Technology,NXT.AX,EQ,AU000000NXT8
TechnologyOne,Technology,TNE.AX,EQ,AU000000TNE8
Codan,Technology,CDA.AX,EQ,AU000000CDA3
Life360,Technology,360.AX,EQ,AU0000045098
Megaport,Technology,MP1.AX,EQ,AU000000MP15
Elsight Ltd.,Technology,ELS.AX,EQ,AU000000ELS4
Weebit Nano Ltd.,Technology,WBT.AX,EQ,AU000000WBT5
Data#3 Limited.,Technology,DTL.AX,EQ,AU000000DTL4
Silex Systems Limited,Technology,SLX.AX,EQ,AU000000SLX4
IRESS Limited,Technology,IRE.AX,EQ,AU000000IRE2
SiteMinder Limited,Technology,SDR.AX,EQ,AU0000183543
Objective Corporation,Technology,OCL.AX,EQ,AU000000OCL7
Bravura Solutions Limited,Technology,BVS.AX,EQ,AU000000BVS9
Catapult Sports Ltd.,Technology,CAT.AX,EQ,AU000000CAT9
Hansen Technologies Limited,Technology,HSN.AX,EQ,AU000000HSN3
SKS Technologies Group Limited,Technology,SKS.AX,EQ,AU0000124901
Artrya Limited,Technology,AYA.AX,EQ,AU0000182412
FINEOS Corporation Holdings Plc Shs Chess Depositary Interests Repr 1 Sh,Technology,FCL.AX,EQ,AU0000054322
Nuix Ltd.,Technology,NXL.AX,EQ,AU0000119307
BrainChip Holdings Ltd.,Technology,BRN.AX,EQ,AU000000BRN8
Energy One Limited,Technology,EOL.AX,EQ,AU000000EOL3
Qoria Limited,Technology,QOR.AX,EQ,AU0000278491
Praemium Ltd,Technology,PPS.AX,EQ,AU000000PPS1
DUG Technology Ltd,Technology,DUG.AX,EQ,AU0000095721
Appen,Technology,APX.AX,EQ,AU000000APX3
Fortifai Limited,Technology,FTI.AX,EQ,AU0000408056
Acusensus Ltd,Technology,ACE.AX,EQ,AU0000259582
NOVONIX Ltd,Technology,NVX.AX,EQ,AU000000NVX4
Wrkr Ltd,Technology,WRK.AX,EQ,AU0000192064
Betmakers Technology Group Ltd.,Technology,BET.AX,EQ,AU0000050585
Adisyn Limited,Technology,AI1.AX,EQ,AU0000301400
ReadyTech Holdings Ltd.,Technology,RDY.AX,EQ,AU0000043002
Audinate Group Ltd.,Technology,AD8.AX,EQ,AU000000AD88
Klevo Rewards Limited,Technology,KLV.AX,EQ,AU0000428864
Alcidion Group Limited,Technology,ALC.AX,EQ,AU000000ALC6
Frontier Digital Ventures Ltd.,Technology,FDV.AX,EQ,AU000000FDV2
Oneview Healthcare PLC Chess Depository Interests repr 1,Technology,ONE.AX,EQ,AU000000ONE9
Credit Clear Limited,Technology,CCR.AX,EQ,AU0000107526
hipages Group Holdings Ltd.,Technology,HPG.AX,EQ,AU0000112104
Airtasker Ltd,Technology,ART.AX,EQ,AU0000135998
Yojee Ltd.,Technology,YOJ.AX,EQ,AU000000YOJ5
Blinklab Limited,Technology,BB1.AX,EQ,AU0000322851
Archer Materials Limited,Technology,AXE.AX,EQ,AU000000AXE7
IODM Ltd.,Technology,IOD.AX,EQ,AU000000IOD1
Stakk Ltd,Technology,SKK.AX,EQ,AU0000378291
Austco Healthcare Ltd,Technology,AHC.AX,EQ,AU0000120818
Vinyl Group Ltd.,Technology,VNL.AX,EQ,AU0000310781
Epiminder Ltd.,Technology,EPI.AX,EQ,AU0000432239
PharmX Technologies Limited,Technology,PHX.AX,EQ,AU0000298762
Rent.com.au Ltd,Technology,RNT.AX,EQ,AU000000RNT0
3P Learning Ltd.,Technology,3PL.AX,EQ,AU0000003PL9
Etherstack Plc Shs Chess Depository Interests repr 1 sh,Technology,ESK.AX,EQ,AU000000ESK6
Mach7 Technologies Ltd.,Technology,M7T.AX,EQ,AU000000M7T0
Adveritas Limited,Technology,AV1.AX,EQ,AU0000033946
MoneyMe Ltd.,Technology,MME.AX,EQ,AU0000066045
RocketBoots Ltd.,Technology,ROC.AX,EQ,AU0000182545
Structural Monitoring Systems Plc Chess Depository Interests,Technology,SMN.AX,EQ,AU000000SMN3
Freelancer Ltd.,Technology,FLN.AX,EQ,AU000000FLN2
Beforepay Group Limited,Technology,B4P.AX,EQ,AU0000190803
Singular Health Group Ltd,Technology,SHG.AX,EQ,AU0000129892
Playside Studios Ltd,Technology,PLY.AX,EQ,AU0000120636
BluGlass Ltd,Technology,BLG.AX,EQ,AU000000BLG5
Vection Technologies Ltd.,Technology,VR1.AX,EQ,AU0000067522
SportsHero Limited,Technology,SHO.AX,EQ,AU000000SHO1
Urbanise.com Ltd.,Technology,UBN.AX,EQ,AU000000UBN2
Integrated Research Limited,Technology,IRI.AX,EQ,AU000000IRI3
Senetas Corporation Limited,Technology,SEN.AX,EQ,AU000000SEN0
Nanoveu Ltd.,Technology,NVU.AX,EQ,AU0000024796
Change Financial Ltd,Technology,CCA.AX,EQ,AU000000CCA5
Reckon Limited,Technology,RKN.AX,EQ,AU000000RKN9
dorsaVi Ltd.,Technology,DVL.AX,EQ,AU000000DVL0
Ai-Media Technologies Limited,Technology,AIM.AX,EQ,AU0000101636
HeraMED Ltd,Technology,HMD.AX,EQ,AU0000028367
ClearVue Technologies Ltd.,Technology,CPV.AX,EQ,AU0000003816
archTIS Ltd.,Technology,AR9.AX,EQ,AU0000020877
DXN Ltd.,Technology,DXN.AX,EQ,AU0000003386
Cosol Limited,Technology,COS.AX,EQ,AU0000072498
Comms Group Ltd,Technology,CCG.AX,EQ,AU000000CCG2
DigitalX Limited,Technology,DCC.AX,EQ,AU000000DCC9
Control Bionics Ltd.,Technology,CBL.AX,EQ,AU0000114183
Emyria Ltd,Technology,EMD.AX,EQ,AU0000073645
Gumtree Australia Markets Limited,Technology,GUM.AX,EQ,AU0000381691
Pathkey.AI Limited,Technology,PKY.AX,EQ,AU0000415291
Activeport Group Limited,Technology,ATV.AX,EQ,AU0000171910
RocketDNA Ltd,Technology,RKT.AX,EQ,AU0000282717
Veris Limited,Technology,VRS.AX,EQ,AU000000VRS5
5G Networks Limited,Technology,5GN.AX,EQ,AU0000317554
Beamtree Holdings Ltd,Technology,BMT.AX,EQ,AU0000170979
RAS Technology Holdings Limited,Technology,RTH.AX,EQ,AU0000186496
PainChek Ltd,Technology,PCK.AX,EQ,AU000000PCK6
Talius Group Limited,Technology,TAL.AX,EQ,AU0000281172
TrivarX Limited,Technology,TRI.AX,EQ,AU0000300196
Janison Education Group Ltd.,Technology,JAN.AX,EQ,AU000000JAN7
iCetana Ltd.,Technology,ICE.AX,EQ,AU0000067621
Pointerra Ltd.,Technology,3DP.AX,EQ,AU0000003DP6
SenSen Networks Ltd.,Technology,SNS.AX,EQ,AU000000SNS0
Orbital Corporation Ltd,Technology,OEC.AX,EQ,AU000000OEC2
Swoop Holdings Limited,Technology,SWP.AX,EQ,AU0000153736
RMA Global Ltd.,Technology,RMY.AX,EQ,AU0000013906
HighCom Limited,Technology,HCL.AX,EQ,AU0000309015
ImExHS Ltd,Technology,IME.AX,EQ,AU0000023053
Harvest Technology Group Ltd.,Technology,HTG.AX,EQ,AU0000082422
Ovanti Ltd,Technology,OVT.AX,EQ,AU0000320459
Felix Group Holdings Ltd.,Technology,FLX.AX,EQ,AU0000123879
Connected Minerals Limited,Technology,CML.AX,EQ,AU0000358137
FMR Resources Limited,Technology,FMR.AX,EQ,AU0000340432
DataWorks Group Limited,Technology,DWG.AX,EQ,AU0000388712
Connexion Mobility Ltd,Technology,CXZ.AX,EQ,AU000000CXZ8
InteliCare Holdings Limited,Technology,ICR.AX,EQ,AU0000081788
EPX Limited,Technology,EPX.AX,EQ,AU0000141525
Complii Fintech Solutions Ltd,Technology,CF1.AX,EQ,AU0000127011
Noviqtech Limited,Technology,NVQ.AX,EQ,AU0000299174
Camplify Holdings Ltd.,Technology,CHL.AX,EQ,AU0000153991
OpenLearning Ltd.,Technology,OLL.AX,EQ,AU0000065401
Redcastle Resources Limited,Technology,RC1.AX,EQ,AU0000199051
Xref Ltd,Technology,XF1.AX,EQ,AU0000038531
Tinybeans Group Ltd,Technology,TNY.AX,EQ,AU000000TNY6
TZ Limited,Technology,TZL.AX,EQ,AU000000TZL7
Adheris Health Limited,Technology,AHE.AX,EQ,AU0000437493
Ava Risk Group Ltd.,Technology,AVA.AX,EQ,AU0000010845
ReadCloud Ltd.,Technology,RCL.AX,EQ,AU000000RCL0
AdNeo Limited,Technology,AD1.AX,EQ,AU000000AD13
AUCyber Limited,Technology,CYB.AX,EQ,AU0000359218
DTI Group Ltd,Technology,DTI.AX,EQ,AU000000DTI0
Novatti Group Ltd.,Technology,NOV.AX,EQ,AU000000NOV3
Beonic Limited,Technology,BEO.AX,EQ,AU0000306292
Orcoda Limited,Technology,ODA.AX,EQ,AU0000022261
Prophecy International Holdings Ltd,Technology,PRO.AX,EQ,AU000000PRO6
Pentanet Ltd,Technology,5GG.AX,EQ,AU0000129496
Butn Limited,Technology,BTN.AX,EQ,AU0000156317
RemSense Technologies Limited,Technology,REM.AX,EQ,AU0000175820
Halo Technologies Holdings Ltd,Technology,HAL.AX,EQ,AU0000211971
Bridge Saas Limited,Technology,BGE.AX,EQ,AU0000235418
Beam Communications Holdings Limited,Technology,BCC.AX,EQ,AU0000031395
Spectur Ltd.,Technology,SP3.AX,EQ,AU000000SP35
Knosys Ltd.,Technology,KNO.AX,EQ,AU000000KNO6
8Common Ltd,Technology,8CO.AX,EQ,AU0000008CO0
Tali Digital Ltd,Technology,TD1.AX,EQ,AU0000074221
Visionflex Group Limited,Technology,VFX.AX,EQ,AU0000303158
StepChange Holdings Ltd.,Technology,STH.AX,EQ,AU0000402125
Boresight Ltd.,Technology,BST.AX,EQ,AU0000467094
