Company Name,Industry,Symbol,Series,ISIN Code
Petrobras PN,Energy,PETR4.SA,EQ,BRPETRACNPR6
Petrobras ON,Energy,PETR3.SA,EQ,BRPETRACNOR9
Itau Unibanco,Financials,ITUB4.SA,EQ,BRITUBACNPR1
Itaú Unibanco Holding S.A.,Financials,ITUB3.SA,EQ,BRITUBACNOR4
Vale SA,Materials,VALE3.SA,EQ,BRVALEACNOR0
Ambev SA,Consumer Staples,ABEV3.SA,EQ,BRABEVACNOR1
Banco BTG Pactual S.A.,Financials,BPAC5.SA,EQ,BRBPACACNPA0
Banco BTG Pactual S.A.,Financials,BPAC3.SA,EQ,BRBPACACNOR7
WEG SA,Industrials,WEGE3.SA,EQ,BRWEGEACNOR0
Bradesco,Financials,BBDC4.SA,EQ,BRBBDCACNPR8
Banco Bradesco S.A.,Financials,BBDC3.SA,EQ,BRBBDCACNOR1
Itaúsa S.A.,Industrials,ITSA3.SA,EQ,BRITSAACNOR0
Itausa,Financials,ITSA4.SA,EQ,BRITSAACNPR7
AXIA Energia SA Non-Cum Perp Pfd Registered Shs C,Utilities,AXIA7.SA,EQ,BRAXIAACNPC9
AXIA Energia SA,Utilities,AXIA3.SA,EQ,BRAXIAACNOR0
Banco do Brasil,Financials,BBAS3.SA,EQ,BRBBASACNOR3
Telefonica Brasil,Communication Services,VIVT3.SA,EQ,BRVIVTACNOR0
Banco Santander (Brasil) S.A.,Financials,SANB4.SA,EQ,BRSANBACNPR5
Banco Santander (Brasil) S.A.,Financials,SANB3.SA,EQ,BRSANBACNOR8
Sabesp,Utilities,SBSP3.SA,EQ,BRSBSPACNOR5
Rede D Or,Health Care,RDOR3.SA,EQ,BRRDORACNOR8
B3 SA,Financials,B3SA3.SA,EQ,BRB3SAACNOR6
BB Seguridade,Financials,BBSE3.SA,EQ,BRBBSEACNOR5
Caixa Seguridade Participações S.A.,Financials,CXSE3.SA,EQ,BRCXSEACNOR7
TIM SA,Communication Services,TIMS3.SA,EQ,BRTIMSACNOR5
Embraer S.A.,Industrials,EMBJ3.SA,EQ,BREMBJACNOR1
Suzano SA,Materials,SUZB3.SA,EQ,BRSUZBACNOR0
CPFL Energia,Utilities,CPFE3.SA,EQ,BRCPFEACNOR0
PetroRio,Energy,PRIO3.SA,EQ,BRPRIOACNOR1
Equatorial Energia,Utilities,EQTL3.SA,EQ,BREQTLACNOR0
Eneva SA,Utilities,ENEV3.SA,EQ,BRENEVACNOR8
Gerdau SA,Materials,GGBR4.SA,EQ,BRGGBRACNPR8
Gerdau S.A.,Materials,GGBR3.SA,EQ,BRGGBRACNOR1
Localiza Rent a Car S.A.,Industrials,RENT4.SA,EQ,BRRENTACNPR1
Localiza Rent,Consumer Discretionary,RENT3.SA,EQ,BRRENTACNOR4
Cia Paranaense de Energia ON,Utilities,CPLE3.SA,EQ,BRCPLEACNOR8
Engie Brasil,Utilities,EGIE3.SA,EQ,BREGIEACNOR9
Bradsaude SA,Health Care,SAUD3.SA,EQ,BRSAUDACNOR9
Companhia Energética de Minas Gerais - CEMIG,Utilities,CMIG3.SA,EQ,BRCMIGACNOR6
Cemig,Utilities,CMIG4.SA,EQ,BRCMIGACNPR3
Vibra Energia,Energy,VBBR3.SA,EQ,BRVBBRACNOR1
Porto Seguro,Financials,PSSA3.SA,EQ,BRPSSAACNOR7
Raia Drogasil,Consumer Staples,RADL3.SA,EQ,BRRADLACNOR0
Motiva Infraestrutura de Mobilidade S.A.,Industrials,MOTV3.SA,EQ,BRMOTVACNOR7
Ultrapar,Energy,UGPA3.SA,EQ,BRUGPAACNOR8
Rumo SA,Industrials,RAIL3.SA,EQ,BRRAILACNOR9
CSN Mineracao,Materials,CMIN3.SA,EQ,BRCMINACNOR2
MBRF Global Foods Company S.A.,Consumer Staples,MBRF3.SA,EQ,BRMBRFACNOR1
Copasa MG,Utilities,CSMG3.SA,EQ,BRCSMGACNOR5
Klabin S.A.,Materials,KLBN4.SA,EQ,BRKLBNACNPR9
Klabin S.A.,Materials,KLBN3.SA,EQ,BRKLBNACNOR2
ISA Energía Brasil S.A.,Utilities,ISAE4.SA,EQ,BRISAEACNPR9
ISA Energía Brasil S.A.,Utilities,ISAE3.SA,EQ,BRISAEACNOR2
Energisa S.A.,Utilities,ENGI3.SA,EQ,BRENGIACNOR0
Energisa S.A.,Utilities,ENGI4.SA,EQ,BRENGIACNPR7
Compass Gas e Energia S.A.,Utilities,PASS3.SA,EQ,BRPASSACNOR7
TOTVS SA,Technology,TOTS3.SA,EQ,BRTOTSACNOR8
Companhia de Gás de São Paulo - COMGÁS,Utilities,CGAS5.SA,EQ,BRCGASACNPA3
Companhia de Gás de São Paulo - COMGÁS,Utilities,CGAS3.SA,EQ,BRCGASACNOR0
Lojas Renner,Consumer Discretionary,LREN3.SA,EQ,BRLRENACNOR1
Rede Energia Participações S.A.,Utilities,REDE3.SA,EQ,BRREDEACNOR7
Hypera SA,Health Care,HYPE3.SA,EQ,BRHYPEACNOR0
Multiplan,Real Estate,MULT3.SA,EQ,BRMULTACNOR5
Transmissora Aliança de Energia Elétrica S.A.,Utilities,TAEE4.SA,EQ,BRTAEEACNPR6
Transmissora Aliança de Energia Elétrica S.A.,Utilities,TAEE3.SA,EQ,BRTAEEACNOR9
Allos S.A.,Real Estate,ALOS3.SA,EQ,BRALOSACNOR5
MRS Logística S.A.,Industrials,MRSA3B.SA,EQ,BRMRSAACNOR6
Gerdau Metalurgica SA ON,Materials,GOAU3.SA,EQ,BRGOAUACNOR1
Metalurgica Gerdau SA PN,Materials,GOAU4.SA,EQ,BRGOAUACNPR8
Cosan SA,Energy,CSAN3.SA,EQ,BRCSANACNOR6
Equatorial Pará Distribuidora de Energia S.A.,Utilities,EQPA3.SA,EQ,BREQPAACNOR1
Usinas Siderúrgicas de Minas Gerais S.A.,Materials,USIM3.SA,EQ,BRUSIMACNOR3
Usinas Siderurgicas de Minas Gerais SA-Usiminas Conv Pfd B,Materials,USIM6.SA,EQ,BRUSIMACNPB4
Usiminas,Materials,USIM5.SA,EQ,BRUSIMACNPA6
Auren Energia,Utilities,AURE3.SA,EQ,BRAUREACNOR9
Companhia de Saneamento do Paraná - SANEPAR,Utilities,SAPR3.SA,EQ,BRSAPRACNOR9
Companhia de Saneamento do Paraná - SANEPAR,Utilities,SAPR4.SA,EQ,BRSAPRACNPR6
Natura Cosméticos S.A.,Consumer Staples,NATU3.SA,EQ,BRNATUACNOR6
Smartfit Escola de Ginástica e Dança S.A.,Consumer Discretionary,SMFT3.SA,EQ,BRSMFTACNOR1
Assai,Consumer Staples,ASAI3.SA,EQ,BRASAIACNOR0
Alupar Investimento S.A.,Utilities,ALUP3.SA,EQ,BRALUPACNOR8
Alupar Investimento SA Pfd Shs,Utilities,ALUP4.SA,EQ,BRALUPACNPR5
Orizon Valorizacao de Residuos SA,Utilities,ORVR3.SA,EQ,BRORVRACNOR0
Banco do Nordeste do Brasil S.A.,Financials,BNBR3.SA,EQ,BRBNBRACNOR8
Cury Construtora e Incorporadora SA,Financials,CURY3.SA,EQ,BRCURYACNOR3
Brava Energia SA,Energy,BRAV3.SA,EQ,BRBRAVACNOR3
Cyrela Realty,Real Estate,CYRE3.SA,EQ,BRCYREACNOR7
Cyrela Brazil Realty SA Empreendimentos e Participacoes Pfd shs,Financials,CYRE4.SA,EQ,BRCYREACNPR4
Grupo Mateus SA,Consumer Staples,GMAT3.SA,EQ,BRGMATACNOR7
Ampla Energia e Servicos SA,Utilities,CBEE3.SA,EQ,BRCBEEACNOR3
GPS Participacoes e Empreendimentos SA,Industrials,GGPS3.SA,EQ,BRGGPSACNOR9
Companhia de Eletricidade do Estado da Bahia - COELBA,Utilities,CEEB3.SA,EQ,BRCEEBACNOR3
Energisa Mato Grosso - Distribuidora de Energia Sa,Utilities,ENMT3.SA,EQ,BRENMTACNOR5
Energisa Mato Grosso - Distribuidora de Energia Sa Pfd Shs,Utilities,ENMT4.SA,EQ,BRENMTACNPR2
Bradespar SA PN,Materials,BRAP4.SA,EQ,BRBRAPACNPR2
Bradespar S.A.,Financials,BRAP3.SA,EQ,BRBRAPACNOR5
Grupo Fleury,Health Care,FLRY3.SA,EQ,BRFLRYACNOR5
Companhia Siderurgica Nacional SA,Materials,CSNA3.SA,EQ,BRCSNAACNOR6
Alpargatas SA Pfd,Consumer Staples,ALPA4.SA,EQ,BRALPAACNPR7
Alpargatas SA,Consumer Staples,ALPA3.SA,EQ,BRALPAACNOR0
Azul S.A.,Industrials,AZUL3.SA,EQ,BRAZULACNOR7
Azul S.A.,Industrials,AZUL99.SA,EQ,BRAZULCDAYY3
Azul S.A.,Industrials,AZUL97.SA,EQ,BRAZULCDAXX7
Azul S.A.,Industrials,AZUL98.SA,EQ,BRAZULCDAM13
Iguatemi SA,Financials,IGTI3.SA,EQ,BRIGTIACNOR8
Iguatemi S.A.,Real Estate,IGTI4.SA,EQ,BRIGTIACNPR5
BCO Mercantil do Brasil SA,Financials,BMEB3.SA,EQ,BRBMEBACNOR8
BCO Mercantil do Brasil SA Non-Cum Perp Pfd Registered Shs,Financials,BMEB4.SA,EQ,BRBMEBACNPR5
JHSF Participacoes,Real Estate,JHSF3.SA,EQ,BRJHSFACNOR2
Tres Tentos Agroindustrial SA,Industrials,TTEN3.SA,EQ,BRTTENACNOR0
Marcopolo SA,Industrials,POMO3.SA,EQ,BRPOMOACNOR0
Marcopolo SA,Industrials,POMO4.SA,EQ,BRPOMOACNPR7
SLC Agricola SA,Consumer Staples,SLCE3.SA,EQ,BRSLCEACNOR2
Direcional Engenharia,Real Estate,DIRR3.SA,EQ,BRDIRRACNOR0
CBA - Companhia Brasileira de Aluminio,Materials,CBAV3.SA,EQ,BRCBAVACNOR5
Unipar Carbocloro SA Pfd Class B,Materials,UNIP6.SA,EQ,BRUNIPACNPB8
Unipar Carbocloro SA Pfd Class A,Materials,UNIP5.SA,EQ,BRUNIPACNPA0
Unipar Carbocloro SA,Materials,UNIP3.SA,EQ,BRUNIPACNOR7
Banrisul SA PN,Financials,BRSR6.SA,EQ,BRBRSRACNPB4
Banco do Estado do Rio Grande do Sul SA,Financials,BRSR3.SA,EQ,BRBRSRACNOR3
Banco do Estado do Rio Grande do Sul SA 6 % Conv Pfd A,Financials,BRSR5.SA,EQ,BRBRSRACNPA6
Braskem,Materials,BRKM5.SA,EQ,BRBRKMACNPA4
Braskem S.A.,Materials,BRKM3.SA,EQ,BRBRKMACNOR1
Braskem S.A.,Materials,BRKM6.SA,EQ,BRBRKMACNPB2
M Dias Branco,Consumer Staples,MDIA3.SA,EQ,BRMDIAACNOR7
Fras-Le S.A.,Industrials,FRAS3.SA,EQ,BRFRASACNOR0
Banco ABC Brasil SA Conv Pfd,Financials,ABCB4.SA,EQ,BRABCBACNPR4
Whirlpool S.A.,Consumer Discretionary,WHRL3.SA,EQ,BRWHRLACNOR5
Whirlpool SA Pfd,Consumer Discretionary,WHRL4.SA,EQ,BRWHRLACNPR2
Hapvida,Health Care,HAPV3.SA,EQ,BRHAPVACNOR4
Elektro Redes S.A. Pfd Shs,Utilities,EKTR4.SA,EQ,BREKTRACNPR7
Centrais Eletricas de Santa Catarina S.A.,Utilities,CLSC3.SA,EQ,BRCLSCACNOR6
Centrais Eletricas de Santa Catarina SA Pfd,Utilities,CLSC4.SA,EQ,BRCLSCACNPR3
Sao Martinho,Consumer Staples,SMTO3.SA,EQ,BRSMTOACNOR3
Schulz S.A.,Consumer Discretionary,SHUL4.SA,EQ,BRSHULACNPR4
Ecorodovias,Industrials,ECOR3.SA,EQ,BRECORACNOR8
Vivara,Consumer Discretionary,VIVA3.SA,EQ,BRVIVAACNOR0
Equatorial Maranhao Distribuidora de Energia SA,Utilities,EQMA3B.SA,EQ,BREQMAACNOR8
Simpar SA,Industrials,SIMH3.SA,EQ,BRSIMHACNOR0
Cogna Educacao,Consumer Discretionary,COGN3.SA,EQ,BRCOGNACNOR2
Vulcabras SA,Consumer Staples,VULC3.SA,EQ,BRVULCACNOR2
Hidrovias do Brasil SA,Industrials,HBSA3.SA,EQ,BRHBSAACNOR0
Mahle-Metal Leve SA,Industrials,LEVE3.SA,EQ,BRLEVEACNOR2
Raizen Energia,Energy,RAIZ4.SA,EQ,BRRAIZACNPR6
RIACHUELO,Industrials,RIAA3.SA,EQ,BRRIAAACNOR2
Intelbras SA Industria de Telecomunicacao Eletronica Brasileir,Technology,INTB3.SA,EQ,BRINTBACNOR9
Dexco SA,Materials,DXCO3.SA,EQ,BRDXCOACNOR8
IRB Brasil Resseguros SA,Financials,IRBR3.SA,EQ,BRIRBRACNOR4
Tenda Construtora SA,Real Estate,TEND3.SA,EQ,BRTENDACNOR4
Movida Participacoes SA,Consumer Discretionary,MOVI3.SA,EQ,BRMOVIACNOR0
Minerva Foods,Consumer Staples,BEEF3.SA,EQ,BRBEEFACNOR6
Magazine Luiza,Consumer Discretionary,MGLU3.SA,EQ,BRMGLUACNOR2
EZTec,Real Estate,EZTC3.SA,EQ,BREZTCACNOR0
Vamos Locação de Caminhões  Máquinas e Equipamentos S.A.,Industrials,VAMO3.SA,EQ,BRVAMOACNOR7
Grendene S.A.,Consumer Discretionary,GRND3.SA,EQ,BRGRNDACNOR3
Azzas 2154 S.A.,Consumer Discretionary,AZZA3.SA,EQ,BRAZZAACNOR9
Rio Paranapanema Energia S.A.,Utilities,GEPA4.SA,EQ,BRGEPAACNPR9
Rio Paranapanema Energia SA,Utilities,GEPA3.SA,EQ,BRGEPAACNOR2
DASA,Health Care,DASA3.SA,EQ,BRDASAACNOR1
Mills Estruturas e Servicos de Engenharia,Industrials,MILS3.SA,EQ,BRMILSACNOR2
Banco da Amazônia S.A.,Financials,BAZA3.SA,EQ,BRBAZAACNOR0
C&A Modas S.A.,Consumer Discretionary,CEAB3.SA,EQ,BRCEABACNOR1
Banco Pine S.A.,Financials,PINE4.SA,EQ,BRPINEACNPR8
Banco Pine S.A.,Financials,PINE3.SA,EQ,BRPINEACNOR1
Petroreconcavo S.A.,Energy,RECV3.SA,EQ,BRRECVACNOR3
Banestes S.A - Banco do Estado do Espírito Santo,Financials,BEES3.SA,EQ,BRBEESACNOR9
Banestes S.A - Banco do Estado do Espírito Santo,Financials,BEES4.SA,EQ,BRBEESACNPR6
Empresa Metropolitana de Águas e Energia S.A.,Utilities,EMAE4.SA,EQ,BREMAEACNPR1
Log-In Logística Intermodal S.A.,Industrials,LOGN3.SA,EQ,BRLOGNACNOR3
MRV Engenharia,Real Estate,MRVE3.SA,EQ,BRMRVEACNOR2
Moura Dubeux Engenharia S.A.,Real Estate,MDNE3.SA,EQ,BRMDNEACNOR9
Empreendimentos Pague Menos S.A.,Health Care,PGMN3.SA,EQ,BRPGMNACNOR8
Uniao Pet Participacoes S.A.,Consumer Discretionary,AUAU3.SA,EQ,BRAUAUACNOR1
Companhia Energética do Ceará - COELCE,Utilities,COCE5.SA,EQ,BRCOCEACNPA3
Cia de Ferro Ligas da Bahia S.A. - FERBASA,Materials,FESA3.SA,EQ,BRFESAACNOR8
Cia de Ferro Ligas da Bahia S.A. - FERBASA,Materials,FESA4.SA,EQ,BRFESAACNPR5
Unifique Telecomunicacoes SA,Communication Services,FIQE3.SA,EQ,BRFIQEACNOR5
Grupo SBF S.A.,Consumer Discretionary,SBFG3.SA,EQ,BRSBFGACNOR1
Track & Field Co S.A.,Consumer Discretionary,TFCO4.SA,EQ,BRTFCOACNPR8
Log Commercial Properties SA,Real Estate,LOGG3.SA,EQ,BRLOGGACNOR7
Eucatex S.A. Indústria e Comércio,Industrials,EUCA3.SA,EQ,BREUCAACNOR1
Eucatex S.A. Indústria e Comércio,Industrials,EUCA4.SA,EQ,BREUCAACNPR8
Blau Farmaceutica,Health Care,BLAU3.SA,EQ,BRBLAUACNOR8
Yduqs,Consumer Discretionary,YDUQ3.SA,EQ,BRYDUQACNOR3
Locaweb,Technology,LWSA3.SA,EQ,BRLWSAACNOR8
Lavvi Empreendimentos Imobiliários S.A.,Real Estate,LAVV3.SA,EQ,BRLAVVACNOR4
Desktop S.A.,Communication Services,DESK3.SA,EQ,BRDESKACNOR2
Bemobi Mobile Tech S.A.,Communication Services,BMOB3.SA,EQ,BRBMOBACNOR7
Tegma Gestao Logistica SA,Industrials,TGMA3.SA,EQ,BRTGMAACNOR7
OceanPact Serviços Marítimos S.A.,Industrials,OPCT3.SA,EQ,BROPCTACNOR0
Vitru Educação S.A.,Consumer Staples,VTRU3.SA,EQ,BRVTRUACNOR3
Companhia Energética de Brasília - CEB,Utilities,CEBR3.SA,EQ,BRCEBRACNOR5
Companhia Energética de Brasília - CEB,Utilities,CEBR6.SA,EQ,BRCEBRACNPB6
Companhia Energética de Brasília - CEB,Utilities,CEBR5.SA,EQ,BRCEBRACNPA8
Tupy SA,Industrials,TUPY3.SA,EQ,BRTUPYACNOR1
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Staples,AGRO3.SA,EQ,BRAGROACNOR7
Irani Papel e Embalagem SA,Materials,RANI3.SA,EQ,BRRANIACNOR5
Camil Alimentos SA,Consumer Staples,CAML3.SA,EQ,BRCAMLACNOR3
Plano e Plano Desenvolvimento Imobiliario,Real Estate,PLPL3.SA,EQ,BRPLPLACNOR5
Dimed S.A. Distribuidora de Medicamentos,Health Care,PNVL3.SA,EQ,BRPNVLACNOR9
JSL SA,Industrials,JSLG3.SA,EQ,BRJSLGACNOR2
BRB - Banco de Brasília S.A.,Financials,BSLI3.SA,EQ,BRBSLIACNOR5
BRB - Banco de Brasília S.A.,Financials,BSLI4.SA,EQ,BRBSLIACNPR2
Randoncorp S.A.,Industrials,RAPT3.SA,EQ,BRRAPTACNOR7
Randon SA,Industrials,RAPT4.SA,EQ,BRRAPTACNPR4
Hospital Mater Dei S.A.,Health Care,MATD3.SA,EQ,BRMATDACNOR4
Ouro Fino Saúde Animal Participações S.A.,Health Care,OFSA3.SA,EQ,BROFSAACNOR7
Ser Educacional SA,Consumer Discretionary,SEER3.SA,EQ,BRSEERACNOR5
Iochpe-Maxion S.A.,Consumer Discretionary,MYPK3.SA,EQ,BRMYPKACNOR7
Oncoclínicas do Brasil Serviços Médicos S.A.,Health Care,ONCO3.SA,EQ,BRONCOACNOR6
Oncoclinicas do Brasil Servicos Medicos S.A.,Health Care,ONCO11.SA,EQ,BRONCON01OR0
Valid Soluções S.A.,Industrials,VLID3.SA,EQ,BRVLIDACNOR5
Grupo Multi S.A.,Technology,MLAS3.SA,EQ,BRMLASACNOR9
Cruzeiro do Sul Educacional S.A.,Consumer Staples,CSED3.SA,EQ,BRCSEDACNOR9
Via Varejo SA (Casas Bahia),Consumer Discretionary,BHIA3.SA,EQ,BRBHIAACNOR1
Ânima Holding S.A.,Consumer Staples,ANIM3.SA,EQ,BRANIMACNOR6
Wiz Co Participações e Corretagem de Seguros S.A.,Financials,WIZC3.SA,EQ,BRWIZCACNOR5
Kepler Weber S.A.,Industrials,KEPL3.SA,EQ,BRKEPLACNOR1
Banco BMG S.A.,Financials,BMGB4.SA,EQ,BRBMGBACNPR0
BRISANET ON NM,Communication Services,BRST3.SA,EQ,BRBRSTACNOR9
Armac Locação  Logística e Serviços S.A.,Industrials,ARML3.SA,EQ,BRARMLACNOR1
Even Construtora e Incorporadora SA,Real Estate,EVEN3.SA,EQ,BREVENACNOR8
Telecomunicações Brasileiras S.A. - Telebras,Communication Services,TELB4.SA,EQ,BRTELBACNPR9
Telecomunicações Brasileiras S.A. - Telebras,Communication Services,TELB3.SA,EQ,BRTELBACNOR2
Priner Serviços Industriais S.A.,Industrials,PRNR3.SA,EQ,BRPRNRACNOR4
Banco do Estado de Sergipe S.A.,Financials,BGIP3.SA,EQ,BRBGIPACNOR1
Banco do Estado de Sergipe S.A.,Financials,BGIP4.SA,EQ,BRBGIPACNPR8
Light SA,Utilities,LIGT3.SA,EQ,BRLIGTACNOR2
Allpark Empreendimentos  Participações e Serviços S.A.,Industrials,ALPK3.SA,EQ,BRALPKACNOR9
Trisul S.A.,Real Estate,TRIS3.SA,EQ,BRTRISACNOR4
Americanas S.A.,Consumer Discretionary,AMER3.SA,EQ,BRAMERACNOR6
Biomm S.A.,Health Care,BIOM3.SA,EQ,BRBIOMACNOR2
Oranjebtc S.A. - Educação e Investimento,Consumer Staples,OBTC3.SA,EQ,BROBTCACNOR0
Boa Safra Sementes S.A.,Materials,SOJA3.SA,EQ,BRSOJAACNOR9
Dexxos Participações S.A.,Materials,DEXP4.SA,EQ,BRDEXPACNPR8
Dexxos Participações S.A.,Materials,DEXP3.SA,EQ,BRDEXPACNOR1
Profarma Distribuidora de Produtos Farmacêuticos S.A.,Health Care,PFRM3.SA,EQ,BRPFRMACNOR1
Terra Santa Propriedades Agrícolas S.A.,Consumer Staples,LAND3.SA,EQ,BRLANDACNOR9
Grupo Pao de Acucar,Consumer Staples,PCAR3.SA,EQ,BRPCARACNOR3
CVC Brasil Operadora Turistica SA,Consumer Discretionary,CVCB3.SA,EQ,BRCVCBACNOR1
Companhia de Participações Aliança da Bahia,Financials,PEAB4.SA,EQ,BRPEABACNPR0
Companhia de Participações Aliança da Bahia,Financials,PEAB3.SA,EQ,BRPEABACNOR3
Jalles Machado S/A,Consumer Staples,JALL3.SA,EQ,BRJALLACNOR0
Panatlântica S.A.,Materials,PATI3.SA,EQ,BRPATIACNOR6
Panatlantica S.A. Pfd,Industrials,PATI4.SA,EQ,BRPATIACNPR3
WLM Participações e Comércio de Máquinas e Veículos S.A.,Consumer Discretionary,WLMM4.SA,EQ,BRWLMMACNPR3
WLM Participações e Comércio de Máquinas e Veículos S.A.,Consumer Discretionary,WLMM3.SA,EQ,BRWLMMACNOR6
São Carlos Empreendimentos e Participações S.A.,Real Estate,SCAR3.SA,EQ,BRSCARACNOR7
CSU Digital S.A.,Technology,CSUD3.SA,EQ,BRCSUDACNOR5
Melnick Desenvolvimento Imobiliário S.A.,Real Estate,MELK3.SA,EQ,BRMELKACNOR8
Taurus Armas S.A.,Industrials,TASA3.SA,EQ,BRTASAACNOR7
Taurus Armas S.A.,Industrials,TASA4.SA,EQ,BRTASAACNPR4
Grazziotin S.A.,Consumer Discretionary,CGRA3.SA,EQ,BRCGRAACNOR2
Grazziotin S.A.,Consumer Discretionary,CGRA4.SA,EQ,BRCGRAACNPR9
Romi S.A.,Industrials,ROMI3.SA,EQ,BRROMIACNOR8
Alfa Holdings S.A.,Industrials,RPAD5.SA,EQ,BRRPADACNPA4
Alfa Holdings S.A.,Industrials,RPAD6.SA,EQ,BRRPADACNPB2
Alfa Holdings S.A.,Industrials,RPAD3.SA,EQ,BRRPADACNOR1
Syn Prop & Tech S.A.,Real Estate,SYNE3.SA,EQ,BRSYNEACNOR2
Paranapanema S.A.,Materials,PMAM3.SA,EQ,BRPMAMACNOR3
Vittia S.A.,Materials,VITT3.SA,EQ,BRVITTACNOR4
Positivo Tecnologia,Technology,POSI3.SA,EQ,BRPOSIACNOR9
Allied Tecnologia S.A.,Technology,ALLD3.SA,EQ,BRALLDACNOR3
Automob Participações S.A.,Consumer Discretionary,AMOB3.SA,EQ,BRAMOBACNOR9
