Company Name,Industry,Symbol,Series,ISIN Code
Telefonica Brasil,Communication Services,VIVT3.SA,EQ,BRVIVTACNOR0
TIM SA,Communication Services,TIMS3.SA,EQ,BRTIMSACNOR5
Unifique Telecomunicacoes SA,Communication Services,FIQE3.SA,EQ,BRFIQEACNOR5
Desktop S.A.,Communication Services,DESK3.SA,EQ,BRDESKACNOR2
Bemobi Mobile Tech S.A.,Communication Services,BMOB3.SA,EQ,BRBMOBACNOR7
BRISANET ON NM,Communication Services,BRST3.SA,EQ,BRBRSTACNOR9
Telecomunicações Brasileiras S.A. - Telebras,Communication Services,TELB4.SA,EQ,BRTELBACNPR9
Telecomunicações Brasileiras S.A. - Telebras,Communication Services,TELB3.SA,EQ,BRTELBACNOR2
WDC NETWORKSON NM,Communication Services,WDCN3.SA,EQ,BRWDCNACNOR2
Record TV Participacoes SA,Communication Services,RCSL4.SA,EQ,BRRCSLACNPR1
Oi SA,Communication Services,OIBR3.SA,EQ,BROIBRACNOR1
Oi S.A.,Communication Services,OIBR4.SA,EQ,BROIBRACNPR8
Dtcom-Direct to Co. SA,Communication Services,DTCY3.SA,EQ,BRDTCYACNOR5
