Company Name,Industry,Symbol,Series,ISIN Code
Amazon.com Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,Consumer Discretionary,AMZO34.SA,EQ,BRAMZOBDR002
Tesla Inc. Unsponsored Brazilian Depositary Receipt Repr 0.03125 Sh,Consumer Discretionary,TSLA34.SA,EQ,BRTSLABDR008
Walmart Inc Shs Unsponsored Brazilian Depository Receipts Repr 0.0625 Sh,Consumer Discretionary,WALM34.SA,EQ,BRWALMBDR005
Costco Wholesale Corporation Unsponsored Brazilian Depositary Receipt Repr 0.025 Sh,Consumer Discretionary,COWC34.SA,EQ,BRCOWCBDR006
Home Depot Inc Shs Unsponsored Brazilian Depository Receipts Repr 0.03571 Sh,Consumer Discretionary,HOME34.SA,EQ,BRHOMEBDR002
Alibaba Group Holding Limited ADR Unsponsored Brazilian Depository Receipt Repr 0.03571 ADR,Consumer Discretionary,BABA34.SA,EQ,BRBABABDR005
Toyota Motor Corp ADR Unsponsored Brazilian Depository Receipt Repr 0.0625 ADR,Consumer Discretionary,TMCO34.SA,EQ,BRTMCOBDR001
McDonald's Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Consumer Discretionary,MCDC34.SA,EQ,BRMCDCBDR000
Walt Disney Company Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Discretionary,DISB34.SA,EQ,BRDISBBDR006
Booking Holdings Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0057143 Sh,Consumer Discretionary,BKNG34.SA,EQ,BRBKNGBDR006
CVS Health Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.1 Sh,Consumer Discretionary,CVSH34.SA,EQ,BRCVSHBDR008
PDD Holdings Inc. ADR A Unsponsored Brazilian Depositary Receipt Repr 0.1 ADR A,Consumer Discretionary,P1DD34.SA,EQ,BRP1DDBDR004
Lowe's Companies Inc Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,Consumer Discretionary,LOWC34.SA,EQ,BRLOWCBDR007
Starbucks Corporation Shs Unsponsored Brazilian Depository Receipts Repr 1 Sh,Consumer Discretionary,SBUB34.SA,EQ,BRSBUBBDR005
Marriott International Inc. (New) Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,M1TT34.SA,EQ,BRM1TTBDR009
Comcast Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.2 Sh,Consumer Discretionary,CMCS34.SA,EQ,BRCMCSBDR008
MercadoLibre Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.00833 Sh,Consumer Discretionary,MELI34.SA,EQ,BRMELIBDR006
Airbnb Inc. Shs A Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh A,Consumer Discretionary,AIRB34.SA,EQ,BRAIRBBDR004
Hilton Worldwide Holdings Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.04166667 Sh,Consumer Discretionary,H1LT34.SA,EQ,BRH1LTBDR003
Royal Caribbean Group Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Consumer Discretionary,R1CL34.SA,EQ,BRR1CLBDR007
O'Reilly Automotive Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.003225806 Sh,Consumer Discretionary,ORLY34.SA,EQ,BRORLYBDR001
General Motors Company Shs Unsponsored Brazilian Depository Receipt Repr 0.25 Sh,Consumer Discretionary,GMCO34.SA,EQ,BRGMCOBDR008
Ross Stores Inc. Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Consumer Discretionary,ROST34.SA,EQ,BRROSTBDR006
Warner Bros. Discovery Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh -A-,Consumer Discretionary,W1BD34.SA,EQ,BRW1BDBDR009
Ford Motor Company Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Discretionary,FDMO34.SA,EQ,BRFDMOBDR008
Target Corporation Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Discretionary,TGTB34.SA,EQ,BRTGTBBDR004
Sea Limited ADR A Unsponsored Brazilian Depositary Receipt Repr 1 ADR A,Consumer Discretionary,S2EA34.SA,EQ,BRS2EABDR003
AutoZone Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0045454545 S,Consumer Discretionary,AZOI34.SA,EQ,BRAZOIBDR000
eBay Inc. Shs Unsponsored Brazilian Depository Receipts Repr 1/2 Sh,Consumer Discretionary,EBAY34.SA,EQ,BREBAYBDR009
Yum! Brands Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Consumer Discretionary,YUMR34.SA,EQ,BRYUMRBDR006
Kroger Co. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,K1RC34.SA,EQ,BRK1RCBDR001
Carnival Corporation Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,C1CL34.SA,EQ,BRC1CLBDR004
Chipotle Mexican Grill Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Consumer Discretionary,C1MG34.SA,EQ,BRC1MGBDR003
JD.com Inc. ADR Unsponsored Brazilian Depository Receipt Repr 0.1666667 ADR,Consumer Discretionary,JDCO34.SA,EQ,BRJDCOBDR001
Honda Motor Co. Ltd. ADR Unsponsored Brazilian Depository Receipt Repr 1 ADR,Consumer Discretionary,HOND34.SA,EQ,BRHONDBDR002
Las Vegas Sands Corp. Unsponsored Brazilian Depository Receipt Repr 0.2 Sh,Consumer Discretionary,L1VS34.SA,EQ,BRL1VSBDR008
Trip.com Group Ltd. ADR Unsponsored Brazilian Depository Receipt Repr 1 ADR,Consumer Discretionary,CRIP34.SA,EQ,BRCRIPBDR000
Copart Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.5 Sh,Consumer Discretionary,C1PR34.SA,EQ,BRC1PRBDR003
Tapestry Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,TPRY34.SA,EQ,BRTPRYBDR001
Expedia Group Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Consumer Discretionary,EXGR34.SA,EQ,BREXGRBDR004
Intercontinental Hotels Group PLC Unsponsored Brazilian Depositary Receipt Repr 0.16666667 ADR,Consumer Discretionary,I1HG34.SA,EQ,BRI1HGBDR007
Dollar General Corporation Shs Unsponsored Brazilian Depository Receipt Repr 0.04166667 S,Consumer Discretionary,DGCO34.SA,EQ,BRDGCOBDR007
Darden Restaurants Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,D1RI34.SA,EQ,BRD1RIBDR007
PulteGroup Inc. Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,P1HM34.SA,EQ,BRP1HMBDR006
Dollar Tree Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Consumer Discretionary,DLTR34.SA,EQ,BRDLTRBDR004
Ulta Beauty Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Consumer Discretionary,U1LT34.SA,EQ,BRU1LTBDR006
Burlington Stores Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.033333 Sh,Consumer Discretionary,B2UR34.SA,EQ,BRB2URBDR002
Snap-On Incorporated Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,S1NA34.SA,EQ,BRS1NABDR006
Charter Communications Inc. Shs A Unsponsored Brazilian Depository Receipt Repr 0.01667 Sh -,Consumer Discretionary,CHCM34.SA,EQ,BRCHCMBDR001
NVR Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh,Consumer Discretionary,N1VR34.SA,EQ,BRN1VRBDR008
Tractor Supply Company Shs Unsponsored Brazilian Depositary Receipt Repr 0.055555 Sh,Consumer Discretionary,T1SC34.SA,EQ,BRT1SCBDR000
Best Buy Co. Inc. Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Discretionary,BBYY34.SA,EQ,BRBBYYBDR005
DraftKings Inc. Shs A Unsponsored Brazilian Depositary Receipt Repr 0.16667 Sh A,Consumer Discretionary,D2KN34.SA,EQ,BRD2KNBDR000
Stanley Black & Decker Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,S1WK34.SA,EQ,BRS1WKBDR006
Hasbro Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Consumer Discretionary,H1AS34.SA,EQ,BRH1ASBDR008
Paramount Skydance Corporation Shs B Unsponsored Brazilian Depositary Receipt Repr 1 Sh B,Consumer Discretionary,PSKY34.SA,EQ,BRPSKYBDR008
Domino's Pizza Inc. Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh,Consumer Discretionary,D2PZ34.SA,EQ,BRD2PZBDR003
Wayfair Inc. Unsponsored Brazilian Depositary Receipt Repr 0.02857 Sh -A-,Consumer Discretionary,W2YF34.SA,EQ,BRW2YFBDR004
Norwegian Cruise Line Holdings Ltd. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,N1CL34.SA,EQ,BRN1CLBDR001
Sprouts Farmers Market Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.3333333 Sh,Consumer Discretionary,S2FM34.SA,EQ,BRS2FMBDR005
Gap Inc. Unsponsored Brazilian Depository Receipt Repr 1/1 Sh,Consumer Discretionary,GPSI34.SA,EQ,BRGPSIBDR009
New Oriental Education & Technology Group Inc. Unsponsored Brazilian Depositary Receipt Repr 0.0666 ADR,Consumer Discretionary,E1DU34.SA,EQ,BRE1DUBDR001
Vipshop Holdings Ltd. Unsponsored Brazilian Depositary Receipt Repr 0.5 ADR,Consumer Discretionary,V1IP34.SA,EQ,BRV1IPBDR009
Vibra Energia SA,Consumer Discretionary,VBBR3.SA,EQ,BRVBBRACNOR1
Churchill Downs Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Consumer Discretionary,C2HD34.SA,EQ,BRC2HDBDR008
Raia Drogasil S.A.,Consumer Discretionary,RADL3.SA,EQ,BRRADLACNOR0
Macy's Inc. Unsponsored Brazilian Depository Receipt Repr 1/1 Sh,Consumer Discretionary,MACY34.SA,EQ,BRMACYBDR000
Ultrapar Participacoes S.A.,Consumer Discretionary,UGPA3.SA,EQ,BRUGPAACNOR8
Stride Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,L2RN34.SA,EQ,BRL2RNBDR005
Planet Fitness Inc. Shs -A- Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh -A-,Consumer Discretionary,P2LN34.SA,EQ,BRP2LNBDR004
Bath & Body Works Inc. Shs Unsponsored Brazilian Depositary Receipt Repr0.25 Sh,Consumer Discretionary,B1BW34.SA,EQ,BRB1BWBDR012
Advance Auto Parts Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.0625 Sh,Consumer Discretionary,A1AP34.SA,EQ,BRA1APBDR001
Lojas Renner S.A.,Consumer Discretionary,LREN3.SA,EQ,BRLRENACNOR1
RH Unsponsored Brazilian Depositary Receipt Repr 0.0166 Sh,Consumer Discretionary,R2HH34.SA,EQ,BRR2HHBDR002
Harley-Davidson Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,H1OG34.SA,EQ,BRH1OGBDR004
PENN Entertainment Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,Consumer Discretionary,P2EN34.SA,EQ,BRP2ENBDR009
Whirlpool Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Discretionary,W1HR34.SA,EQ,BRW1HRBDR006
Sendas Distribuidora SA,Consumer Discretionary,ASAI3.SA,EQ,BRASAIACNOR0
Smartfit Escola de Ginastica e Danca SA,Consumer Discretionary,SMFT3.SA,EQ,BRSMFTACNOR1
Capri Holdings Limited Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Discretionary,CAPH34.SA,EQ,BRCAPHBDR008
Grupo Mateus SA,Consumer Discretionary,GMAT3.SA,EQ,BRGMATACNOR7
Kohl's Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,K1SS34.SA,EQ,BRK1SSBDR005
Arcos Dorados Holdings Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,A1RC34.SA,EQ,BRA1RCBDR003
TripAdvisor Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,T1RI34.SA,EQ,BRT1RIBDR009
Leggett & Platt Inc Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Discretionary,L1EG34.SA,EQ,BRL1EGBDR009
Afya Limited Unsponsored BDR A,Consumer Discretionary,A2FY34.SA,EQ,BRA2FYBDR000
Whirlpool S.A.,Consumer Discretionary,WHRL3.SA,EQ,BRWHRLACNOR5
Whirlpool SA Pfd,Consumer Discretionary,WHRL4.SA,EQ,BRWHRLACNPR2
Vivara Participacoes SA,Consumer Discretionary,VIVA3.SA,EQ,BRVIVAACNOR0
Raizen SA Non-Cum Perp Pfd Registered Shs,Consumer Discretionary,RAIZ4.SA,EQ,BRRAIZACNPR6
Magazine Luiza S.A.,Consumer Discretionary,MGLU3.SA,EQ,BRMGLUACNOR2
C&A Modas SA,Consumer Discretionary,CEAB3.SA,EQ,BRCEABACNOR1
MRV Engenharia e Participacoes S.A.,Consumer Discretionary,MRVE3.SA,EQ,BRMRVEACNOR2
Empreendimentos Pague Menos SA,Consumer Discretionary,PGMN3.SA,EQ,BRPGMNACNOR8
Grupo SBF S.A.,Consumer Discretionary,SBFG3.SA,EQ,BRSBFGACNOR1
Track & Field Co SA Pfd Registered Shs,Consumer Discretionary,TFCO4.SA,EQ,BRTFCOACNPR8
Dimed S.A. Distribuidora de Medicamentos,Consumer Discretionary,PNVL3.SA,EQ,BRPNVLACNOR9
Grupo Ser Educacional SA,Consumer Discretionary,SEER3.SA,EQ,BRSEERACNOR5
Cruzeiro do Sul Educacional SA,Consumer Discretionary,CSED3.SA,EQ,BRCSEDACNOR9
Cable One Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.005 Sh,Consumer Discretionary,C1AB34.SA,EQ,BRC1ABBDR009
Grupo Casas Bahia S.A.,Consumer Discretionary,BHIA3.SA,EQ,BRBHIAACNOR1
Anima Holding SA,Consumer Discretionary,ANIM3.SA,EQ,BRANIMACNOR6
Americanas SA,Consumer Discretionary,AMER3.SA,EQ,BRAMERACNOR6
Trisul S.A.,Consumer Discretionary,TRIS3.SA,EQ,BRTRISACNOR4
Allpark Empreendimentos Participacoes e Servicos S.A.,Consumer Discretionary,ALPK3.SA,EQ,BRALPKACNOR9
