Company Name,Industry,Symbol,Series,ISIN Code
Coca-Cola Company Shs Unsponsored Brazilian Depositary Receipt Repr 0.166666667 Sh,Consumer Staples,COCA34.SA,EQ,BRCOCABDR002
Procter & Gamble Co Shs Unsponsored Brazilian Depository Receipt Repr 0.07143 Sh,Consumer Staples,PGCO34.SA,EQ,BRPGCOBDR001
Philip Morris International Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Staples,PHMO34.SA,EQ,BRPHMOBDR008
PepsiCo Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0666667 Sh,Consumer Staples,PEPB34.SA,EQ,BRPEPBBDR005
Anheuser-Busch InBev SA/NV ADR Unsponsored Brazilian Depository Receipt Repr 0.1667 ADR,Consumer Staples,ABUD34.SA,EQ,BRABUDBDR009
British American Tobacco PLC ADR Unsponsored Brazilian Depositary Receipt Repr 0.2 ADR,Consumer Staples,B1TI34.SA,EQ,BRB1TIBDR005
Unilever PLC ADR Unsponsored Brazilian Depository Receipt Repr 1 ADR,Consumer Staples,ULEV34.SA,EQ,BRULEVBDR002
Altria Group Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Staples,MOOO34.SA,EQ,BRMOOOBDR007
Monster Beverage Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Staples,M1NS34.SA,EQ,BRM1NSBDR004
Mondelez International Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Consumer Staples,MDLZ34.SA,EQ,BRMDLZBDR002
Colgate-Palmolive Co Shs Unsponsored Brazilian Depositary Receipt Repr 0.142857143 Sh,Consumer Staples,COLG34.SA,EQ,BRCOLGBDR000
NIKE Inc. Shs B Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh B,Consumer Staples,NIKE34.SA,EQ,BRNIKEBDR006
Ambev SA,Consumer Staples,ABEV3.SA,EQ,BRABEVACNOR1
Diageo PLC ADR Unsponsored Brazilian Depository Receipt Repr 0.05555556 ADR,Consumer Staples,DEOP34.SA,EQ,BRDEOPBDR004
Hershey Co Shs Unsponsored Brazilian Depository Receipt Repr 1/5 Sh,Consumer Staples,HSHY34.SA,EQ,BRHSHYBDR001
Kimberly-Clark Corp Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Staples,KMBB34.SA,EQ,BRKMBBBDR009
Estee Lauder Companies Inc Shs A Unsponsored Brazilian Depository Receipt Repr 0.04166667 S,Consumer Staples,ELCI34.SA,EQ,BRELCIBDR007
Kraft Heinz Company Shs Unsponsored Brazilian Depository Receipt Repr 0.25 Sh,Consumer Staples,KHCB34.SA,EQ,BRKHCBBDR007
Fomento Economico Mexicano SAB de CV Shs Unsponsored Brazilian Depository Receipt Repr 1 ADR,Consumer Staples,FMXB34.SA,EQ,BRFMXBBDR003
Constellation Brands Inc. Shs -A- Unsponsored Brazilian Depository Receipt Repr 1/4 Sh -A-,Consumer Staples,STZB34.SA,EQ,BRSTZBBDR006
Church & Dwight Co. Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Staples,CHDC34.SA,EQ,BRCHDCBDR000
Ralph Lauren Corporation Shs A Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh A,Consumer Staples,R1LC34.SA,EQ,BRR1LCBDR007
Tyson Foods Inc. Shs A Unsponsored Brazilian Depository Receipt Repr 1 Sh,Consumer Staples,TSNF34.SA,EQ,BRTSNFBDR003
International Flavors & Fragrances Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Consumer Staples,I1FF34.SA,EQ,BRI1FFBDR003
General Mills Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Staples,G1MI34.SA,EQ,BRG1MIBDR005
lululemon athletica inc. Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Staples,L1UL34.SA,EQ,BRL1ULBDR005
JBS N.V. Shs Sponsored Brazilian Depositary Receipt Repr 1 Sh A,Consumer Staples,JBSS32.SA,EQ,BRJBSSBDR002
Hormel Foods Corporation Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Consumer Staples,H1RL34.SA,EQ,BRH1RLBDR007
McCormick & Company Incorporated Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Consumer Staples,M1KC34.SA,EQ,BRM1KCBDR004
