Company Name,Industry,Symbol,Series,ISIN Code
Berkshire Hathaway Inc. B Unsponsored Brazilian Depository Receipt Repr 0.05 Sh B,Financials,BERK34.SA,EQ,BRBERKBDR002
JPMorgan Chase & Co. Shs Unsponsored Brazilian Depository Receipts Repr 0.1 Sh,Financials,JPMC34.SA,EQ,BRJPMCBDR009
Visa Inc. Shs A Unsponsored Brazilian Depository Receipt Repr 0.05 Sh A,Financials,VISA34.SA,EQ,BRVISABDR000
Mastercard Inc Shs A Unsponsored Brazilian Depositary Receipt Repr 0.032258065 Sh,Financials,MSCD34.SA,EQ,BRMSCDBDR006
Bank of America Corp Shs Unsponsored Brazilian Depository Receipts Repr 0.25 Sh,Financials,BOAC34.SA,EQ,BRBOACBDR004
Morgan Stanley Shs Unsponsored Brazilian Depository Receipts Repr 0.2 Sh,Financials,MSBR34.SA,EQ,BRMSBRBDR008
HSBC Holdings Plc Unsponsored Brazilian Depositary Receipt Repr 0.25 ADR,Financials,H1SB34.SA,EQ,BRH1SBBDR006
Goldman Sachs Group Inc. Shs Unsponsored Brazilian Depository Receipts Repr 0.03333333 Sh,Financials,GSGI34.SA,EQ,BRGSGIBDR008
Wells Fargo & Company Shs Unsponsored Brazilian Depository Receipt Repr 0.25 Sh,Financials,WFCO34.SA,EQ,BRWFCOBDR009
Citigroup Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.1667 Sh,Financials,CTGP34.SA,EQ,BRCTGPBDR000
Mitsubishi UFJ Financial Group Inc. Unsponsored Brazilian Depositary Receipt Repr 1 ADR,Financials,M1UF34.SA,EQ,BRM1UFBDR006
American Express Co Shs Unsponsored Brazilian Depository Receipt Repr 0.1 Sh,Financials,AXPB34.SA,EQ,BRAXPBBDR007
Banco Santander SA ADR Unsponsored Brazilian Depository Receipt Repr 1 ADR,Financials,BCSA34.SA,EQ,BRBCSABDR005
BlackRock Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.01515152 Sh,Financials,BLAK34.SA,EQ,BRBLAKBDR003
Charles Schwab Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.125 Sh,Financials,SCHW34.SA,EQ,BRSCHWBDR006
Sumitomo Mitsui Financial Group Inc. Unsponsored Brazilian Depositary Receipt Repr 1 ADR,Financials,S1MF34.SA,EQ,BRS1MFBDR007
Welltower Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.5 Sh,Financials,W1EL34.SA,EQ,BRW1ELBDR006
Interactive Brokers Group Inc. Unsponsored Brazilian Depositary Receipt Repr 0.0625 Sh,Financials,IBKR34.SA,EQ,BRIBKRBDR003
UBS Group AG Shs Unsponsored Brazilian Depository Receipts Repr 1Sh,Financials,UBSG34.SA,EQ,BRUBSGBDR004
Prologis Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.0833333 Sh,Financials,P1LD34.SA,EQ,BRP1LDBDR007
