Company Name,Industry,Symbol,Series,ISIN Code
Eli Lilly & Co Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Health Care,LILY34.SA,EQ,BRLILYBDR006
Johnson & Johnson Shs Unsponsored Brazilian Depository Receipt Repr 0.0666667 Sh,Health Care,JNJB34.SA,EQ,BRJNJBBDR002
AbbVie Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0625 Sh,Health Care,ABBV34.SA,EQ,BRABBVBDR001
Unitedhealth Group Inc Shs Unsponsored Brazilian Depository Receipt Repr 0.0142857 Sh,Health Care,UNHH34.SA,EQ,BRUNHHBDR000
Merck & Co. Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.125 Sh,Health Care,MRCK34.SA,EQ,BRMRCKBDR003
AstraZeneca PLC ADR Unsponsored Brazilian Depositary Receipt Repr 0.1666 ADR,Health Care,A1ZN34.SA,EQ,BRA1ZNBDR003
Novartis AG Unsponsored Brazilian Depositary Receipt Repr 0.1 ADR,Health Care,N1VS34.SA,EQ,BRN1VSBDR006
Novo Nordisk A/S ADR B Unsponsored Brazilian Depositary Receipt Repr 0.125 ADR B,Health Care,N1VO34.SA,EQ,BRN1VOBDR005
Amgen Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.03571 Sh,Health Care,AMGN34.SA,EQ,BRAMGNBDR004
Thermo Fisher Scientific Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.02083 Sh,Health Care,TMOS34.SA,EQ,BRTMOSBDR007
Gilead Sciences Inc Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Health Care,GILD34.SA,EQ,BRGILDBDR000
Abbott Laboratories Shs Unsponsored Brazilian Depository Receipts Repr 0.083333333 S,Health Care,ABTT34.SA,EQ,BRABTTBDR007
Intuitive Surgical Inc. Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,I1SR34.SA,EQ,BRI1SRBDR001
Pfizer Inc Shs Unsponsored Brazilian Depository Receipts Repr 0.25 Sh,Health Care,PFIZ34.SA,EQ,BRPFIZBDR006
Danaher Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.035714285 Sh,Health Care,DHER34.SA,EQ,BRDHERBDR004
Stryker Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,S1YK34.SA,EQ,BRS1YKBDR002
Bristol-Myers Squibb Company Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Health Care,BMYB34.SA,EQ,BRBMYBBDR000
Vertex Pharmaceuticals Incorporated Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Health Care,VRTX34.SA,EQ,BRVRTXBDR001
Medtronic plc Unsponsored Brazilian Depository Receipt Repr 1/2 Sh,Health Care,MDTC34.SA,EQ,BRMDTCBDR004
GSK PLC ADR Unsponsored Brazilian Depositary Receipt Repr 0.2 ADR,Health Care,G1SK34.SA,EQ,BRG1SKBDR008
Elevance Health Inc. Unsponsored Brazilian Depositary Receipt Repr 0.2 Sh,Health Care,E1LV34.SA,EQ,BRE1LVBDR002
HCA Healthcare Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,H1CA34.SA,EQ,BRH1CABDR002
Cigna Group Shs Unsponsored Brazilian Depositary Receipt Repr 1/4 Sh,Health Care,C1IC34.SA,EQ,BRC1ICBDR000
Boston Scientific Corporation Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Health Care,B1SX34.SA,EQ,BRB1SXBDR006
Regeneron Pharmaceuticals Inc.Shs Unsponsored Brazilian Depositary Receipt Repr 0.0166667 Sh,Health Care,REGN34.SA,EQ,BRREGNBDR005
argenx SE ADR Unsponsored Brazilian Depositary Receipt Repr 0.04 ADR,Health Care,A1RG34.SA,EQ,BRA1RGBDR004
Edwards Lifesciences Corp Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Health Care,E1WL34.SA,EQ,BRE1WLBDR000
Takeda Pharmaceutical Co. Ltd. Unsponsored Brazilian Depository Receipt Repr 1 ADR,Health Care,TAKP34.SA,EQ,BRTAKPBDR006
IDEXX Laboratories Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.2 Sh,Health Care,I1DX34.SA,EQ,BRI1DXBDR001
Humana Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.0222222 Sh,Health Care,H1UM34.SA,EQ,BRH1UMBDR009
Becton Dickinson and Company Unsponsored Brazilian Depositary Receipt Repr 0.2 Sh,Health Care,B1DX34.SA,EQ,BRB1DXBDR008
Alnylam Pharmaceuticals Inc Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,Health Care,A1LN34.SA,EQ,BRA1LNBDR003
Teva Pharmaceutical Industries Ltd Unsponsored Brazilian Depositary Receipt Repr 0.5 ADR,Health Care,T1EV34.SA,EQ,BRT1EVBDR000
Agilent Technologies Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Health Care,A1GI34.SA,EQ,BRA1GIBDR003
Alcon Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,Health Care,A2LC34.SA,EQ,BRA2LCBDR004
Zoetis Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0625 Sh,Health Care,Z1TS34.SA,EQ,BRZ1TSBDR006
BeOne Medicines Ltd. ADR Unsponsored Brazilian Depositary Receipt Repr 0.04 ADR,Health Care,B1ME34.SA,EQ,BRB1MEBDR009
Centene Corporation Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Health Care,C1NC34.SA,EQ,BRC1NCBDR000
IQVIA Holdings Inc Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Health Care,I1QV34.SA,EQ,BRI1QVBDR007
GE Healthcare Technologies Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,Health Care,GEHC34.SA,EQ,BRGEHCBDR009
Biogen Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1/6 Shs,Health Care,BIIB34.SA,EQ,BRBIIBBDR001
ResMed Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Health Care,R1MD34.SA,EQ,BRR1MDBDR003
DexCom Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh,Health Care,D1EX34.SA,EQ,BRD1EXBDR004
Koninklijke Philips N.V. ADR Unsponsored Brazilian Depository Receipt Repr 1 ADR,Health Care,PHGN34.SA,EQ,BRPHGNBDR002
Illumina Inc. Unsponsored Brazilian Depositary Receipt Repr 0.2 Sh,Health Care,I1LM34.SA,EQ,BRI1LMBDR007
United Therapeutics Corporation Unsponsored Brazilian Depositary Receipt Repr 0.05,Health Care,U2TH34.SA,EQ,BRU2THBDR002
BioNTech SE ADR Unsponsored Brazilian Depositary Receipt Repr 0.0625 ADR,Health Care,B1NT34.SA,EQ,BRB1NTBDR005
STERIS PLC Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,S1TE34.SA,EQ,BRS1TEBDR005
Incyte Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.5 Sh,Health Care,I1NC34.SA,EQ,BRI1NCBDR004
Moderna Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,M1RN34.SA,EQ,BRM1RNBDR006
Neurocrine Biosciences Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh,Health Care,N1BI34.SA,EQ,BRN1BIBDR009
Jazz Pharmaceuticals PLC Unsponsored BDR,Health Care,J2AZ34.SA,EQ,BRJ2AZBDR009
Rede D'Or Sao Luiz SA,Health Care,RDOR3.SA,EQ,BRRDORACNOR8
Cooper Companies Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,Health Care,C1OO34.SA,EQ,BRC1OOBDR003
DaVita Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Health Care,DVAI34.SA,EQ,BRDVAIBDR002
Align Technology Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/4 Sh,Health Care,A1LG34.SA,EQ,BRA1LGBDR007
Revvity Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.0357143 Sh,Health Care,R1VT34.SA,EQ,BRR1VTBDR000
Biomarin Pharmaceutical Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.5 Sh,Health Care,B1MR34.SA,EQ,BRB1MRBDR001
Insulet Corp Shs Unsponsored Brazilian Depositary Receipt Repr 0.03333333 Sh,Health Care,P2OD34.SA,EQ,BRP2ODBDR009
Arrowhead Pharmaceuticals Inc. Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,Health Care,A2RR34.SA,EQ,BRA2RRBDR009
Baxter International Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,Health Care,B1AX34.SA,EQ,BRB1AXBDR004
Universal Health Services Inc. Shs B Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh B,Health Care,U1HS34.SA,EQ,BRU1HSBDR006
Bruker Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,Health Care,B2RK34.SA,EQ,BRB2RKBDR003
Bio-Techne Corporation Unsponsored Brazilian Depository Receipt Repr 0.033333333 Sh,Health Care,T1CH34.SA,EQ,BRT1CHBDR003
Bradsaude SA,Health Care,SAUD3.SA,EQ,BRSAUDACNOR9
CRISPR Therapeutics AG Shs Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,Health Care,C2RS34.SA,EQ,BRC2RSBDR005
Denali Therapeutics Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.2 Sh,Health Care,D2NL34.SA,EQ,BRD2NLBDR008
Hypera S.A.,Health Care,HYPE3.SA,EQ,BRHYPEACNOR0
NovoCure Ltd. Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,Health Care,N2VC34.SA,EQ,BRN2VCBDR008
Lakefront Biotherapeutics ADR Unsponsored Brazilian Depositary Receipt Repr 0.05 ADR,Health Care,LKFT34.SA,EQ,BRLKFTBDR004
Sarepta Therapeutics Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,Health Care,S1RP34.SA,EQ,BRS1RPBDR005
Fleury SA,Health Care,FLRY3.SA,EQ,BRFLRYACNOR5
Perrigo Company PLC Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Health Care,P1RG34.SA,EQ,BRP1RGBDR007
Enovis Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,Health Care,E2NO34.SA,EQ,BRE2NOBDR001
Tandem Diabetes Care Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.066666 Sh,Health Care,T2ND34.SA,EQ,BRT2NDBDR007
Teladoc Health Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Health Care,T2DH34.SA,EQ,BRT2DHBDR009
Hapvida Participacoes e Investimentos SA,Health Care,HAPV3.SA,EQ,BRHAPVACNOR4
Azenta Inc Unsponsored Brazilian Depositary Receipt Repr 0.083333333 Sh,Health Care,A2ZT34.SA,EQ,BRA2ZTBDR008
Diagnosticos da America S.A.,Health Care,DASA3.SA,EQ,BRDASAACNOR1
Blau Farmaceutica SA,Health Care,BLAU3.SA,EQ,BRBLAUACNOR8
Hospital Mater Dei SA,Health Care,MATD3.SA,EQ,BRMATDACNOR4
Ourofino S.A.,Health Care,OFSA3.SA,EQ,BROFSAACNOR7
Oncoclinicas do Brasil Servicos Medicos S.A.,Health Care,ONCO11.SA,EQ,BRONCON01OR0
Oncoclinicas do Brasil Servicos Medicos SA,Health Care,ONCO3.SA,EQ,BRONCOACNOR6
Biomm SA,Health Care,BIOM3.SA,EQ,BRBIOMACNOR2
Allianca Saude e Participacoes SA - ALLIAR,Health Care,AALR3.SA,EQ,BRAALRACNOR6
Qualicorp Consultoria e Corretora de Seguros S.A.,Health Care,QUAL3.SA,EQ,BRQUALACNOR6
Baumer SA BALM Non-Cum Perp Pfd Registered Shs,Health Care,BALM4.SA,EQ,BRBALMACNPR2
Baumer SA,Health Care,BALM3.SA,EQ,BRBALMACNOR5
