Company Name,Industry,Symbol,Series,ISIN Code
WEG SA,Industrials,WEGE3.SA,EQ,BRWEGEACNOR0
Itaúsa S.A.,Industrials,ITSA3.SA,EQ,BRITSAACNOR0
Embraer S.A.,Industrials,EMBJ3.SA,EQ,BREMBJACNOR1
Localiza Rent a Car S.A.,Industrials,RENT4.SA,EQ,BRRENTACNPR1
Motiva Infraestrutura de Mobilidade S.A.,Industrials,MOTV3.SA,EQ,BRMOTVACNOR7
Rumo SA,Industrials,RAIL3.SA,EQ,BRRAILACNOR9
MRS Logística S.A.,Industrials,MRSA3B.SA,EQ,BRMRSAACNOR6
GPS Participacoes e Empreendimentos SA,Industrials,GGPS3.SA,EQ,BRGGPSACNOR9
Azul S.A.,Industrials,AZUL3.SA,EQ,BRAZULACNOR7
Azul S.A.,Industrials,AZUL99.SA,EQ,BRAZULCDAYY3
Azul S.A.,Industrials,AZUL97.SA,EQ,BRAZULCDAXX7
Azul S.A.,Industrials,AZUL98.SA,EQ,BRAZULCDAM13
Tres Tentos Agroindustrial SA,Industrials,TTEN3.SA,EQ,BRTTENACNOR0
Marcopolo SA,Industrials,POMO3.SA,EQ,BRPOMOACNOR0
Marcopolo SA,Industrials,POMO4.SA,EQ,BRPOMOACNPR7
Fras-Le S.A.,Industrials,FRAS3.SA,EQ,BRFRASACNOR0
Ecorodovias,Industrials,ECOR3.SA,EQ,BRECORACNOR8
Simpar SA,Industrials,SIMH3.SA,EQ,BRSIMHACNOR0
Hidrovias do Brasil SA,Industrials,HBSA3.SA,EQ,BRHBSAACNOR0
Mahle-Metal Leve SA,Industrials,LEVE3.SA,EQ,BRLEVEACNOR2
RIACHUELO,Industrials,RIAA3.SA,EQ,BRRIAAACNOR2
Vamos Locação de Caminhões  Máquinas e Equipamentos S.A.,Industrials,VAMO3.SA,EQ,BRVAMOACNOR7
Mills Estruturas e Servicos de Engenharia,Industrials,MILS3.SA,EQ,BRMILSACNOR2
Log-In Logística Intermodal S.A.,Industrials,LOGN3.SA,EQ,BRLOGNACNOR3
Eucatex S.A. Indústria e Comércio,Industrials,EUCA3.SA,EQ,BREUCAACNOR1
Eucatex S.A. Indústria e Comércio,Industrials,EUCA4.SA,EQ,BREUCAACNPR8
Tegma Gestao Logistica SA,Industrials,TGMA3.SA,EQ,BRTGMAACNOR7
OceanPact Serviços Marítimos S.A.,Industrials,OPCT3.SA,EQ,BROPCTACNOR0
Tupy SA,Industrials,TUPY3.SA,EQ,BRTUPYACNOR1
JSL SA,Industrials,JSLG3.SA,EQ,BRJSLGACNOR2
Randoncorp S.A.,Industrials,RAPT3.SA,EQ,BRRAPTACNOR7
Randon SA,Industrials,RAPT4.SA,EQ,BRRAPTACNPR4
Valid Soluções S.A.,Industrials,VLID3.SA,EQ,BRVLIDACNOR5
Kepler Weber S.A.,Industrials,KEPL3.SA,EQ,BRKEPLACNOR1
Armac Locação  Logística e Serviços S.A.,Industrials,ARML3.SA,EQ,BRARMLACNOR1
Priner Serviços Industriais S.A.,Industrials,PRNR3.SA,EQ,BRPRNRACNOR4
Allpark Empreendimentos  Participações e Serviços S.A.,Industrials,ALPK3.SA,EQ,BRALPKACNOR9
Panatlantica S.A. Pfd,Industrials,PATI4.SA,EQ,BRPATIACNPR3
Taurus Armas S.A.,Industrials,TASA3.SA,EQ,BRTASAACNOR7
Taurus Armas S.A.,Industrials,TASA4.SA,EQ,BRTASAACNPR4
Romi S.A.,Industrials,ROMI3.SA,EQ,BRROMIACNOR8
Alfa Holdings S.A.,Industrials,RPAD5.SA,EQ,BRRPADACNPA4
Alfa Holdings S.A.,Industrials,RPAD6.SA,EQ,BRRPADACNPB2
Alfa Holdings S.A.,Industrials,RPAD3.SA,EQ,BRRPADACNOR1
Triunfo Participações e Investimentos S.A.,Industrials,TPIS3.SA,EQ,BRTPISACNOR8
Sequoia Logística e Transportes S.A.,Industrials,SEQL3.SA,EQ,BRSEQLACNOR2
Ambipar Participações e Empreendimentos S.A.,Industrials,AMBP3.SA,EQ,BRAMBPACNOR6
METISA Metalúrgica Timboense S.A.,Industrials,MTSA4.SA,EQ,BRMTSAACNPR9
Electro Aço Altona S.A.,Industrials,EALT3.SA,EQ,BREALTACNOR4
Electro Aço Altona S.A.,Industrials,EALT4.SA,EQ,BREALTACNPR1
PBG S.A.,Industrials,PTBL3.SA,EQ,BRPTBLACNOR8
Eternit S.A.,Industrials,ETER3.SA,EQ,BRETERACNOR3
Excelsior Alimentos SA Pfd,Industrials,BAUH4.SA,EQ,BRBAUHACNPR3
Construtora Adolpho Lindenberg SA,Industrials,CALI3.SA,EQ,BRCALIACNOR1
Mangels Industrial SA Pfd Shs,Industrials,MGEL4.SA,EQ,BRMGELACNPR3
Sondotécnica Engenharia de Solos S.A.,Industrials,SOND6.SA,EQ,BRSONDACNPB6
Sondotécnica Engenharia de Solos S.A.,Industrials,SOND5.SA,EQ,BRSONDACNPA8
Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.,Industrials,AERI3.SA,EQ,BRAERIACNOR4
Inepar S.A. Indústria e Construções,Industrials,INEP3.SA,EQ,BRINEPACNOR1
Inepar S.A. Indústria e Construções,Industrials,INEP4.SA,EQ,BRINEPACNPR8
Trevisa Investimentos S.A.,Industrials,LUXM4.SA,EQ,BRLUXMACNPR4
Infracommerce CXAAS SA,Industrials,IFCM3.SA,EQ,BRIFCMACNOR8
Azevedo & Travassos S.A.,Industrials,AZEV3.SA,EQ,BRAZEVACNOR0
Azevedo & Travassos SA Pfd,Industrials,AZEV4.SA,EQ,BRAZEVACNPR7
Recrusul SA,Industrials,RCSL3.SA,EQ,BRRCSLACNOR4
Lupatech S.A.,Industrials,LUPA3.SA,EQ,BRLUPAACNOR8
Agrogalaxy Participacoes SA,Industrials,AGXY3.SA,EQ,BRAGXYACNOR4
Sansuy SA Industria de Plasticos Pfd A,Industrials,SNSY5.SA,EQ,BRSNSYACNPA5
Sansuy SA Industria de Plasticos,Industrials,SNSY3.SA,EQ,BRSNSYACNOR2
Plascar Participacoes Industriais S.A.,Industrials,PLAS3.SA,EQ,BRPLASACNOR2
Wetzel S.A. Non-Cum Perp Pfd Registered Shs,Industrials,MWET4.SA,EQ,BRMWETACNPR3
Wetzel S.A.,Industrials,MWET3.SA,EQ,BRMWETACNOR6
Embpar Participacoes SA,Industrials,EPAR3.SA,EQ,BREPARACNOR9
Contax Participacoes SA,Industrials,CTAX3.SA,EQ,BRCTAXACNOR3
Nordon Industrias Metalurgicas S.A.,Industrials,NORD3.SA,EQ,BRNORDACNOR7
Fictor Alimentos SA,Industrials,FICT3.SA,EQ,BRFICTACNOR3
Bardella SA Industrias Mecanicas Pfd,Industrials,BDLL4.SA,EQ,BRBDLLACNPR8
Bardella SA Industrias Mecanicas,Industrials,BDLL3.SA,EQ,BRBDLLACNOR1
OSX Brasil S.A.,Industrials,OSXB3.SA,EQ,BROSXBACNOR8
Porto Sudeste VM SA,Industrials,PSVM11.SA,EQ,BRPSVMTRV004
