Company Name,Industry,Symbol,Series,ISIN Code
Multiplan,Real Estate,MULT3.SA,EQ,BRMULTACNOR5
Allos S.A.,Real Estate,ALOS3.SA,EQ,BRALOSACNOR5
Cyrela Realty,Real Estate,CYRE3.SA,EQ,BRCYREACNOR7
Iguatemi S.A.,Real Estate,IGTI4.SA,EQ,BRIGTIACNPR5
JHSF Participacoes,Real Estate,JHSF3.SA,EQ,BRJHSFACNOR2
Direcional Engenharia,Real Estate,DIRR3.SA,EQ,BRDIRRACNOR0
Tenda Construtora SA,Real Estate,TEND3.SA,EQ,BRTENDACNOR4
EZTec,Real Estate,EZTC3.SA,EQ,BREZTCACNOR0
MRV Engenharia,Real Estate,MRVE3.SA,EQ,BRMRVEACNOR2
Moura Dubeux Engenharia S.A.,Real Estate,MDNE3.SA,EQ,BRMDNEACNOR9
Log Commercial Properties SA,Real Estate,LOGG3.SA,EQ,BRLOGGACNOR7
Lavvi Empreendimentos Imobiliários S.A.,Real Estate,LAVV3.SA,EQ,BRLAVVACNOR4
Plano e Plano Desenvolvimento Imobiliario,Real Estate,PLPL3.SA,EQ,BRPLPLACNOR5
Even Construtora e Incorporadora SA,Real Estate,EVEN3.SA,EQ,BREVENACNOR8
Trisul S.A.,Real Estate,TRIS3.SA,EQ,BRTRISACNOR4
São Carlos Empreendimentos e Participações S.A.,Real Estate,SCAR3.SA,EQ,BRSCARACNOR7
Melnick Desenvolvimento Imobiliário S.A.,Real Estate,MELK3.SA,EQ,BRMELKACNOR8
Syn Prop & Tech S.A.,Real Estate,SYNE3.SA,EQ,BRSYNEACNOR2
Mitre Realty Empreendimentos SA,Real Estate,MTRE3.SA,EQ,BRMTREACNOR6
Helbor Empreendimentos S.A.,Real Estate,HBOR3.SA,EQ,BRHBORACNOR3
HBR Realty Empreendimentos Imobiliários S.A.,Real Estate,HBRE3.SA,EQ,BRHBREACNOR4
LPS Brasil - Consultoria de Imóveis S.A.,Real Estate,LPSB3.SA,EQ,BRLPSBACNOR0
Companhia Habitasul de Participações,Real Estate,HBTS5.SA,EQ,BRHBTSACNPA3
Alphaville S.A.,Real Estate,AVLL3.SA,EQ,BRAVLLACNOR5
FOF JHSF Capital Fundo De Investimento Imobiliario,Real Estate,JCCJ11.SA,EQ,BRJCCJCTF002
FII CYLD CI,Real Estate,CYLD11.SA,EQ,BRCYLDCTF005
FII AZPL CI ER,Real Estate,AZPL11.SA,EQ,BRAZPLCTF000
Inter Logistico Fundo De Investimento Imobiliario - FII,Real Estate,INLG11.SA,EQ,BRINLGCTF008
Fundo De Investimento ImobiliarRio Vbi Prime Properties,Real Estate,PVBI11.SA,EQ,BRPVBICTF003
Hedge Top Fofii 3 Fundo Investimento Imobilirio,Real Estate,HFOF11.SA,EQ,BRHFOFCTF002
FII VRTM CI ER,Real Estate,VRTM11.SA,EQ,BRVRTMCTF003
Renda de Escritorios Fundo de Investimento Imobiliario - Cotas Fundo,Real Estate,NEWU11.SA,EQ,BRNEWUCTF005
Canuma Capital Multiestrategia Fundo De Investimento Imobiliario,Real Estate,CCME11.SA,EQ,BRCCMECTF007
Rbr Alpha Plus Multiestrategia Real Estate Fundo De Investimento Imobiliario,Real Estate,RBRX11.SA,EQ,BRRBRXCTF006
Riza Arctium Real Estate Fundo De Investimento Imobiliario,Real Estate,RZAT11.SA,EQ,BRRZATCTF009
FII KINEA UNCI ER,Real Estate,KNUQ11.SA,EQ,BRKNUQCTF004
Hsi Logistica Fundo De Investimento Imobiliario,Real Estate,HSLG11.SA,EQ,BRHSLGCTF009
Mérito Desenvolvimento Imobiliário I FII - Fundo de Investimento Imobiliário,Real Estate,MFII11.SA,EQ,BRMFIICTF008
Af Invest Cri Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,Real Estate,AFHI11.SA,EQ,BRAFHICTF005
Ourinvest Jpp Fundo Investimento Imobiliario - Fii,Real Estate,OUJP11.SA,EQ,BROUJPCTF006
CSHG Real Estate - Fundo de Investimento Imobiliario - FII,Real Estate,HGRE11.SA,EQ,BRHGRECTF006
Itau Total Return Fundo De Investimento Imobiliario,Real Estate,ITRI11.SA,EQ,BRITRICTF008
Fundo De Investimento Imobiliario Btg Pactual Terras Agricolas,Real Estate,BTRA11.SA,EQ,BRBTRACTF000
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Real Estate,TRXF11.SA,EQ,BRTRXFCTF003
Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,DEVA11.SA,EQ,BRDEVACTF000
Capitania Securities II Fundo Investimento Imobiliario FII,Real Estate,CPTS11.SA,EQ,BRCPTSCTF004
Fundo de Investimento Imobiliário - FII Floripa Shopping,Real Estate,FLRP11.SA,EQ,BRFLRPCTF006
Cshg Atrium Shopping Santo Andr Fundo De Investimento Imobilirio Fii,Real Estate,ATSA11.SA,EQ,BRATSACTF000
Fundo De Investimento Imobiliario Campus Faria Lima - Inicio De Negociacao,Real Estate,FCFL11.SA,EQ,BRFCFLCTF009
Vinci Shopping Centers Fundo Investimento Imobiliario - Fii,Real Estate,VISC11.SA,EQ,BRVISCCTF005
GALAPAGOS SP SURF FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,Real Estate,GSRF11.SA,EQ,BRGSRFCTF000
Fator Veritá Fundo de Investimento Imobiliário - FII,Real Estate,VRTA11.SA,EQ,BRVRTACTF008
Galapagos Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,GCRI11.SA,EQ,BRGCRICTF008
Fundo de Investimento Imobiliário Projeto Água Branca,Real Estate,FPAB11.SA,EQ,BRFPABCTF011
SDI Logística Rio - Fundo de Investimento Imobiliário - FII,Real Estate,TRBL11.SA,EQ,BRTRBLCTF007
Fundo De Investimento Imobiliario Caixa Carteira Imobiliaria,Real Estate,CXCI11.SA,EQ,BRCXCICTF005
Clave Indices De Precos Fundo De Investimento Imobiliario,Real Estate,CLIN11.SA,EQ,BRCLINCTF007
Kilima Volkano Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,KIVO11.SA,EQ,BRKIVOCTF007
FII MULT RENCI,Real Estate,VVMR11.SA,EQ,BRVVMRCTF009
FII RDLI CI,Real Estate,RDLI11.SA,EQ,BRRDLICTF006
Brpr Corporate Offices Fundo De Investimento Imobiliario,Real Estate,BROF11.SA,EQ,BRBROFCTF000
Hectare Recebiveis High Grade Fundo De Investimento Imobiliario Fii,Real Estate,HCHG11.SA,EQ,BRHCHGCTF001
Fundo De Investimento Imobiliario Apex Malls - FII,Real Estate,APXM11.SA,EQ,BRAPXMCTF003
Fundo Investimento Imobiliario Green Towers,Real Estate,GTWR11.SA,EQ,BRGTWRCTF003
Legatus Shoppings Fundo De Investimento Imobiliario - FII,Real Estate,LASC11.SA,EQ,BRLASCCTF003
Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,Real Estate,ALZR11.SA,EQ,BRALZRCTF006
FII RIOB MT CI ER,Real Estate,RBFM11.SA,EQ,BRRBFMCTF004
Ggr Covipe Renda Fundo Investimento Imobiliario,Real Estate,GGRC11.SA,EQ,BRGGRCCTF002
Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,Real Estate,BCRI11.SA,EQ,BRBCRICTF009
Capitania Office Properties FII - Fundo De Investimento Imobiliario,Real Estate,CPOF11.SA,EQ,BRCPOFCTF002
Vectis Renda Residencial Fundo De Investimento Imobiliario,Real Estate,VCRR11.SA,EQ,BRVCRRCTF008
Domo Fundo de Investimento Imobiliário - FII,Real Estate,LMAI11.SA,EQ,BRLMAICTF003
Fundo De Investimento Imobiliario BTG Pactual Shoppings,Real Estate,BPML11.SA,EQ,BRBPMLCTF006
Fundo De Investimento Imobiliario VBI Credito,Real Estate,PCIP11.SA,EQ,BRPCIPCTF003
Fundo De Investimento Imobiliario Riza Terrax,Real Estate,RZTR11.SA,EQ,BRRZTRCTF003
Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,Real Estate,BCIA11.SA,EQ,BRBCIACTF005
Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30,Real Estate,KISU11.SA,EQ,BRKISUCTF000
Eqi Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,EQIR11.SA,EQ,BREQIRCTF003
Life Capital Partners Fundo De Investimentos Imobiliarios,Real Estate,LIFE11.SA,EQ,BRLIFECTF017
FDO INV Imob Shopping Patio Higienopolis,Real Estate,SHPH11.SA,EQ,BRSHPHCTF008
Trx Real Estate II Fundo De Investimento Imobiliario - Fii,Real Estate,TRXB11.SA,EQ,BRTRXBCTF002
Hedge Recebiveis Fundo De Investimento Imobiliario,Real Estate,HREC11.SA,EQ,BRHRECCTF005
Cyrela Credito - Fundo De Investimento Imobiliario,Real Estate,CYCR11.SA,EQ,BRCYCRCTF004
SDI Properties Fundo De Investimento Imobiliario,Real Estate,TEPP11.SA,EQ,BRTEPPCTF006
FD Invest Imob Hotel Maxinvest,Real Estate,HTMX11.SA,EQ,BRHTMXCTF000
RB Capital Desenvolvimento Residencial III Fundo De Investimento Imobillario - FII,Real Estate,RSPD11.SA,EQ,BRRSPDCTF006
FII RB CAP ICI ER,Real Estate,FIIP11.SA,EQ,BRFIIPCTF001
Fundo De Investimento Imobiliario Ourinvest Re I,Real Estate,WTSP11.SA,EQ,BRWTSPCTF002
Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,Real Estate,BRCR11.SA,EQ,BRBRCRCTF000
Patria Malls Fundo De Investimento Imobiliario,Real Estate,PMLL11.SA,EQ,BRPMLLCTF005
JS Real Estate multigestão - FII fund,Real Estate,JSRE11.SA,EQ,BRJSRECTF007
FII AROA CI ER,Real Estate,AROA11.SA,EQ,BRAROACTF003
Alianza Crédito Imobiliário Fundo De Investimento Imobiliário,Real Estate,ALZC11.SA,EQ,BRALZCCTF016
FII CI IPCA CI ER,Real Estate,ICRI11.SA,EQ,BRICRICTF004
BB Progressivo II Fundo de Investimento Imobiliário - FII,Real Estate,TVRI11.SA,EQ,BRTVRICTF001
BRC Renda Corporativa FII - FII Athena I,Real Estate,FATN11.SA,EQ,BRFATNCTF000
Patria Edificios Corporativos Fundo Investimento Imobiliario Fii,Real Estate,PATC11.SA,EQ,BRPATCCTF002
Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,Real Estate,RCRB11.SA,EQ,BRRCRBCTF000
Polo Credito Imobiliario - Fundo de Investimento Imobiliario,Real Estate,PORD11.SA,EQ,BRPORDCTF005
Parque Dom Pedro Shopping Center Fund,Real Estate,PQDP11.SA,EQ,BRPQDPCTF004
Vinci Credit Securities Fundo De Investimento Imobiliario,Real Estate,VCRI11.SA,EQ,BRVCRICTF007
BB Renda Corporativa Fundo de Investimento Imobiliário - FII,Real Estate,BBRC11.SA,EQ,BRBBRCCTF004
Fundo Investimento Imobiliario TG Ativo Real,Real Estate,TGAR11.SA,EQ,BRTGARCTF009
Fundo De Investimento Imobiliario Suno Energias Limpas,Real Estate,SNEL11.SA,EQ,BRSNELCTF010
Midway Mall Fundo De Investimento ImobiliaRio Responsabilidade Limitada,Real Estate,MIDW11.SA,EQ,BRMIDWCTF004
Hedge Logistica Fundo Investimento Imobiliario,Real Estate,HLOG11.SA,EQ,BRHLOGCTF008
FII GLCR CI,Real Estate,GLCR11.SA,EQ,BRGLCRCTF002
Rbr Desenvolvimento Comercial Feeder Fof Fundo De Investimento Imobiliario,Real Estate,RCFF11.SA,EQ,BRRCFFCTF006
FII MCEM CI,Real Estate,MCEM11.SA,EQ,BRMCEMCTF006
Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,SNCI11.SA,EQ,BRSNCICTF002
Suno Fundo De Fundos De Investimento Imobiliario,Real Estate,SNFF11.SA,EQ,BRSNFFCTF001
Xp Log Fundo Investimento Imobiliario FII,Real Estate,XPLG11.SA,EQ,BRXPLGCTF002
Btsp II Fundo De Investimento Imobiliario - Fii,Real Estate,BTSI11.SA,EQ,BRBTSICTF001
Rio Bravo Credito Imobiliario High Yield Fundo De Investimento Imobiliario - FII,Real Estate,RBHY11.SA,EQ,BRRBHYCTF005
Guardian Logistica Fundo De Investimento Imobiliario,Real Estate,GARE11.SA,EQ,BRGARECTF001
Supernova Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,Real Estate,CACR11.SA,EQ,BRCACRCTF004
Fundo De Investimento Imobiliario Guardian Multiestrategia Imobiliaria I,Real Estate,GAME11.SA,EQ,BRGAMECTF002
Js Ativos Financeiros Fundo De Investimento Imobiliario,Real Estate,JSAF11.SA,EQ,BRJSAFCTF000
XTED - TRX Edificios Corporativos Fundo Invest Imobiliario FII Fund,Real Estate,VVCO11.SA,EQ,BRVVCOCTF007
FII JSCR CI ER,Real Estate,JSCR11.SA,EQ,BRJSCRCTF001
Whg Real Estate Fundo De Investimento Imobiliario  Fii,Real Estate,WHGR11.SA,EQ,BRWHGRCTF008
Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,Real Estate,VGRI11.SA,EQ,BRVGRICTF008
Coinvalores Dtvm Ltda.,Real Estate,EURO11.SA,EQ,BREUROCTF011
Fundo de Investimento Imobiliário General Shopping Ativo e Renda - FII,Real Estate,FIGS11.SA,EQ,BRFIGSCTF009
Zavit Real Estate Fund Fundo De Investimento Imobiliario,Real Estate,ZAVI11.SA,EQ,BRZAVICTF004
Hospital Nossa Senhora De Lourde Fund,Real Estate,NSLU11.SA,EQ,BRNSLUCTF008
Fundo de Investimento Imobiliário - FII Anhanguera Educacional,Real Estate,FAED11.SA,EQ,BRFAEDCTF003
RBR Premium Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,RPRI11.SA,EQ,BRRPRICTF007
HEDGE Brasil Shopping Fundo de Investimento Imobiliário,Real Estate,HGBS11.SA,EQ,BRHGBSCTF000
Maua Capital Real Estate Fundo De Investimento Imobiliario,Real Estate,MCRE11.SA,EQ,BRMCRECTF013
FII ICNE CI,Real Estate,ICNE11.SA,EQ,BRICNECTF002
Real Estate Investment Fund Industry in Brazil,Real Estate,FIIB11.SA,EQ,BRFIIBCTF001
FVPQ - Fii V Parque,Real Estate,FVPQ11.SA,EQ,BRFVPQCTF015
Capitania Logistica Fundo De Investimento Imobiliario Fii,Real Estate,CPLG11.SA,EQ,BRCPLGCTF006
Hedge Real Estate I Fundo De Investimento Imobliario,Real Estate,HPDP11.SA,EQ,BRHPDPCTF003
Fundo De Investimento Imobiliario Caixa Agencias,Real Estate,CXAG11.SA,EQ,BRCXAGCTF003
Iridium Fundo De Investimento Imobiliario,Real Estate,IRIM11.SA,EQ,BRIRIMCTF003
Gazit Malls Fundo De Investimento Imobiliario,Real Estate,GZIT11.SA,EQ,BRGZITCTF005
Fundo De Investimento Imobiliario - Spx Syn Multiestrategia,Real Estate,SPXS11.SA,EQ,BRSPXSCTF002
Fundo de Investimento Imobiliário Rio Negro,Real Estate,RNGO11.SA,EQ,BRRNGOCTF003
Unitas DTVM S.A.,Real Estate,FLMA11.SA,EQ,BRFLMACTF009
General Shopping E Outlets Do Brasil Fundo De Investimento Imobiliario FII,Real Estate,GSFI11.SA,EQ,BRGSFICTF009
Kinea Creditas Fundo De Investimento Imobiliario - FII,Real Estate,KCRE11.SA,EQ,BRKCRECTF009
Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario,Real Estate,KORE11.SA,EQ,BRKORECTF012
Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,Real Estate,RECR11.SA,EQ,BRRECRCTF004
Urca Prime Renda Fundo De Investimento Imobiliario - FII,Real Estate,URPR11.SA,EQ,BRURPRCTF002
Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,Real Estate,BMLC11.SA,EQ,BRBMLCCTF004
Valora Re III Fundo De Investimento Imobiliario,Real Estate,VGIR11.SA,EQ,BRVGIRCTF008
Hsi Ativos Financeiros Fundos Investimentos Imoliarios,Real Estate,HSAF11.SA,EQ,BRHSAFCTF004
Kinea Securities Fundo De Investimento Imobiliario  Fii,Real Estate,KNSC11.SA,EQ,BRKNSCCTF008
Fundo de Investimento Imobiliario Edificio Almirante Barroso,Real Estate,FAMB11.SA,EQ,BRFAMBCTF018
Fundo De Investimento Imobiliario Hospital Unimed Campina Grande,Real Estate,HUCG11.SA,EQ,BRHUCGCTF004
Bluemacaw Catuai Triple A Fundo De Investimento Imobiliario,Real Estate,BLCA11.SA,EQ,BRBLCACTF009
CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,Real Estate,HGCR11.SA,EQ,BRHGCRCTF000
XP Selection Fundo De Fundos De Investimento Imobiliario - FII,Real Estate,XPSF11.SA,EQ,BRXPSFCTF009
Autonomy Edifícios Corporativos Fundo de Investimento Imobiliario,Real Estate,AIEC11.SA,EQ,BRAIECCTF009
Fundo De Investimento Imobiliario Rec Logistaca,Real Estate,RELG11.SA,EQ,BRRELGCTF008
Fundo de Investimento Imobiliário - FII Torre Norte,Real Estate,TRNT11.SA,EQ,BRTRNTCTF013
Rio Bravo Credito Imobiliario IV Fundo De Investimento Imobiliario - FII,Real Estate,RBHG11.SA,EQ,BRRBHGCTF002
Hsi Renda Imobiliario - Fundo De Investimento Imobiliario,Real Estate,HSRE11.SA,EQ,
Fundo de Investimento Imobiliário - FII Ancar IC,Real Estate,ANCR11.SA,EQ,
Patria Renda Urbana - Fundo De Investimento Imobiliario,Real Estate,HGRU11.SA,EQ,
Btg Pactual Real Estate Hedge Fund Fii Fundo De Investimento Imobiliario,Real Estate,BTHF11.SA,EQ,
Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios,Real Estate,MCCI11.SA,EQ,
Fundo Investimento Imobiliario Pedra Negra Renda Imobiliaria,Real Estate,FPNG11.SA,EQ,
Vectis Juros Real Fundo De Investimento Imobiliario - Fii,Real Estate,VCJR11.SA,EQ,
Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,Real Estate,VGHF11.SA,EQ,
Valora Cri Indice De Preco Fundo De Investimento Imobiliario,Real Estate,VGIP11.SA,EQ,
Rb Capital Anhanguera Fundo De Investimento Imobiliario,Real Estate,PQAG11.SA,EQ,
Riza Akin Fundo De Investimento Imobiliario  FII,Real Estate,RZAK11.SA,EQ,
Raizz Renda Logistica Fundo de Investimento Imobiliario,Real Estate,RZZR11.SA,EQ,
Bb Premium Malls Fundo De Investimento Imobiliário De Responsabilidade Limitada,Real Estate,BBIG11.SA,EQ,
Capitania HBC Renda Urbana Fundo De Investimento Imobiliario,Real Estate,CPUR11.SA,EQ,
FII Btg Pactual Agro Logistica,Real Estate,BTAL11.SA,EQ,
Fundo De Investimento Imobiliario Novo Horizonte,Real Estate,NVHO11.SA,EQ,
Shopping Patio Paulista Fundo De Investimento Imobiliario Responsabilidade Limitada,Real Estate,SHPP11.SA,EQ,
Xp Industrial Fundo Investimento Imobiliario,Real Estate,XPIN11.SA,EQ,
FII MCLO CI ER,Real Estate,MCLO11.SA,EQ,
Invista Brazilian Business Park Fundo De Investimento Imobiliario,Real Estate,IBBP11.SA,EQ,
Vinci Corporate Fundo De Investimento Imobiliario,Real Estate,VINO11.SA,EQ,
FII ABC Plaza Shopping Fund,Real Estate,ABCP11.SA,EQ,
VX XVI - Fundo De Investimento Imobiliario,Real Estate,VXXV11.SA,EQ,
Manati Capital Hedge Fund Fundo De Investimento Imobiliario,Real Estate,MANA11.SA,EQ,
Diamante Fundo Investimento Imobiliario,Real Estate,DAMT11.SA,EQ,
Vbi Agro - Fundo De Investimento Imobiliario,Real Estate,PLAG11.SA,EQ,
Newport Logastica Fundo De Investimento Imobiliario,Real Estate,NEWL11.SA,EQ,
Tjk Renda Imobiliaria Fundo De Investimento Imobiliario,Real Estate,TJKB11.SA,EQ,
Rbr Top Offices Fundo De Investimento Imobiliario Responsabilidade Limitada,Real Estate,TOPP11.SA,EQ,
Fundo De Investimento Imobiliario Caixa Imoveis Corporativos,Real Estate,CXCO11.SA,EQ,
Capitania Malls Fundo De Investimento Imobiliario,Real Estate,AJFI11.SA,EQ,
FII HGBL CI ER,Real Estate,HGBL11.SA,EQ,
Fundo De Investimento Imobiliario Hbc Renda Urbana,Real Estate,HBCR11.SA,EQ,
FII BGRB CI ERS,Real Estate,BGRB11.SA,EQ,
FII BTYU CI,Real Estate,BTYU11.SA,EQ,
Icatu Vanguarda Gru Logistico Fundo De Investimento Imobiliario Responsabilidade Limitada,Real Estate,GRUL11.SA,EQ,
Hedge Aaa Fundo De Investimento Imobiliario,Real Estate,HAAA11.SA,EQ,
FII BLOG CI,Real Estate,BLOG11.SA,EQ,
FII RZLC CI ER,Real Estate,RZLC11.SA,EQ,
Galapagos Feeder Logistico Fundo De Investimento ImobiliãRio Responsabilidade Limitada,Real Estate,GLPF11.SA,EQ,
