Company Name,Industry,Symbol,Series,ISIN Code
NVIDIA Corporation Shs Unsponsored Brazilian Depository Receipt Repr 0.02083 Sh,Technology,NVDC34.SA,EQ,BRNVDCBDR008
Apple Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,Technology,AAPL34.SA,EQ,BRAAPLBDR004
Alphabet Inc Shs C Unsponsored Brazilian Depository Receipt Repr 0.08333 Sh -,Technology,GOGL35.SA,EQ,BRGOGLBDR019
Alphabet Inc Shs A Unsponsored Brazilian Depository Receipt Repr 0.08333 Sh -,Technology,GOGL34.SA,EQ,BRGOGLBDR001
Microsoft Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.04167 Sh,Technology,MSFT34.SA,EQ,BRMSFTBDR005
Taiwan Semiconductor Manufacturing Co. Ltd. ADR Unsponsored Brazilian Depository Receipt Repr 0.125 ADR,Technology,TSMC34.SA,EQ,BRTSMCBDR002
Broadcom Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.02857 Sh,Technology,AVGO34.SA,EQ,BRAVGOBDR003
Meta Platforms Inc Shs Unsponsored Brazilian Depository Receipts Repr 0.03571 Sh,Technology,M1TA34.SA,EQ,BRM1TABDR009
Micron Technology Inc Shs Unsponsored Brazilian Depository Receipt Repr 0.1666667 Sh,Technology,MUTC34.SA,EQ,BRMUTCBDR008
Advanced Micro Devices Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,Technology,A1MD34.SA,EQ,BRA1MDBDR002
ASML Holding NV ADR Unsponsored Brazilian Depository Receipt Repr 0.018181818 AD,Technology,ASML34.SA,EQ,BRASMLBDR003
Oracle Corp Shs Unsponsored Brazilian Depositary Receipt Repr 0.166666667 Sh,Technology,ORCL34.SA,EQ,BRORCLBDR007
Intel Corporation Shs Unsponsored Brazilian Depository Receipt Repr 0.1667 Sh,Technology,ITLC34.SA,EQ,BRITLCBDR005
Cisco Systems Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.2 Sh,Technology,CSCO34.SA,EQ,BRCSCOBDR004
Netflix Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh,Technology,NFLX34.SA,EQ,BRNFLXBDR000
GE Aerospace Unsponsored Brazilian Depositary Receipt Repr 1 Sh,Technology,GEOO34.SA,EQ,BRGEOOBDR000
Palantir Technologies Inc. Shs -A- Unsponsored Brazilian Depositary Receipt Repr 0.3333 Sh -A-,Technology,P2LT34.SA,EQ,BRP2LTBDR001
International Business Machines Corp Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,Technology,IBMB34.SA,EQ,BRIBMBBDR003
Texas Instruments Incorporated Shs Unsponsored Brazilian Depository Receipt Repr 0.0666667 Sh,Technology,TEXA34.SA,EQ,BRTEXABDR003
