Company Name,Industry,Symbol,Series,ISIN Code
AXIA Energia SA Non-Cum Perp Pfd Registered Shs C,Utilities,AXIA7.SA,EQ,BRAXIAACNPC9
AXIA Energia SA,Utilities,AXIA3.SA,EQ,BRAXIAACNOR0
Sabesp,Utilities,SBSP3.SA,EQ,BRSBSPACNOR5
CPFL Energia,Utilities,CPFE3.SA,EQ,BRCPFEACNOR0
Equatorial Energia,Utilities,EQTL3.SA,EQ,BREQTLACNOR0
Eneva SA,Utilities,ENEV3.SA,EQ,BRENEVACNOR8
Cia Paranaense de Energia ON,Utilities,CPLE3.SA,EQ,BRCPLEACNOR8
Engie Brasil,Utilities,EGIE3.SA,EQ,BREGIEACNOR9
Companhia Energética de Minas Gerais - CEMIG,Utilities,CMIG3.SA,EQ,BRCMIGACNOR6
Cemig,Utilities,CMIG4.SA,EQ,BRCMIGACNPR3
Copasa MG,Utilities,CSMG3.SA,EQ,BRCSMGACNOR5
ISA Energía Brasil S.A.,Utilities,ISAE4.SA,EQ,BRISAEACNPR9
ISA Energía Brasil S.A.,Utilities,ISAE3.SA,EQ,BRISAEACNOR2
Energisa S.A.,Utilities,ENGI3.SA,EQ,BRENGIACNOR0
Energisa S.A.,Utilities,ENGI4.SA,EQ,BRENGIACNPR7
Compass Gas e Energia S.A.,Utilities,PASS3.SA,EQ,BRPASSACNOR7
Companhia de Gás de São Paulo - COMGÁS,Utilities,CGAS5.SA,EQ,BRCGASACNPA3
Companhia de Gás de São Paulo - COMGÁS,Utilities,CGAS3.SA,EQ,BRCGASACNOR0
Rede Energia Participações S.A.,Utilities,REDE3.SA,EQ,BRREDEACNOR7
Transmissora Aliança de Energia Elétrica S.A.,Utilities,TAEE4.SA,EQ,BRTAEEACNPR6
Transmissora Aliança de Energia Elétrica S.A.,Utilities,TAEE3.SA,EQ,BRTAEEACNOR9
Equatorial Pará Distribuidora de Energia S.A.,Utilities,EQPA3.SA,EQ,BREQPAACNOR1
Auren Energia,Utilities,AURE3.SA,EQ,BRAUREACNOR9
Companhia de Saneamento do Paraná - SANEPAR,Utilities,SAPR3.SA,EQ,BRSAPRACNOR9
Companhia de Saneamento do Paraná - SANEPAR,Utilities,SAPR4.SA,EQ,BRSAPRACNPR6
Alupar Investimento S.A.,Utilities,ALUP3.SA,EQ,BRALUPACNOR8
Alupar Investimento SA Pfd Shs,Utilities,ALUP4.SA,EQ,BRALUPACNPR5
Orizon Valorizacao de Residuos SA,Utilities,ORVR3.SA,EQ,BRORVRACNOR0
Ampla Energia e Servicos SA,Utilities,CBEE3.SA,EQ,BRCBEEACNOR3
Companhia de Eletricidade do Estado da Bahia - COELBA,Utilities,CEEB3.SA,EQ,BRCEEBACNOR3
Energisa Mato Grosso - Distribuidora de Energia Sa,Utilities,ENMT3.SA,EQ,BRENMTACNOR5
Energisa Mato Grosso - Distribuidora de Energia Sa Pfd Shs,Utilities,ENMT4.SA,EQ,BRENMTACNPR2
Elektro Redes S.A. Pfd Shs,Utilities,EKTR4.SA,EQ,BREKTRACNPR7
Centrais Eletricas de Santa Catarina S.A.,Utilities,CLSC3.SA,EQ,BRCLSCACNOR6
Centrais Eletricas de Santa Catarina SA Pfd,Utilities,CLSC4.SA,EQ,BRCLSCACNPR3
Equatorial Maranhao Distribuidora de Energia SA,Utilities,EQMA3B.SA,EQ,BREQMAACNOR8
Rio Paranapanema Energia S.A.,Utilities,GEPA4.SA,EQ,BRGEPAACNPR9
Rio Paranapanema Energia SA,Utilities,GEPA3.SA,EQ,BRGEPAACNOR2
Empresa Metropolitana de Águas e Energia S.A.,Utilities,EMAE4.SA,EQ,BREMAEACNPR1
Companhia Energética do Ceará - COELCE,Utilities,COCE5.SA,EQ,BRCOCEACNPA3
Companhia Energética de Brasília - CEB,Utilities,CEBR3.SA,EQ,BRCEBRACNOR5
Companhia Energética de Brasília - CEB,Utilities,CEBR6.SA,EQ,BRCEBRACNPB6
Companhia Energética de Brasília - CEB,Utilities,CEBR5.SA,EQ,BRCEBRACNPA8
Light SA,Utilities,LIGT3.SA,EQ,BRLIGTACNOR2
Afluente Transmissão de Energia Elétrica S.A.,Utilities,AFLT3.SA,EQ,BRAFLTACNOR1
Renova Energia S.A.,Utilities,RNEW4.SA,EQ,BRRNEWACNPR5
Renova Energia S.A.,Utilities,RNEW3.SA,EQ,BRRNEWACNOR8
AXIA Energia SA,Utilities,AXIA6.SA,EQ,
Energisa S.A.,Utilities,ENGI11.SA,EQ,
Alupar Investimento S.A.,Utilities,ALUP11.SA,EQ,
Transmissora Aliança de Energia Elétrica S.A.,Utilities,TAEE11.SA,EQ,
Companhia de Saneamento do Paraná - SANEPAR,Utilities,SAPR11.SA,EQ,
