Company Name,Industry,Symbol,Series,ISIN Code
Johnson & Johnson Shs,Health Care,JNJ.TO,EQ,CA47817E1034
Caterpillar Inc. Shs,Industrials,CATR.TO,EQ,CA14913M1086
Royal Bank of Canada,Financials,RY.TO,EQ,CA7800871021
Royal Bank of Canada Non-Cum Conv Red Pfd Registered Shs Series -BO- Reg S,Financials,RY-PR-S.TO,EQ,CA78013R3909
RTX Corporation Shs,Technology,RTX.TO,EQ,CA74983J1049
Toronto-Dominion Bank Non-Cum Conv Red Rate Reset Pfd Series 16,Financials,TD-PF-I.TO,EQ,CA8911606405
Toronto-Dominion Bank Non-Cum Conv Red Perp Pfd Series 18,Financials,TD-PF-J.TO,EQ,CA8911606249
Toronto-Dominion Bank,Financials,TD.TO,EQ,CA8911605092
Toronto-Dominion Bank Non Cum Pfd Registered Shs -A- Series -1-,Financials,TD-PF-A.TO,EQ,CA8911456900
TJX Companies Inc Shs UnSp CDR-Reg S,Consumer Discretionary,TJX.TO,EQ,CA88873A1066
Shopify Inc. Class A,Industrials,SHOP.TO,EQ,CA82509L1076
Enbridge Inc. Cum Red Floating Rate Pref Registered Shs Series I,Industrials,ENB-PR-I.TO,EQ,CA29250N8329
Enbridge Inc. Cum Conv Red Pref Registered Shs Series R,Industrials,ENB-PR-T.TO,EQ,CA29250N7339
Enbridge Inc. Cum Red Floating Rate Pref Registered Shs Series G,Industrials,ENB-PR-G.TO,EQ,CA29250N8576
Enbridge Inc. Cum Red Pref Registered Shs Series 9,Industrials,ENB-PF-A.TO,EQ,CA29250N6265
Enbridge Inc. Cum Red Pref Registered Shs Series 3,Industrials,ENB-PR-Y.TO,EQ,CA29250N6836
Enbridge Inc. Cum Red Pfd Registered Shs Series P,Industrials,ENB-PR-P.TO,EQ,CA29250N7586
Enbridge Inc. Cum Red Pref Registered Shs Series B,Industrials,ENB-PR-B.TO,EQ,CA29250N7099
Enbridge Inc. Cum Red Pref Registered Shs Series 15,Industrials,ENB-PF-G.TO,EQ,CA29250N5507
Enbridge Inc. Cum Red Pref Registered Shs Series 13,Industrials,ENB-PF-E.TO,EQ,CA29250N5762
Enbridge Inc. 5.5 % Cum Red Pfd Registered Shs Series A,Industrials,ENB-PR-A.TO,EQ,CA29250N2041
Enbridge Inc. Cum Red Pref Registered Shs Series H,Industrials,ENB-PR-H.TO,EQ,CA29250N8402
Enbridge Inc. Cum Conv Red Pref Registered Shs Series D,Industrials,ENB-PR-D.TO,EQ,CA29250N8816
Enbridge Inc. Cum Conv Red Perp Pfd Registered Shs Series -19-,Industrials,ENB-PF-K.TO,EQ,CA29250N5192
Enbridge Inc. Cum Conv Red Pref Registered Shs Series N,Industrials,ENB-PR-N.TO,EQ,CA29250N7743
Enbridge Inc. 4.4 % Cum Red Pfd Registered Shs Series -7-,Industrials,ENB-PR-J.TO,EQ,CA29250N6422
Enbridge Inc.,Industrials,ENB.TO,EQ,CA29250N1050
Enbridge Inc. Cum Red Pref Registered Shs Series 11,Industrials,ENB-PF-C.TO,EQ,CA29250N5929
Enbridge Inc. Cum Conv Red Pref Registered Shs Series F,Industrials,ENB-PR-F.TO,EQ,CA29250N8659
Enbridge Inc. Cum Red Floating Rate Pref Registered Shs Series 4,Industrials,ENB-PR-Z.TO,EQ,CA29250N6752
Enbridge Inc. Cum Red Pref Registered Shs Series L,Industrials,ENB-PF-U.TO,EQ,CA29250N7909
Enbridge Inc. Cum Red Pref Registered Shs Series 5,Industrials,ENB-PF-V.TO,EQ,CA29250N6679
Enbridge Inc. Cum Red Pref Registered Shs Series 1,Industrials,ENB-PR-V.TO,EQ,CA29250N7172
Bank of Montreal,Financials,BMO.TO,EQ,CA0636711016
Bank of Montreal Non-Cum Conv Red Pfd Registered Shs B Series -44- Reg S,Financials,BMO-PR-E.TO,EQ,CA06368B2075
ServiceNow Inc.,Technology,NOWS.TO,EQ,CA81762A1057
Adobe Inc. Depository Receipt,Technology,ADBE.TO,EQ,CA00723H1082
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,CA1360691010
Canadian Imperial Bank of Commerce Non-Cum Conv Red Perp Pfd A Series 47,Financials,CM-PR-S.TO,EQ,CA1360708772
Brookfield Corporation Cum Red Pref Class A Series 40,Financials,BN-PF-F.TO,EQ,CA11271J7197
Brookfield Corporation Cum Pfd Registered Shs -A- Series -24-,Financials,BN-PR-R.TO,EQ,CA11271J8831
Brookfield Corporation Cum Red Pref Registered Shs -A- Series -37- Non Vtg,Financials,BN-PF-D.TO,EQ,CA11271J7437
Brookfield Corporation Cum Pref Registered Shs -A- Series -30-,Financials,BN-PR-Z.TO,EQ,CA11271J8260
Brookfield Corporation Cum Conv Red Pref Registered Shs -A- Series -48-,Financials,BN-PF-J.TO,EQ,CA11271J6280
Brookfield Corporation Class A Preference Shares Series 42,Financials,BN-PF-G.TO,EQ,CA11271J6850
Brookfield Corporation 4.75 % Cum Conv Pfd Registered Shs -A- Series 17,Financials,BN-PR-M.TO,EQ,CA11271J7015
Brookfield Corporation Cum Red Pref Registered Shs -A- Series -46-,Financials,BN-PF-I.TO,EQ,CA11271J6447
Brookfield Corporation Cum Pref Registered Shs -A- Series -26-,Financials,BN-PR-T.TO,EQ,CA11271J8674
Brookfield Corporation Cum Pref Registered Shs A Series 28,Financials,BN-PR-X.TO,EQ,CA11271J8427
Brookfield Corporation Cum Red Pfd Registered Shs A Series 4,Financials,BN-PR-C.TO,EQ,CA11271J3055
Brookfield Corporation Cum Pref Shs A Non-Voting Series -38-,Financials,BN-PF-E.TO,EQ,CA11271J7353
Brookfield Corporation 4.75 % Cum Pref Registered Shs -A- Series -18-,Financials,BN-PR-N.TO,EQ,CA11271J8005
