Company Name,Industry,Symbol,Series,ISIN Code
TJX Companies Inc Shs UnSp CDR-Reg S,Consumer Discretionary,TJX.TO,EQ,CA88873A1066
Ford Motor Company Shs A -CAD- hedged- Canadian Depoitary Receipt Hedged Shs A Reg S,Consumer Discretionary,F.TO,EQ,CA34539A1066
Loblaw Companies Limited,Consumer Discretionary,L.TO,EQ,CA5394811015
Alimentation Couche-Tard Inc.,Consumer Discretionary,ATD.TO,EQ,CA01626P1484
Bayerische Motoren Werke AG CDR,Consumer Discretionary,BMW.TO,EQ,CA0727441051
Dollarama Inc.,Consumer Discretionary,DOL.TO,EQ,CA25675T1075
Restaurant Brands International Inc.,Consumer Discretionary,QSR.TO,EQ,CA76131D1033
Restaurant Brands International LP,Consumer Discretionary,QSP-UN.TO,EQ,CA76090H1038
George Weston Limited 5.2 % Pfd Shs Series -IV-,Consumer Discretionary,WN-PR-D.TO,EQ,CA9611488557
George Weston Limited,Consumer Discretionary,WN.TO,EQ,CA9611485090
George Weston Limited 5.8 % Pfd shs Series 1,Consumer Discretionary,WN-PR-A.TO,EQ,CA9611488896
George Weston Ltd 4.75 % Cum Conv Red Pfd Registered Shs Series V,Consumer Discretionary,WN-PR-E.TO,EQ,CA9611488482
George Weston Limited 5.2 % Cum Pfd Shs Series -III-,Consumer Discretionary,WN-PR-C.TO,EQ,CA9611488631
Metro Inc.,Consumer Discretionary,MRU.TO,EQ,CA59162N1096
Aritzia Inc.,Consumer Discretionary,ATZ.TO,EQ,CA04045U1021
Empire Co Ltd Class A,Consumer Discretionary,EMP-A.TO,EQ,CA2918434077
Canadian Tire Corporation Limited,Consumer Discretionary,CTC.TO,EQ,CA1366811034
Canadian Tire Corporation Limited Class A,Consumer Discretionary,CTC-A.TO,EQ,CA1366812024
Boyd Group Services Inc,Consumer Discretionary,BYD.TO,EQ,CA1033101082
Cogeco Communications Inc.,Consumer Discretionary,CCA.TO,EQ,CA19239C1068
North West Company Inc.,Consumer Discretionary,NWC.TO,EQ,CA6632782083
Savaria Corporation,Consumer Discretionary,SIS.TO,EQ,CA8051121090
Spin Master Corp,Consumer Discretionary,TOY.TO,EQ,CA8485101031
Leon's Furniture Limited,Consumer Discretionary,LNF.TO,EQ,CA5266821092
Black Diamond Group Limited,Consumer Discretionary,BDI.TO,EQ,CA09202D2077
Pet Valu Holdings Ltd.,Consumer Discretionary,PET.TO,EQ,CA71584R1055
Stingray Group Inc.,Consumer Discretionary,RAY.TO,EQ,CA86084H4070
MTY Food Group Inc.,Consumer Discretionary,MTY.TO,EQ,CA55378N1078
A&W Food Services of Canada Inc.,Consumer Discretionary,AW.TO,EQ,CA0002251027
Dexterra Group Inc.,Consumer Discretionary,DXT.TO,EQ,CA2523711091
Cineplex Inc.,Consumer Discretionary,CGX.TO,EQ,CA1724541000
TWC Enterprises Limited,Consumer Discretionary,TWC.TO,EQ,CA87310A1093
Blue Ant Media Corporation,Consumer Discretionary,BAMI.TO,EQ,CA09523F1053
