Company Name,Industry,Symbol,Series,ISIN Code
Coca-Cola Company Shs -CAD hedged- Canadian Depositary Receipt Repr Shs Reg S,Consumer Staples,COLA.TO,EQ,CA19123A1093
Procter & Gamble Company Shs Sponsored canadian Depositary Receipt Repr Sh,Consumer Staples,PG.TO,EQ,CA74276N1015
LVMH Moet Hennessy Louis Vuitton SE Shs Unsponsored Canadian Depository Receipt Hedged,Consumer Staples,LV.NE,EQ,CA50244Q1037
LVMH Moet Hennessy Louis Vuitton SE Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,LVMH.TO,EQ,CA50244E1007
Philip Morris International Inc. Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,ZYNS.TO,EQ,CA7183911055
Nestle S.A CAD Hedged CIBC CDR,Consumer Staples,NSTL.TO,EQ,CA64108U1003
Nestle S.A. Shs Canadian Depositary Receipt Repr 1 Shs Reg S,Consumer Staples,NEST.NE,EQ,CA6410701073
L'Oreal S.A. Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,LOR.NE,EQ,CA50214N1069
L'Oreal S.A. Shs Unsponsored Canadian Depository Receipt Hedged Reg,Consumer Staples,LORL.TO,EQ,CA50214W1068
Hermes International S.A. Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,HERM.NE,EQ,CA42751V1040
Hermes International S.A. Shs Unsponsored Canadian Depository Receipt Hedged,Consumer Staples,HRMS.TO,EQ,CA42751W1023
PepsiCo  Inc. Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,PEP.TO,EQ,CA71344A1030
NIKE  Inc. Shs B -CAD hedged- Canadian Depositary Receipt Repr Shs B Reg S,Consumer Staples,NKE.TO,EQ,CA65410W1068
Loblaw Companies Limited,Consumer Staples,L.TO,EQ,CA5394811015
Heineken NV Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,HEIA.NE,EQ,CA4230061059
Dollarama Inc.,Consumer Staples,DOL.TO,EQ,CA25675T1075
adidas AG Shs Sponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,ADI.NE,EQ,CA0069281057
George Weston Limited,Consumer Staples,WN.TO,EQ,CA9611485090
Constellation Brands  Inc. Shs Unsponsored Canadian Depoitary Receipt Hedged Reg S,Consumer Staples,STZ.TO,EQ,CA21036D1050
lululemon athletica inc. Shs Unsponsored Canadian Depository Receipt Hedged Reg S,Consumer Staples,ZLUL.NE,EQ,CA55002J1003
lululemon athletica inc. Shs Unsponsored Canadian Depoitary Receipt Hedged Reg S,Consumer Staples,LULU.TO,EQ,CA5499211046
Metro Inc.,Consumer Staples,MRU.TO,EQ,CA59162N1096
Saputo Inc.,Consumer Staples,SAP.TO,EQ,CA8029121057
Molson Coors Canada Inc. Class B,Consumer Staples,TPX.B.TO,EQ,CA6087112067
Molson Coors Canada Inc. Class A,Consumer Staples,TPX.A.TO,EQ,CA6087111077
Premium Brands Holdings Corporation,Consumer Staples,PBH.TO,EQ,CA74061A1084
Maple Leaf Foods Inc.,Consumer Staples,MFI.TO,EQ,CA5649051078
North West Company Inc.,Consumer Staples,NWC.TO,EQ,CA6632782083
Jamieson Wellness Inc.,Consumer Staples,JWEL.TO,EQ,CA4707481046
Lassonde Industries  Inc. Class A,Consumer Staples,LAS.A.TO,EQ,CA5179071017
Canada Goose Holdings  Inc.,Consumer Staples,GOOS.TO,EQ,CA1350861060
AGT Food and Ingredients Inc,Consumer Staples,AGTF.TO,EQ,CA0012643080
Canada Packers Inc.,Consumer Staples,CPKR.TO,EQ,CA1351801073
Corby Spirit and Wine Limited Class B,Consumer Staples,CSW.B.TO,EQ,CA2183492073
Corby Spirit and Wine Limited Class A,Consumer Staples,CSW.A.TO,EQ,CA2183491083
