Company Name,Industry,Symbol,Series,ISIN Code
Royal Bank of Canada,Financials,RY.TO,EQ,CA7800871021
Royal Bank of Canada Non-Cum Conv Red Pfd Registered Shs Series -BO- Reg S,Financials,RY-PR-S.TO,EQ,CA78013R3909
Toronto-Dominion Bank Non-Cum Conv Red Rate Reset Pfd Series 16,Financials,TD-PF-I.TO,EQ,CA8911606405
Toronto-Dominion Bank Non-Cum Conv Red Perp Pfd Series 18,Financials,TD-PF-J.TO,EQ,CA8911606249
Toronto-Dominion Bank,Financials,TD.TO,EQ,CA8911605092
Toronto-Dominion Bank Non Cum Pfd Registered Shs -A- Series -1-,Financials,TD-PF-A.TO,EQ,CA8911456900
Bank of Montreal,Financials,BMO.TO,EQ,CA0636711016
Bank of Montreal Non-Cum Conv Red Pfd Registered Shs B Series -44- Reg S,Financials,BMO-PR-E.TO,EQ,CA06368B2075
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,CA1360691010
Canadian Imperial Bank of Commerce Non-Cum Conv Red Perp Pfd A Series 47,Financials,CM-PR-S.TO,EQ,CA1360708772
Brookfield Corporation Cum Red Pref Class A Series 40,Financials,BN-PF-F.TO,EQ,CA11271J7197
Brookfield Corporation Cum Pfd Registered Shs -A- Series -24-,Financials,BN-PR-R.TO,EQ,CA11271J8831
Brookfield Corporation Cum Red Pref Registered Shs -A- Series -37- Non Vtg,Financials,BN-PF-D.TO,EQ,CA11271J7437
Brookfield Corporation Cum Pref Registered Shs -A- Series -30-,Financials,BN-PR-Z.TO,EQ,CA11271J8260
Brookfield Corporation Cum Conv Red Pref Registered Shs -A- Series -48-,Financials,BN-PF-J.TO,EQ,CA11271J6280
Brookfield Corporation Class A Preference Shares Series 42,Financials,BN-PF-G.TO,EQ,CA11271J6850
Brookfield Corporation 4.75 % Cum Conv Pfd Registered Shs -A- Series 17,Financials,BN-PR-M.TO,EQ,CA11271J7015
Brookfield Corporation Cum Red Pref Registered Shs -A- Series -46-,Financials,BN-PF-I.TO,EQ,CA11271J6447
Brookfield Corporation Cum Pref Registered Shs -A- Series -26-,Financials,BN-PR-T.TO,EQ,CA11271J8674
Brookfield Corporation Cum Pref Registered Shs A Series 28,Financials,BN-PR-X.TO,EQ,CA11271J8427
Brookfield Corporation Cum Red Pfd Registered Shs A Series 4,Financials,BN-PR-C.TO,EQ,CA11271J3055
Brookfield Corporation Cum Pref Shs A Non-Voting Series -38-,Financials,BN-PF-E.TO,EQ,CA11271J7353
Brookfield Corporation 4.75 % Cum Pref Registered Shs -A- Series -18-,Financials,BN-PR-N.TO,EQ,CA11271J8005
Brookfield Corporation Cum Red Pfd Shs A Series -36-,Financials,BN-PF-C.TO,EQ,CA11271J7502
Brookfield Corporation Cum Pfd A Series -32-,Financials,BN-PF-A.TO,EQ,CA11271J7924
Brookfield Corporation Pfd Registered Shs A cSeries -54,Financials,BN-PF-M.TO,EQ,CA11271J5787
Brookfield Corporation Red Pref Registered Shs A Series -51- Non Vtg,Financials,BN-PF-K.TO,EQ,CA11271J5944
Brookfield Corporation,Financials,BN.TO,EQ,CA11271J1075
Brookfield Corporation Cum Red Pfd Registered Shs -A- Series -13-,Financials,BN-PR-K.TO,EQ,CA11271J6025
Brookfield Corporation Cum Red Pfd Registered A Series 2,Financials,BN-PR-B.TO,EQ,CA11271J2065
Brookfield Corporation Cum Pfd Shs A Series -34-,Financials,BN-PF-B.TO,EQ,CA11271J7767
Brookfield Corporation Red Pref Registered Shs A Series -52- Non Vtg,Financials,BN-PF-L.TO,EQ,CA11271J5860
Bank of Nova Scotia,Financials,BNS.TO,EQ,CA0641491075
Brookfield Asset Management Ltd. Class A,Financials,BAM.TO,EQ,CA1130041058
Manulife Financial Corp Non Cum Red Pfd Registered Shs 1 Series -19-,Financials,MFC-PR-N.TO,EQ,CA56501R6766
Manulife Financial Corporation 4 1/2 % Non Cum Red Pfd Shs A Series 3,Financials,MFC-PR-C.TO,EQ,CA56501R5024
Manulife Financial Corporation Non-Cum Pfd Shs 1 Series -15-,Financials,MFC-PR-L.TO,EQ,CA56501R7269
Manulife Financial Corp Non Cum Pfd Registered Shs 1 Series 4,Financials,MFC-PR-P.TO,EQ,CA56501R8416
Manulife Financial Corp Non Cum Pfd Registered Shs 1 Series -17-,Financials,MFC-PR-M.TO,EQ,CA56501R6923
Manulife Financial Corporation 4.65 % Non Cum Red Pfd Registered Shs A Series 2,Financials,MFC-PR-B.TO,EQ,CA56501R4035
Manulife Financial Corp Non-Cum Rate Reset Class 1 Shs Series 25,Financials,MFC-PR-Q.TO,EQ,CA56501R6196
Manulife Financial Corporation Non Cum Conv Pfd Registered Shs 1 Series 9,Financials,MFC-PR-I.TO,EQ,CA56501R7830
Manulife Financial Corporation Non-Cum Conv Pfd Shs 1 Series -11-,Financials,MFC-PR-J.TO,EQ,CA56501R7673
Manulife Financial Corporation,Financials,MFC-PR-K.TO,EQ,CA56501R7426
Manulife Financial Corporation Non Cum Pfd Registered Shs 1 Series 3,Financials,MFC-PR-F.TO,EQ,CA56501R8580
Manulife Financial Corporation,Financials,MFC.TO,EQ,CA56501R1064
National Bank of Canada Non-Cum Conv Red 1st Pfd Registered Shs Series -38-,Financials,NA-PR-C.TO,EQ,CA6330672289
National Bank of Canada Non-Cum Conv Red Perp Pfd Registered Shs Series -40-,Financials,NA-PR-E.TO,EQ,CA6330671943
National Bank of Canada,Financials,NA.TO,EQ,CA6330671034
National Bank of Canada Non-Cum Conv Red Perp Pfd Registered Shs Series -42- Reg S,Financials,NA-PR-G.TO,EQ,CA63306A2056
National Bank of Canada Non-Cum Conv Red Perp Pfd Registered Shs Series -49- Reg S,Financials,NA-PR-K.TO,EQ,CA63307P7636
National Bank of Canada Non-Cum First Pfd Shs Series -30-,Financials,NA-PR-S.TO,EQ,CA6330673196
National Bank of Canada Non-Cum Conv Red Perp Pfd Registered Shs Series -47- Reg S,Financials,NA-PR-I.TO,EQ,CA63307P7891
Great-West Lifeco Inc. 5.4 % Non-Cum 1st Pfd Shs Series P,Financials,GWO-PR-P.TO,EQ,CA39138C7750
Great-West Lifeco Inc. 4.85 % Non-Cum Pfd Shs Series H,Financials,GWO-PR-H.TO,EQ,CA39138C8741
Great-West Lifeco Inc. 5.65 % Non Cum First Pfd Shs Series L,Financials,GWO-PR-L.TO,EQ,CA39138C8253
Great-West Lifeco Inc.,Financials,GWO.TO,EQ,CA39138C1068
Great-West Lifeco Inc. Non Cum 1st Pfd Registered Series S,Financials,GWO-PR-S.TO,EQ,CA39138C7347
Great-West Lifeco Inc. 5.2 % Non Cum 1st Pfd Shs Series G,Financials,GWO-PR-G.TO,EQ,CA39138C8824
Great-West Lifeco Inc. 5.8 % Non-Cum 1st Pfd Shs Series M,Financials,GWO-PR-M.TO,EQ,CA39138C8170
Great-West Lifeco Inc. 4.50 % Non-Cum Red 1st Pfd Registered Shs Series -Y-,Financials,GWO-PR-Y.TO,EQ,CA39138C6927
Great-West Lifeco Inc. Non-Cum 1st Pfd Shs Series N,Financials,GWO-PR-N.TO,EQ,CA39138C7917
Great-West Lifeco Inc. 5.70 % Non Cum 1Pfd Registered Shs Series Z,Financials,GWO-PR-Z.TO,EQ,CA39138C6844
Great-West Lifeco Inc. Non-Cum Red 1st Pfd Registered Shs Series T,Financials,GWO-PR-T.TO,EQ,CA39138C7263
Great-West Lifeco Inc. Non Cum 1st Pfd Registered Shs Series -Q-,Financials,GWO-PR-Q.TO,EQ,CA39138C7677
Great-West Lifeco Inc. Non-Cum Red 1st Pfd Shs Series R,Financials,GWO-PR-R.TO,EQ,CA39138C7594
Great-West Lifeco Inc. 4 1/2 % Non-Cum Red 1st Pfd Shs Series I,Financials,GWO-PR-I.TO,EQ,CA39138C8667
Sun Life Financial Inc Non Cum Pfd Shs A Series -9QR- Fltg Rt,Financials,SLF-PR-J.TO,EQ,CA8667968736
Sun Life Financial Inc 4.5 % Non Cum Pfd Registered Shs A Series 5,Financials,SLF-PR-E.TO,EQ,CA8667966003
Sun Life Financial Inc Non-Cum Pfd Shs A Series -10R-,Financials,SLF-PR-H.TO,EQ,CA8667968652
Sun Life Financial Inc. Non-Cum Pfd Shs A Series -11QR- Fltg Rt,Financials,SLF-PR-K.TO,EQ,CA8667968579
