Company Name,Industry,Symbol,Series,ISIN Code
Freeport-McMoRan  Inc. Shs Sponsored Canadian Depository Receipt Hedged Reg S,Materials,FCXS.TO,EQ,CA35671T1003
Agnico Eagle Mines Limited,Materials,AEM.TO,EQ,CA0084741085
Barrick Gold Corporation,Materials,ABX.TO,EQ,CA06849F1080
Wheaton Precious Metals Corp.,Materials,WPM.TO,EQ,CA9628791027
Franco-Nevada Corporation,Materials,FNV.TO,EQ,CA3518581051
Nutrien Ltd.,Materials,NTR.TO,EQ,CA67077M1086
Teck Resources Limited Class A,Materials,TECK.A.TO,EQ,CA8787423034
Teck Resources Limited Class B,Materials,TECK.B.TO,EQ,CA8787422044
Sika AG Sponsored Canadian Depository Receipt Hedged Reg S,Materials,SIKA.NE,EQ,CA8269461056
Kinross Gold Corporation,Materials,K.TO,EQ,CA4969024047
First Quantum Minerals Ltd.,Materials,FM.TO,EQ,CA3359341052
Lundin Mining Corporation,Materials,LUN.TO,EQ,CA5503721063
Pan American Silver Corp.,Materials,PAAS.TO,EQ,CA6979001089
Alamos Gold Inc.,Materials,AGI.TO,EQ,CA0115321089
Lundin Gold Inc.,Materials,LUG.TO,EQ,CA5503711080
Ivanhoe Mines Ltd.,Materials,IVN.TO,EQ,CA46579R1047
Hudbay Minerals Inc.,Materials,HBM.TO,EQ,CA4436281022
CCL Industries Inc. Class B,Materials,CCL.B.TO,EQ,CA1249003098
CCL Industries Inc. Class A,Materials,CCL.A.TO,EQ,CA1249002009
Iamgold Corporation,Materials,IMG.TO,EQ,CA4509131088
First Majestic Silver Corp.,Materials,AG.TO,EQ,CA32076V1031
Equinox Gold Corp.,Materials,EQX.TO,EQ,CA29446Y5020
Eldorado Gold Corporation,Materials,ELD.TO,EQ,CA2849025093
Capstone Copper Corp.,Materials,CS.TO,EQ,CA14071L1085
China Gold International Resources Corp. Ltd.,Materials,CGG.TO,EQ,CA16890P1036
Dundee Precious Metals Inc.,Materials,DPM.TO,EQ,CA26139R1091
Osisko Gold Royalties Ltd.,Materials,OR.TO,EQ,CA68390D1069
G Mining Ventures Corp.,Materials,GMIN.TO,EQ,CA36270K1021
Triple Flag Precious Metals Corp.,Materials,TFPM.TO,EQ,CA89679M1041
OceanaGold Corporation,Materials,OGC.TO,EQ,CA6752224007
SSR Mining Inc.,Materials,SSRM.TO,EQ,CA7847301032
B2Gold Corp.,Materials,BTO.TO,EQ,CA11777Q2099
Artemis Gold Inc,Materials,ARTG.V,EQ,CA04302L1004
West Fraser Timber Co. Ltd.,Materials,WFG.TO,EQ,CA9528451052
Almonty Industries Inc.,Materials,AII.TO,EQ,CA0203987072
Discovery Silver Corp.,Materials,DSV.TO,EQ,CA2546771072
Methanex Corporation,Materials,MX.TO,EQ,CA59151K1084
Montage Gold Corp.,Materials,MAU.TO,EQ,CA61178L1013
NGEx Minerals Ltd.,Materials,NGEX.TO,EQ,CA62930A1021
K92 Mining Inc.,Materials,KNT.TO,EQ,CA4991131083
Torex Gold Resources Inc.,Materials,TXG.TO,EQ,CA8910546032
Orla Mining Ltd.,Materials,OLA.TO,EQ,CA68634K1066
Skeena Resources Limited,Materials,SKE.TO,EQ,CA83056P7157
Aris Mining Corporation,Materials,ARIS.TO,EQ,CA04040Y1097
NovaGold Resources Inc.,Materials,NG.TO,EQ,CA66987E2069
Centerra Gold Inc.,Materials,CG.TO,EQ,CA1520061021
Stella-Jones Inc.,Materials,SJ.TO,EQ,CA85853F1053
Allied Gold Corporation,Materials,AAUC.TO,EQ,CA01921D2041
Ero Copper Corp.,Materials,ERO.TO,EQ,CA2960061091
Seabridge Gold Inc.,Materials,SEA.TO,EQ,CA8119271028
Perpetua Resources Corp.,Materials,PPTA.TO,EQ,CA7142661031
Taseko Mines Limited,Materials,TKO.TO,EQ,CA8765111064
Fortuna Mining Corp.,Materials,FVI.TO,EQ,CA3499421020
Aya Gold & Silver Inc.,Materials,AYA.TO,EQ,CA05466C1095
Wesdome Gold Mines Ltd.,Materials,WDO.TO,EQ,CA95083R1001
Endeavour Silver Corp.,Materials,EDR.TO,EQ,CA29258Y1034
5N Plus Inc.,Materials,VNP.TO,EQ,CA33833X1015
Silvercorp Metals Inc.,Materials,SVM.TO,EQ,CA82835P1036
Altius Minerals Corporation,Materials,ALS.TO,EQ,CA0209361009
Sigma Lithium Corporation,Materials,SGML.V,EQ,CA8265991023
Green Thumb Industries Inc.,Materials,GTII.NE,EQ,CA39342L1085
AbraSilver Resource Corp.,Materials,ABRA.TO,EQ,CA00379L3048
Americas Gold And Silver Corporation,Materials,USA.TO,EQ,CA03062D8035
Southern Cross Gold Consolidated Ltd.,Materials,SXGC.TO,EQ,CA8426851090
G2 Goldfields  Inc.,Materials,GTWO.TO,EQ,CA36256R1055
Lithium Americas Corp.,Materials,LAC.TO,EQ,CA53681J1030
Rupert Resources Ltd.,Materials,RUP.TO,EQ,CA78165J1057
Snowline Gold Corp.,Materials,SGD.TO,EQ,CA83342V1040
Solaris Resources Inc,Materials,SLS.TO,EQ,CA83419D2014
Arizona Sonoran Copper Co.  Inc.,Materials,ASCU.TO,EQ,CA04058Q1054
Chemtrade Logistics Income Fund,Materials,CHE.UN.TO,EQ,CA16387P1036
Hemlo Mining Corp,Materials,HMMC.V,EQ,CA42366G1046
Labrador Iron Ore Royalty Corporation,Materials,LIF.TO,EQ,CA5054401073
I-80 Gold Corp.,Materials,IAU.TO,EQ,CA44955L1067
Vizsla Silver Corp.,Materials,VZLA.TO,EQ,CA92859G6085
Collective Mining Ltd,Materials,CNL.TO,EQ,CA19425C1005
Canfor Corporation,Materials,CFP.TO,EQ,CA1375761048
Faraday Copper Corp,Materials,FDY.TO,EQ,CA3073571034
Northern Dynasty Minerals Ltd.,Materials,NDM.TO,EQ,CA66510M2040
Avino Silver & Gold Mines Ltd.,Materials,ASM.TO,EQ,CA0539061030
Orezone Gold Corporation,Materials,ORE.TO,EQ,CA68616T1093
Omai Gold Mines Corp.,Materials,OMG.V,EQ,CA6820431048
Gogold Resources  Inc.,Materials,GGD.TO,EQ,CA38045Y1025
Neo Performance Materials  Inc.,Materials,NEO.TO,EQ,CA64046G1063
Elemental Royalty Corporation,Materials,ELE.TO,EQ,CA28620K1066
Highlander Silver Corp,Materials,HSLV.TO,EQ,CA43087N2041
Osisko Metals Incorporated,Materials,OM.TO,EQ,CA6882741094
Imperial Metals Corporation,Materials,III.TO,EQ,CA4528921022
Standard Lithium Ltd.,Materials,SLI.V,EQ,CA8536061010
Lumina Metals Corp.,Materials,LMCU.TO,EQ,CA55025J1030
Osisko Development Corp,Materials,ODV.V,EQ,CA68828E8099
RIO2 Limited,Materials,RIO.TO,EQ,CA7672171021
New Pacific Metals Corp,Materials,NUAG.TO,EQ,CA64782A1075
PMET Resources Inc.,Materials,PMET.TO,EQ,CA73015G1046
Cascades Inc.,Materials,CAS.TO,EQ,CA1469001053
Marimaca Copper Corp.,Materials,MARI.TO,EQ,CA56783M1068
Amerigo Resources Ltd,Materials,ARG.TO,EQ,CA03074G1090
Aclara Resources  Inc.,Materials,ARA.TO,EQ,CA00461M1032
ATEX Resources Inc.,Materials,ATX.TO,EQ,CA04681A1057
Talamore Mining Corporation,Materials,TALA.V,EQ,CA8740851032
NorthIsle Copper and Gold Inc.,Materials,NCX.V,EQ,CA66644R1038
Troilus Mining Corp,Materials,TLG.TO,EQ,CA89688V1031
Trilogy Metals Inc.,Materials,TMQ.TO,EQ,CA89621C1059
Mako Mining Corp.,Materials,MKO.V,EQ,CA56089A4000
Santacruz Silver Mining Ltd.,Materials,SCZ.V,EQ,CA80280U2056
Rogers Sugar Inc.,Materials,RSI.TO,EQ,CA77519R1029
Vireo Growth Inc,Materials,VREO.NE,EQ,CA92767B2049
Ur-Energy Inc.,Materials,URE.TO,EQ,CA91688R1082
IsoEnergy Ltd.,Materials,ISO.TO,EQ,CA46500E8678
Andean Precious Metals Corp,Materials,APM.TO,EQ,CA03349X1015
Fireweed Metals Corp.,Materials,FWZ.V,EQ,CA31833F1045
Gold X2 Mining Inc.,Materials,AUXX.V,EQ,CA38076G1037
Thesis Gold & Silver Inc.,Materials,TAU.V,EQ,CA8839221063
Mattr Corp,Materials,MATR.TO,EQ,CA57722Y1025
Liberty Gold Corp,Materials,LGD.TO,EQ,CA53056H1047
International Tower Hill Mines Ltd.,Materials,ITH.TO,EQ,CA46050R1029
