Company Name,Industry,Symbol,Series,ISIN Code
RTX Corporation Shs,Technology,RTX.TO,EQ,CA74983J1049
ServiceNow Inc.,Technology,NOWS.TO,EQ,CA81762A1057
Adobe Inc. Depository Receipt,Technology,ADBE.TO,EQ,CA00723H1082
Constellation Software Inc.,Technology,CSU.TO,EQ,CA21037X1006
Celestica Inc.,Technology,CLS.TO,EQ,CA15101Q2071
Thomson Reuters Corporation,Technology,TRI.TO,EQ,CA8849038812
Thomson Reuters Corporation Floating Rate Pfd Shs Series -II-,Technology,TRI-PR-B.TO,EQ,CA8849033037
Bombardier Inc Cum Red Pfd Registered Shs Series 3,Technology,BBD-PR-D.TO,EQ,CA0977516065
Bombardier Inc. Class B,Technology,BBD-B.TO,EQ,CA0977518616
Bombardier Inc. Class A,Technology,BBD-A.TO,EQ,CA0977518798
Bombardier Inc Cum Red Pfd Shs Series 2 Fltg Rt,Technology,BBD-PR-B.TO,EQ,CA0977515075
Bombardier Inc 6.25 % Conv Cum Red Pfd Registered Shs Series 4,Technology,BBD-PR-C.TO,EQ,CA0977517055
RB Global Inc.,Technology,RBA.TO,EQ,CA74935Q1072
CGI Inc. Class A,Technology,GIB-A.TO,EQ,CA12532H1047
Descartes Systems Group Inc.,Technology,DSG.TO,EQ,CA2499061083
Topicus.com Inc.,Technology,TOI.V,EQ,CA89072T1021
Open Text Corporation,Technology,OTEX.TO,EQ,CA6837151068
BlackBerry Limited,Technology,BB.TO,EQ,CA09228F1036
MDA Space Ltd,Technology,MDA.TO,EQ,CA55293N1096
Lumine Group Inc.,Technology,LMN.V,EQ,CA55027C1068
Xanadu Quantum Technologies Limited Class B,Technology,XNDU.TO,EQ,CA98390R1029
Kinaxis Inc.,Technology,KXS.TO,EQ,CA49448Q1090
Kraken Robotics Inc,Technology,PNG.V,EQ,CA50077N1024
Magellan Aerospace Corporation,Technology,MAL.TO,EQ,CA5589122004
Lightspeed Commerce Inc,Technology,LSPD.TO,EQ,CA53229C1077
Abaxx Technologies Inc,Technology,ABXX.TO,EQ,CA00258V3083
HIVE Digital Technologies Ltd,Technology,HIVE.TO,EQ,CA4339211035
Evertz Technologies Limited,Technology,ET.TO,EQ,CA30041N1078
Pason Systems Inc.,Technology,PSI.TO,EQ,CA7029251088
Enghouse Systems Limited,Technology,ENGH.TO,EQ,CA2929491041
Quantum eMotion Corp.,Technology,QNC.V,EQ,CA74767K1030
Propel Holdings Inc.,Technology,PRL.TO,EQ,CA74349D1069
Blackline Safety Corp.,Technology,BLN.TO,EQ,CA0923821007
Docebo Inc.,Technology,DCBO.TO,EQ,CA25609L1058
Firan Technology Group Corporation,Technology,FTG.TO,EQ,CA3180931014
kneat.com Inc.,Technology,KSI.TO,EQ,CA4988241010
