Company Name,Industry,Symbol,Series,ISIN Code
Fortis Inc. Cum Red First Pfd Shs Series J,Utilities,FTS-PR-J.TO,EQ,CA3495537928
Fortis Inc.,Utilities,FTS.TO,EQ,CA3495531079
Fortis Inc. 4.9 % Cum Red 1st Pref Registered Shs Series F,Utilities,FTS-PR-F.TO,EQ,CA3495538678
Fortis Inc. Cum Red Reset 1st Pref Shs Series G,Utilities,FTS-PR-G.TO,EQ,CA3495538348
Fortis Inc. Cum Red Pref Shs Series K,Utilities,FTS-PR-K.TO,EQ,CA3495537845
Fortis Inc. Cum Red 1st Pref Shs Series M,Utilities,FTS-PR-M.TO,EQ,CA3495537688
Fortis Inc. Cum Red 1st Pfd Shs Series I Fltg Rt,Utilities,FTS-PR-I.TO,EQ,CA3495538181
Fortis Inc. Cum Red 1st Pfd Shs Series H,Utilities,FTS-PR-H.TO,EQ,CA3495538264
Hydro One Limited,Utilities,H.TO,EQ,CA4488112083
Brookfield Infrastructure Partners L.P. Cum Red Pfd Partnership Units A Series 9,Utilities,BIP-PR-E.TO,EQ,BMG162522004
Brookfield Infrastructure Partners L.P. Cum Conv Red Pfd Partnership Units A Series 11 Reg S,Utilities,BIP-PR-F.TO,EQ,BMG162522269
Brookfield Infrastructure Partners L.P.,Utilities,BIP-UN.TO,EQ,BMG162521014
Emera Incorporated Cum Conv Red Perp Pfd Registered Shs Series J Reg S,Utilities,EMA-PR-J.TO,EQ,CA2908768468
Emera Incorporated,Utilities,EMA.TO,EQ,CA2908761018
Emera Incorporated Cum Conv Red Perp Pfd Registered Shs Series -H- Reg S,Utilities,EMA-PR-H.TO,EQ,CA2908768617
Emera Incorporated Cum Reset 1st Pfd Shs Series F,Utilities,EMA-PR-F.TO,EQ,CA2908768047
Emera Incorporated Cum Reset 1st Pfd Shs Series C,Utilities,EMA-PR-C.TO,EQ,CA2908765076
Emera Incorporated Cum Red Pfd Registered Shs Series L,Utilities,EMA-PR-L.TO,EQ,CA2908768203
Emera Incorporated 4.5 % Cum Red 1st Pfd Registered Shs Non Vtg Series -E-,Utilities,EMA-PR-E.TO,EQ,CA2908767056
Emera Incorporated Cum Reset 1st Pfd Shs Series A,Utilities,EMA-PR-A.TO,EQ,CA2908763097
AltaGas Ltd. Cum Red Pfd Shs Series G,Utilities,ALA-PR-G.TO,EQ,CA0213618865
AltaGas Ltd.,Utilities,ALA.TO,EQ,CA0213611001
Brookfield Renewable Partners LP 5.5 % Cum Red Perp Pfd Partnership Units A -Series 18- Reg S,Utilities,BEP-PR-R.TO,EQ,BMG162582644
Brookfield Renewable Partners LP Cum Conv Red Perp Pfd Partnership Units A Series -13-,Utilities,BEP-PR-M.TO,EQ,BMG162584053
Brookfield Renewable Partners LP,Utilities,BEP-UN.TO,EQ,BMG162581083
Canadian Utilities Limited Class A,Utilities,CU.TO,EQ,CA1367178326
Canadian Utilities Limited 4.75 % Cum Red 2nd Pfd Registered Shs Series -HH-,Utilities,CU-PR-J.TO,EQ,CA1367175926
Canadian Utilities Ltd Cum Red Second Pfd Shs Series -DD-,Utilities,CU-PR-G.TO,EQ,CA1367176429
Canadian Utilities Limited 5 1/4 % Cum Red Second Pfd Shs Series -EE-,Utilities,CU-PR-H.TO,EQ,CA1367176346
Canadian Utilities Ltd Cum Red Second Pfd Shs Series -CC-,Utilities,CU-PR-F.TO,EQ,CA1367176593
Canadian Utilities Ltd Cum Red Second Pfd Shs Series Y,Utilities,CU-PR-C.TO,EQ,CA1367176916
Canadian Utilities Limited Cum Pfd Registered Shs Series -JJ-,Utilities,CU-PR-K.TO,EQ,CA1367175769
Canadian Utilities Limited Cum Red Second Pfd Shs Series -BB-,Utilities,CU-PR-E.TO,EQ,CA1367176676
Canadian Utilities Ltd Cum Red Second Pfd Shs Series -AA-,Utilities,CU-PR-D.TO,EQ,CA1367176759
Capital Power Corporation Cum Pfd Registered Shs Series 3,Utilities,CPX-PR-C.TO,EQ,CA14042M5081
Capital Power Corporation Cum Pfd Registered Shs Series 5,Utilities,CPX-PR-E.TO,EQ,CA14042M7061
Capital Power Corporation Cum Pref Shs Series 1,Utilities,CPX-PR-A.TO,EQ,CA14042M3003
Capital Power Corporation,Utilities,CPX.TO,EQ,CA14042M1023
Brookfield Renewable Holdings Corporation Class A,Utilities,BEPC.TO,EQ,CA11285B1085
ATCO Ltd. Class I,Utilities,ACO-X.TO,EQ,CA0467894006
Brookfield Infrastructure Corporation Class A,Utilities,BIPC.TO,EQ,CA11276H1064
Algonquin Power & Utilities Corp.,Utilities,AQN.TO,EQ,CA0158571053
Algonquin Power & Utilities Corp. Cum Pfd Series D,Utilities,AQN-PR-D.TO,EQ,CA0158575013
Algonquin Power & Utilities Corp. Cum Red Pfd Shs Series A,Utilities,AQN-PR-A.TO,EQ,CA0158573034
Northland Power Inc.,Utilities,NPI.TO,EQ,CA6665111002
Northland Power Inc. Floating Rate Cum Red Pfd Registered Shs Series 2,Utilities,NPI-PR-B.TO,EQ,CA6665115060
Northland Power Inc. Cum Pfd Shs Series 1,Utilities,NPI-PR-A.TO,EQ,CA6665113081
TransAlta Corporation Cum First Pfd Shs Series C,Utilities,TA-PR-F.TO,EQ,CA89346D7356
TransAlta Corporation Cum First Pfd Shs Series A,Utilities,TA-PR-D.TO,EQ,CA89346D7687
TransAlta Corporation,Utilities,TA.TO,EQ,CA89346D1078
TransAlta Corporation Cum Red Pfd Shs Series G,Utilities,TA-PR-J.TO,EQ,CA89346D6770
TransAlta Corp Floating Rate Cum 1st Pfd Registered Shs Series D,Utilities,TA-PR-G.TO,EQ,CA89346D7430
