Company Name,Industry,Symbol,Series,ISIN Code
Royal Bank of Canada,Financials,RY,EQ,
Toronto-Dominion Bank,Financials,TD,EQ,
Bank of Nova Scotia,Financials,BNS,EQ,
Bank of Montreal,Financials,BMO,EQ,
CIBC,Financials,CM,EQ,
National Bank of Canada,Financials,NA,EQ,
Manulife Financial,Financials,MFC,EQ,
Sun Life Financial,Financials,SLF,EQ,
Great-West Lifeco,Financials,GWO,EQ,
Power Corporation,Financials,POW,EQ,
Intact Financial,Financials,IFC,EQ,
Fairfax Financial,Financials,FFH,EQ,
Brookfield Asset Management,Financials,BAM,EQ,
Onex Corporation,Financials,ONEX,EQ,
IGM Financial,Financials,IGM,EQ,
TMX Group,Financials,X,EQ,
goeasy,Financials,GSY,EQ,
Canadian Natural Resources,Energy,CNQ,EQ,
Cenovus Energy,Energy,CVE,EQ,
Suncor Energy,Energy,SU,EQ,
Imperial Oil,Energy,IMO,EQ,
Tourmaline Oil,Energy,TOU,EQ,
ARC Resources,Energy,ARX,EQ,
Canadian Tire,ConsumerDisc,CTC-A,EQ,
Whitecap Resources,Energy,WCP,EQ,
Vermilion Energy,Energy,VET,EQ,
Parex Resources,Energy,PXT,EQ,
Baytex Energy,Energy,BTE,EQ,
Cardinal Energy,Energy,CJ,EQ,
Peyto Exploration,Energy,PEY,EQ,
Barrick Gold,Materials,ABX,EQ,
Agnico Eagle Mines,Materials,AEM,EQ,
Franco-Nevada,Materials,FNV,EQ,
Wheaton Precious Metals,Materials,WPM,EQ,
First Quantum Minerals,Materials,FM,EQ,
Teck Resources,Materials,TECK-B,EQ,
Kinross Gold,Materials,K,EQ,
Pan American Silver,Materials,PAAS,EQ,
Eldorado Gold,Materials,ELD,EQ,
Hudbay Minerals,Materials,HBM,EQ,
Lundin Mining,Materials,LUN,EQ,
Centerra Gold,Materials,CG,EQ,
Equinox Gold,Materials,EQX,EQ,
Wesdome Gold Mines,Materials,WDO,EQ,
Methanex,Materials,MX,EQ,
Canadian National Railway,Industrials,CNR,EQ,
Canadian Pacific Railway,Industrials,CP,EQ,
Waste Connections,Industrials,WCN,EQ,
Stantec,Industrials,STN,EQ,
WSP Global,Industrials,WSP,EQ,
AtkinsRealis (SNC),Industrials,ATRL,EQ,
CAE Inc,Industrials,CAE,EQ,
Toromont Industries,Industrials,TIH,EQ,
Finning International,Industrials,FTT,EQ,
Ritchie Bros,Industrials,RBA,EQ,
TFI International,Industrials,TFII,EQ,
Cargojet,Industrials,CJT,EQ,
Exchange Income,Industrials,EIF,EQ,
Bird Construction,Industrials,BDT,EQ,
Shopify,Technology,SHOP,EQ,
Constellation Software,Technology,CSU,EQ,
Open Text,Technology,OTEX,EQ,
CGI Group,Technology,GIB-A,EQ,
Celestica,Technology,CLS,EQ,
BlackBerry,Technology,BB,EQ,
Kinaxis,Technology,KXS,EQ,
Lightspeed Commerce,Technology,LSPD,EQ,
Nuvei,Technology,NVEI,EQ,
Enghouse Systems,Technology,ENGH,EQ,
Loblaw Companies,Consumer Staples,L,EQ,
Empire Company,Consumer Staples,EMP-A,EQ,
Metro Inc,Consumer Staples,MRU,EQ,
Saputo,Consumer Staples,SAP,EQ,
George Weston,Consumer Staples,WN,EQ,
Premium Brands,Consumer Staples,PBH,EQ,
Alimentation Couche-Tard,Consumer Staples,ATD,EQ,
Dollarama,ConsumerDisc,DOL,EQ,
Canada Goose,ConsumerDisc,GOOS,EQ,
Lululemon Athletica,ConsumerDisc,LULU,EQ,
Gildan Activewear,ConsumerDisc,GIL,EQ,
BRP Inc,ConsumerDisc,DOO,EQ,
Linamar,ConsumerDisc,LNR,EQ,
Martinrea International,ConsumerDisc,MRE,EQ,
RioCan REIT,RealEstate,REI-UN,EQ,
Canadian Apartment REIT,RealEstate,CAR-UN,EQ,
Allied Properties REIT,RealEstate,AP-UN,EQ,
SmartCentres REIT,RealEstate,SRU-UN,EQ,
Choice Properties REIT,RealEstate,CHP-UN,EQ,
Killam Apartment REIT,RealEstate,KMP-UN,EQ,
Granite REIT,RealEstate,GRT-UN,EQ,
Boardwalk REIT,RealEstate,BEI-UN,EQ,
Fortis Inc,Utilities,FTS,EQ,
Emera Inc,Utilities,EMA,EQ,
Canadian Utilities,Utilities,CU,EQ,
Hydro One,Utilities,H,EQ,
Algonquin Power,Utilities,AQN,EQ,
Boralex,Utilities,BLX,EQ,
TransAlta Renewables,Utilities,RNW,EQ,
BCE Inc,CommServices,BCE,EQ,
Telus,CommServices,T,EQ,
Rogers Communications,CommServices,RCI-B,EQ,
Quebecor,CommServices,QBR-B,EQ,
Corus Entertainment,CommServices,CJR-B,EQ,
Bausch Health,Healthcare,BHC,EQ,
Jamieson Wellness,Healthcare,JWEL,EQ,
Knight Therapeutics,Healthcare,GUD,EQ,
Medicenna Therapeutics,Healthcare,MDNA,EQ,
Enbridge,Energy,ENB,EQ,
TC Energy,Energy,TRP,EQ,
Pembina Pipeline,Energy,PPL,EQ,
Keyera,Energy,KEY,EQ,
Gibson Energy,Energy,GEI,EQ,
South Bow,Energy,SOBO,EQ,
Nutrien,Materials,NTR,EQ,
Cameco,Energy,CCO,EQ,
Ivanhoe Mines,Materials,IVN,EQ,
B2Gold,Materials,BTO,EQ,
Brookfield Corporation,Financials,BN,EQ,
Brookfield Infrastructure,Utilities,BIP-UN,EQ,
Brookfield Renewable,Utilities,BEP-UN,EQ,
Element Fleet Management,Financials,EFN,EQ,
Definity Financial,Financials,DFY,EQ,
Restaurant Brands International,ConsumerDisc,QSR,EQ,
Spin Master,ConsumerDisc,TOY,EQ,
Aritzia,ConsumerDisc,ATZ,EQ,
Magna International,ConsumerDisc,MG,EQ,
Descartes Systems,Technology,DSG,EQ,
Bombardier,Industrials,BBD-B,EQ,
