Company Name,Industry,Symbol,Series,ISIN Code
Roche Holding Ltd,Health Care,RO.SW,EQ,CH0012032113
Roche Holding Ltd,Health Care,ROP.SW,EQ,CH1499059983
Novartis AG,Health Care,NOVN.SW,EQ,CH0012005267
Nestle S.A.,Consumer Staples,NESN.SW,EQ,CH0038863350
ABB Ltd.,Industrials,ABBN.SW,EQ,CH0012221716
UBS Group AG,Financials,UBSG.SW,EQ,CH0244767585
Compagnie Financiere Richemont SA,Consumer Discretionary,CFR.SW,EQ,CH0210483332
Zurich Insurance Group Ltd,Financials,ZURN.SW,EQ,CH0011075394
Holcim Ltd,Materials,HOLN.SW,EQ,CH0012214059
Galderma Group AG,Health Care,GALD.SW,EQ,CH1335392721
Swisscom AG,Communication Services,SCMN.SW,EQ,CH0008742519
Lonza Group AG,Health Care,LONN.SW,EQ,CH0013841017
Swiss Re AG,Financials,SREN.SW,EQ,CH0126881561
Sandoz Group Ltd,Health Care,SDZ.SW,EQ,CH1243598427
Schindler Holding Ltd.,Industrials,SCHN.SW,EQ,CH0024638212
Schindler Holding Ltd. Pref,Industrials,SCHP.SW,EQ,CH0024638196
Alcon AG,Health Care,ALC.SW,EQ,CH0432492467
Givaudan SA,Consumer Staples,GIVN.SW,EQ,CH0010645932
Sika AG,Materials,SIKA.SW,EQ,CH0418792922
Swiss Life Holding AG,Financials,SLHN.SW,EQ,CH0014852781
Amrize Ltd,Materials,AMRZ.SW,EQ,CH1430134226
Kuehne & Nagel International AG,Industrials,KNIN.SW,EQ,CH0025238863
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,Consumer Staples,LISP.SW,EQ,CH0010570767
Chocoladefabriken Lindt & Spruengli AG,Consumer Staples,LISN.SW,EQ,CH0010570759
Super Micro Computer Inc.,Technology,SMCI.SW,EQ,CH0000629821
Helvetia Baloise Holding AG,Financials,HBAN.SW,EQ,CH0466642201
Partners Group Holding AG,Financials,PGHN.SW,EQ,CH0024608827
VAT Group AG,Industrials,VACN.SW,EQ,CH0311864901
SGS SA,Industrials,SGSN.SW,EQ,CH1256740924
EMS-CHEMIE HOLDING AG,Materials,EMSN.SW,EQ,CH0016440353
Geberit AG,Industrials,GEBN.SW,EQ,CH0030170408
Straumann Holding AG,Health Care,STMN.SW,EQ,CH1175448666
DSM-Firmenich AG,Consumer Staples,DSFIR.SW,EQ,CH1216478797
Julius Baer Gruppe AG,Financials,BAER.SW,EQ,CH0102484968
Logitech International S.A.,Technology,LOGN.SW,EQ,CH0025751329
Sonova Holding AG,Health Care,SOON.SW,EQ,CH0012549785
BELIMO Holding AG,Industrials,BEAN.SW,EQ,CH1101098163
Swatch Group Ltd. Registered,Consumer Discretionary,UHRN.SW,EQ,CH0012255144
Swatch Group Ltd. Bearer,Consumer Discretionary,UHR.SW,EQ,CH0012255151
Swiss Prime Site AG,Financials,SPSN.SW,EQ,CH0008038389
Banque Cantonale Vaudoise,Financials,BCVN.SW,EQ,CH0531751755
BKW AG,Utilities,BKW.SW,EQ,CH0130293662
Accelleron Industries AG,Industrials,ACLN.SW,EQ,CH1169360919
Flughafen Zurich AG,Industrials,FHZN.SW,EQ,CH0319416936
PSP Swiss Property AG,Financials,PSPN.SW,EQ,CH0018294154
Avolta AG,Consumer Discretionary,AVOL.SW,EQ,CH0023405456
Barry Callebaut AG,Consumer Staples,BARN.SW,EQ,CH0009002962
Swissquote Group Holding Ltd.,Financials,SQN.SW,EQ,CH1548235246
VZ Holding AG,Financials,VZN.SW,EQ,CH0528751586
Luzerner Kantonalbank AG,Financials,LUKN.SW,EQ,CH1252930610
Sulzer AG,Industrials,SUN.SW,EQ,CH0038388911
Bachem Holding AG Class B,Health Care,BANB.SW,EQ,CH1176493729
EFG International AG,Financials,EFGN.SW,EQ,CH0022268228
SFS Group AG,Industrials,SFSN.SW,EQ,CH0239229302
Ypsomed Holding AG,Health Care,YPSN.SW,EQ,CH0019396990
Huber + Suhner AG,Technology,HUBN.SW,EQ,CH0030380734
SIG Group AG,Materials,SIGN.SW,EQ,CH0435377954
Emmi AG,Consumer Staples,EMMN.SW,EQ,CH0012829898
Temenos AG,Technology,TEMN.SW,EQ,CH0012453913
