Company Name,Industry,Symbol,Series,ISIN Code
Richemont,Consumer Discretionary,CFR.SW,EQ,CH0210483332
Swatch Group,Consumer Discretionary,UHR.SW,EQ,CH0012255151
Swatch Group Ltd. Registered,Consumer Discretionary,UHRN.SW,EQ,CH0012255144
Avolta AG,Consumer Discretionary,AVOL.SW,EQ,CH0023405456
Aryzta AG,Consumer Discretionary,ARYN.SW,EQ,CH1425684714
TX Group AG,Consumer Discretionary,TXGN.SW,EQ,CH0011178255
TX Group AG TEMP,Consumer Discretionary,TXGNE.SW,EQ,CH1469859271
Forbo Holding AG,Consumer Discretionary,FORN.SW,EQ,CH0003541510
Mobilezone Holding AG,Consumer Discretionary,MOZN.SW,EQ,CH0276837694
Orell Fussli AG,Consumer Discretionary,OFN.SW,EQ,CH0003420806
V-ZUG Holding Ltd,Consumer Discretionary,VZUG.SW,EQ,CH0542483745
Bergbahnen Engelberg-Trubsee-Titlis AG,Consumer Discretionary,TIBN.SW,EQ,CH0527044959
Highlight Event & Entertainment AG,Consumer Discretionary,HLEE.SW,EQ,CH0003583256
Villars Holding SA,Consumer Discretionary,VILN.SW,EQ,CH0002609656
Kursaal Bern AG,Consumer Discretionary,KSBE.SW,EQ,CH0001613295
ASMALLWORLD AG,Consumer Discretionary,ASWN.SW,EQ,CH0404880129
