Company Name,Industry,Symbol,Series,ISIN Code
UBS Group AG TEMP,Financials,UBSGE.SW,EQ,CH1523282379
UBS Group,Financials,UBSG.SW,EQ,CH0244767585
Chubb Limited,Financials,AEX.SW,EQ,CH0044328745
Zurich Insurance Group,Financials,ZURN.SW,EQ,CH0011075394
Swiss Re,Financials,SREN.SW,EQ,CH0126881561
Swiss Re AG TEMP,Financials,SRENE.SW,EQ,CH0286491805
Swiss Life Holding,Financials,SLHN.SW,EQ,CH0014852781
Helvetia Baloise Holding AG,Financials,HBAN.SW,EQ,CH0466642201
Partners Group,Financials,PGHN.SW,EQ,CH0024608827
Julius Baer Group Ltd,Financials,BAER.SW,EQ,CH0102484968
Banque Cantonale Vaudoise,Financials,BCVN.SW,EQ,CH0531751755
Swissquote Group Holding Ltd.,Financials,SQN.SW,EQ,CH1548235246
VZ Holding,Financials,VZN.SW,EQ,CH0528751586
Luzerner Kantonalbank AG,Financials,LUKN.SW,EQ,CH1252930610
EFG International,Financials,EFGN.SW,EQ,CH0022268228
Vontobel Holding,Financials,VONN.SW,EQ,CH0012335540
St.Galler Kantonalbank AG,Financials,SGKN.SW,EQ,CH0011484067
Berner Kantonalbank AG,Financials,BEKN.SW,EQ,CH0009691608
Zuger Kantonalbank AG,Financials,ZUGER.SW,EQ,CH0493891243
Cembra Money Bank,Financials,CMBN.SW,EQ,CH0225173167
Valiant Holding AG,Financials,VATN.SW,EQ,CH0014786500
Valiant Holding AG TEMP,Financials,VATNE.SW,EQ,CH1549892193
Walliser Kantonalbank,Financials,WKBN.SW,EQ,CH0305951201
Banque Cantonale de Geneve SA,Financials,BCGE.SW,EQ,CH1485899350
BB Biotech AG,Financials,BION.SW,EQ,CH0038389992
Compagnie Financiere Tradition SA,Financials,CFT.SW,EQ,CH0014345117
Compagnie Financiere Tradition SA TEMP,Financials,CFTE.SW,EQ,CH1270609584
Vaudoise Assurances Holding SA,Financials,VAHN.SW,EQ,CH0021545667
Investis Holding SA,Financials,IREN.SW,EQ,CH0325094297
Intershop Holding AG,Financials,ISN.SW,EQ,CH1338987303
Graubuendner Kantonalbank,Financials,GRKP.SW,EQ,CH0001340204
