Company Name,Industry,Symbol,Series,ISIN Code
Roche Holding Ltd,Health Care,RO.SW,EQ,CH0012032113
Roche Holding Ltd,Health Care,ROP.SW,EQ,CH1499059983
Novartis AG,Health Care,NOVN.SW,EQ,CH0012005267
Galderma Group AG,Health Care,GALD.SW,EQ,CH1335392721
Lonza Group AG,Health Care,LONN.SW,EQ,CH0013841017
Sandoz Group Ltd,Health Care,SDZ.SW,EQ,CH1243598427
Alcon AG,Health Care,ALC.SW,EQ,CH0432492467
Straumann Holding AG,Health Care,STMN.SW,EQ,CH1175448666
Sonova Holding AG,Health Care,SOON.SW,EQ,CH0012549785
Bachem Holding AG Class B,Health Care,BANB.SW,EQ,CH1176493729
Ypsomed Holding AG,Health Care,YPSN.SW,EQ,CH0019396990
Siegfried Holding AG,Health Care,SFZN.SW,EQ,CH1429326825
Medacta Group SA,Health Care,MOVE.SW,EQ,CH0468525222
COMET Holding AG,Health Care,COTN.SW,EQ,CH0360826991
Tecan Group AG,Health Care,TECN.SW,EQ,CH0012100191
PolyPeptide Group AG,Health Care,PPGN.SW,EQ,CH1110760852
SKAN Group AG,Health Care,SKAN.SW,EQ,CH0013396012
AEVIS VICTORIA SA,Health Care,AEVS.SW,EQ,CH0478634105
Idorsia Ltd.,Health Care,IDIA.SW,EQ,CH0363463438
Medartis Holding AG,Health Care,MED.SW,EQ,CH0386200239
Kuros Biosciences Ltd.,Health Care,KURN.SW,EQ,CH0325814116
Basilea Pharmaceutica AG,Health Care,BSLN.SW,EQ,CH0011432447
medmix AG,Health Care,MEDX.SW,EQ,CH1129677105
Metall Zug AG Class B,Health Care,METN.SW,EQ,CH0039821084
IVF HARTMANN Holding AG,Health Care,VBSN.SW,EQ,CH0187624256
COLTENE Holding AG,Health Care,CLTN.SW,EQ,CH0025343259
Santhera Pharmaceuticals Holding AG,Health Care,SANN.SW,EQ,CH1276028821
BioVersys AG,Health Care,BIOV.SW,EQ,CH0210362643
Molecular Partners AG,Health Care,MOLN.SW,EQ,CH0256379097
Curatis Holding AG,Health Care,CURN.SW,EQ,CH1330780979
MindMaze Therapeutics Holding SA,Health Care,MMTX.SW,EQ,CH1251125998
Addex Therapeutics Ltd,Health Care,ADXN.SW,EQ,CH0029850754
