Company Name,Industry,Symbol,Series,ISIN Code
Holcim Group,Materials,HOLN.SW,EQ,CH0012214059
Givaudan SA,Materials,GIVN.SW,EQ,CH0010645932
Sika AG,Materials,SIKA.SW,EQ,CH0418792922
Amrize Ltd TEMP,Materials,AMRZE.SW,EQ,CH1560267291
Amrize Ltd,Materials,AMRZ.SW,EQ,CH1430134226
EMS-Chemie Holding AG,Materials,EMSN.SW,EQ,CH0016440353
SIG Group AG,Materials,SIGN.SW,EQ,CH0435377954
Dottikon ES Holding AG,Materials,DESN.SW,EQ,CH0582581713
Clariant AG,Materials,CLN.SW,EQ,CH0012142631
Vetropack Holding AG Class A,Materials,VETN.SW,EQ,CH0530235594
CPH Group AG Class A,Materials,CPHN.SW,EQ,CH0001624714
Gurit Holding AG,Materials,GURN.SW,EQ,CH1173567111
Groupe Minoteries SA,Materials,GMI.SW,EQ,CH0012949464
