Company Name,Industry,Symbol,Series,ISIN Code
Super Micro Computer Inc.,Technology,SMCI.SW,EQ,CH0000629821
Logitech International S.A.,Technology,LOGN.SW,EQ,CH0025751329
Huber + Suhner AG,Technology,HUBN.SW,EQ,CH0030380734
Temenos AG,Technology,TEMN.SW,EQ,CH0012453913
INFICON Holding AG,Technology,IFCN.SW,EQ,CH1431598916
SMG Swiss Marketplace Group Holding AG,Technology,SMG.SW,EQ,CH1484953687
dormakaba Holding AG,Technology,DOKA.SW,EQ,CH1486524122
Kardex Holding AG,Technology,KARN.SW,EQ,CH0100837282
Montana Aerospace AG,Technology,AERO.SW,EQ,CH1110425654
Sensirion Holding AG,Technology,SENS.SW,EQ,CH0406705126
Cicor Technologies,Technology,CICN.SW,EQ,CH0008702190
LEM Holding SA,Technology,LEHN.SW,EQ,CH0022427626
Elma Electronic AG,Technology,ELMN.SW,EQ,CH0005319162
Ascom Holding AG,Technology,ASCN.SW,EQ,CH0011339204
Carlo Gavazzi Holding AG,Technology,GAV.SW,EQ,CH1278877563
Youngtimers AG,Technology,YTME.SW,EQ,CH0006326851
WISeKey International Holding Ltd. Class B,Technology,WIHN.SW,EQ,CH1276062754
Kudelski SA,Technology,KUD.SW,EQ,CH0012268360
