Company Name,Industry,Symbol,Series,ISIN Code
Industrial and Commercial Bank of China,Financials,601398.SS,EQ,CNE000001P37
Agricultural Bank of China,Financials,601288.SS,EQ,CNE100000RJ0
China Construction Bank,Financials,601939.SS,EQ,CNE100000742
CATL,Technology,300750.SZ,EQ,CNE100003662
PetroChina,Energy,601857.SS,EQ,CNE1000007Q1
Bank of China,Financials,601988.SS,EQ,CNE000001N05
Kweichow Moutai,Consumer Staples,600519.SS,EQ,CNE0000018R8
China Mobile,Communication Services,600941.SS,EQ,CNE1000055G1
Foxconn Industrial Internet,Technology,601138.SS,EQ,CNE1000031P3
Zhongji Innolight Co.  Ltd.,Technology,300308.SZ,EQ,CNE100001CY9
CNOOC,Energy,600938.SS,EQ,CNE100005980
China Merchants Bank,Financials,600036.SS,EQ,CNE000001B33
China Shenhua Energy,Energy,601088.SS,EQ,CNE100000767
Ping An Insurance,Financials,601318.SS,EQ,CNE000001R84
China Life Insurance,Financials,601628.SS,EQ,CNE000001Q93
Cambricon Technologies,Technology,688256.SS,EQ,CNE1000041R8
Zijin Mining Group,Materials,601899.SS,EQ,CNE100000B24
BYD Company,Consumer Discretionary,002594.SZ,EQ,CNE100001526
Eoptolink Technology Inc.  Ltd.,Technology,300502.SZ,EQ,CNE100002615
China Yangtze Power,Utilities,600900.SS,EQ,CNE000001G87
Hygon Information Technology,Technology,688041.SS,EQ,CNE100005PT2
Bank of Communications,Financials,601328.SS,EQ,CNE1000000S2
Semiconductor Manufacturing International Corporation,Technology,688981.SS,EQ,CNE1000041W8
Midea Group,Consumer Discretionary,000333.SZ,EQ,CNE100001QQ5
Sinopec,Energy,600028.SS,EQ,CNE0000018G1
China Telecom,Communication Services,601728.SS,EQ,CNE100004QG0
NAURA Technology,Technology,002371.SZ,EQ,CNE100000ML7
Luxshare Precision Industry,Technology,002475.SZ,EQ,CNE100000TP3
Postal Savings Bank of China,Financials,601658.SS,EQ,CNE100003PZ4
China CITIC Bank Corporation Limited,Financials,601998.SS,EQ,CNE1000000R4
China Molybdenum,Materials,603993.SS,EQ,CNE100001NR0
Suzhou Dongshan Precision Manufacturing Co.  Ltd.,Technology,002384.SZ,EQ,CNE100000N79
Industrial Bank,Financials,601166.SS,EQ,CNE000001QZ7
CITIC Securities,Financials,600030.SS,EQ,CNE000001DB6
Shengyi Technology Co. Ltd.,Technology,600183.SS,EQ,CNE000000XL5
GigaDevice Semiconductor Inc.,Technology,603986.SS,EQ,CNE1000030S9
Shanghai Pudong Development Bank Co.  Ltd.,Financials,600000.SS,EQ,CNE0000011B7
Victory Giant Technology (HuiZhou) Co. Ltd,Technology,300476.SZ,EQ,CNE1000020V4
Hengrui Medicine,Health Care,600276.SS,EQ,CNE0000014W7
Wuliangye Yibin,Consumer Staples,000858.SZ,EQ,CNE000000VQ8
Suzhou TFC Optical Communication Co.  Ltd.,Technology,300394.SZ,EQ,CNE100001XQ1
Sungrow Power Supply,Energy,300274.SZ,EQ,CNE1000018M7
HGTECH Company Limited,Industrials,000988.SZ,EQ,CNE000001303
China Pacific Insurance,Financials,601601.SS,EQ,CNE1000008M8
Wuxi AppTec,Health Care,603259.SS,EQ,CNE1000031K4
Guotai Haitong Securities Co.  Ltd.,Financials,601211.SS,EQ,CNE1000022F3
Shenzhen Longsys Electronics Co.  Ltd.,Technology,301308.SZ,EQ,CNE100005K10
The People's Insurance Company (Group) of China Limited,Financials,601319.SS,EQ,CNE100003F27
East Money Information,Financials,300059.SZ,EQ,CNE100000MD4
Hikvision,Technology,002415.SZ,EQ,CNE100000PM8
China CSSC Holdings Limited,Industrials,600150.SS,EQ,CNE000000W05
Shaanxi Coal Industry,Energy,601225.SS,EQ,CNE100001T64
Yangtze Optical Fibre And Cable Joint Stock Limited Company,Technology,601869.SS,EQ,CNE1000036B2
Shennan Circuits Co.  Ltd.,Technology,002916.SZ,EQ,CNE100003373
Montage Technology Co.  Ltd.,Technology,688008.SS,EQ,CNE100003MN7
Hua Hong Grace Semiconductor Limited,Technology,688347.SS,EQ,CNE100006M90
Weichai Power,Industrials,000338.SZ,EQ,CNE1000000D4
Beijing-Shanghai High-Speed Railway Co.  Ltd.,Industrials,601816.SS,EQ,CNE100003RV9
Huadian New Energy Group Corporation Limited,Utilities,600930.SS,EQ,CNE1000074V1
Wus Printed Circuit (Kunshan) Co.  Ltd.,Technology,002463.SZ,EQ,CNE100000SP5
Chaozhou Three-Circle (Group) Co. Ltd.,Technology,300408.SZ,EQ,CNE100001Y42
