Company Name,Industry,Symbol,Series,ISIN Code
Kweichow Moutai,Consumer Staples,600519.SS,EQ,
Wuliangye Yibin,Consumer Staples,000858.SZ,EQ,
Luzhou Laojiao,Consumer Staples,000568.SZ,EQ,
Jiangsu Yanghe Brewery,Consumer Staples,002304.SZ,EQ,
Ping An Insurance,Financials,601318.SS,EQ,
China Life Insurance,Financials,601628.SS,EQ,
CITIC Securities,Financials,600030.SS,EQ,
Industrial Bank,Financials,601166.SS,EQ,
China Merchants Bank,Financials,600036.SS,EQ,
Agricultural Bank of China,Financials,601288.SS,EQ,
Bank of China,Financials,601988.SS,EQ,
Industrial and Commercial Bank of China,Financials,601398.SS,EQ,
China Construction Bank,Financials,601939.SS,EQ,
CATL,Technology,300750.SZ,EQ,
BYD Company,ConsumerDisc,002594.SZ,EQ,
Luxshare Precision Industry,Technology,002475.SZ,EQ,
Sunny Optical Technology,Technology,002382.SZ,EQ,
LONGi Green Energy,Energy,601012.SS,EQ,
Sungrow Power Supply,Energy,300274.SZ,EQ,
China Yangtze Power,Utilities,600900.SS,EQ,
Huaneng Power International,Utilities,600011.SS,EQ,
Midea Group,ConsumerDisc,000333.SZ,EQ,
Gree Electric,ConsumerDisc,000651.SZ,EQ,
Haier Smart Home,ConsumerDisc,600690.SS,EQ,
SAIC Motor,ConsumerDisc,600104.SS,EQ,
Great Wall Motor,ConsumerDisc,601633.SS,EQ,
CNOOC,Energy,600938.SS,EQ,
PetroChina,Energy,601857.SS,EQ,
Sinopec,Energy,600028.SS,EQ,
China Shenhua Energy,Energy,601088.SS,EQ,
Hengli Petrochemical,Materials,600346.SS,EQ,
Ganfeng Lithium,Materials,002460.SZ,EQ,
China Molybdenum,Materials,603993.SS,EQ,
Zijin Mining Group,Materials,601899.SS,EQ,
Baowu Steel,Materials,600019.SS,EQ,
Jiangxi Copper,Materials,600362.SS,EQ,
Wanhua Chemical Group,Materials,600309.SS,EQ,
Hengrui Medicine,Healthcare,600276.SS,EQ,
Zhangjiang Hi-Tech,Healthcare,600895.SS,EQ,
CSPC Pharmaceutical,Healthcare,600673.SS,EQ,
Aier Eye Hospital,Healthcare,300015.SZ,EQ,
Shenzhen Mindray,Healthcare,300760.SZ,EQ,
China Railway Group,Industrials,601390.SS,EQ,
CRRC Corporation,Industrials,601766.SS,EQ,
Zhejiang Supcon Tech,Industrials,603998.SS,EQ,
China COSCO Shipping,Industrials,601919.SS,EQ,
China Eastern Airlines,Industrials,600115.SS,EQ,
Baidu,Technology,9888.HK,EQ,
Alibaba Group,Technology,9988.HK,EQ,
Tencent Holdings,Technology,0700.HK,EQ,
East Money Information,Financials,300059.SZ,EQ,
China Pacific Insurance,Financials,601601.SS,EQ,
Postal Savings Bank of China,Financials,601658.SS,EQ,
Bank of Communications,Financials,601328.SS,EQ,
China Minsheng Bank,Financials,600016.SS,EQ,
Foxconn Industrial Internet,Technology,601138.SS,EQ,
Will Semiconductor,Technology,603501.SS,EQ,
NAURA Technology,Technology,002371.SZ,EQ,
Cambricon Technologies,Technology,688256.SS,EQ,
Hygon Information Technology,Technology,688041.SS,EQ,
Hikvision,Technology,002415.SZ,EQ,
Foshan Haitian Flavouring,Consumer Staples,603288.SS,EQ,
Inner Mongolia Yili,Consumer Staples,600887.SS,EQ,
Shanxi Xinghuacun Fen Wine,Consumer Staples,600809.SS,EQ,
Muyuan Foods,Consumer Staples,002714.SZ,EQ,
Wens Foodstuff Group,Consumer Staples,300498.SZ,EQ,
Tsingtao Brewery,Consumer Staples,600600.SS,EQ,
Li Auto,ConsumerDisc,2015.HK,EQ,
Seres Group,ConsumerDisc,601127.SS,EQ,
China Tourism Group Duty Free,ConsumerDisc,601888.SS,EQ,
Wuxi AppTec,Healthcare,603259.SS,EQ,
WuXi Biologics,Healthcare,2269.HK,EQ,
Yunnan Baiyao,Healthcare,000538.SZ,EQ,
Tongwei,Energy,600438.SS,EQ,
JA Solar Technology,Energy,002459.SZ,EQ,
TCL Zhonghuan Renewable,Energy,002129.SZ,EQ,
Yanzhou Coal Mining,Energy,600188.SS,EQ,
Shaanxi Coal Industry,Energy,601225.SS,EQ,
China State Construction,Industrials,601668.SS,EQ,
China Railway Construction,Industrials,601186.SS,EQ,
Sany Heavy Industry,Industrials,600031.SS,EQ,
Weichai Power,Industrials,000338.SZ,EQ,
SF Holding,Industrials,002352.SZ,EQ,
Conch Cement,Materials,600585.SS,EQ,
Northern Rare Earth,Materials,600111.SS,EQ,
Aluminum Corp of China,Materials,601600.SS,EQ,
China Vanke,RealEstate,000002.SZ,EQ,
Poly Developments,RealEstate,600048.SS,EQ,
Gemdale Corporation,RealEstate,600383.SS,EQ,
China Mobile,CommServices,600941.SS,EQ,
China Telecom,CommServices,601728.SS,EQ,
China United Network,CommServices,600050.SS,EQ,
