Company Name,Industry,Symbol,Series,ISIN Code
China Mobile,Communication Services,600941.SS,EQ,CNE1000055G1
China Telecom,Communication Services,601728.SS,EQ,CNE100004QG0
China Satellite Communications Co.  Ltd.,Communication Services,601698.SS,EQ,CNE100003PX9
China United Network,Communication Services,600050.SS,EQ,CNE000001CS2
Zhejiang Century Huatong Group Co. Ltd,Communication Services,002602.SZ,EQ,CNE1000015R2
Focus Media Information Technology Co.  Ltd.,Communication Services,002027.SZ,EQ,CNE000001KK2
BlueFocus Intelligent Communications Group Co.  Ltd.,Communication Services,300058.SZ,EQ,CNE100000LV8
Kunlun Tech Co.  Ltd.,Communication Services,300418.SZ,EQ,CNE100001YF2
Giant Network Group Co.  Ltd.,Communication Services,002558.SZ,EQ,CNE1000010R3
37 Interactive Entertainment Network Technology Group Co.  Ltd.,Communication Services,002555.SZ,EQ,CNE1000010N2
Leo Group Co.  Ltd.,Communication Services,002131.SZ,EQ,CNE1000000F9
Beijing Enlight Media Co.  Ltd,Communication Services,300251.SZ,EQ,CNE100001617
Kingnet Network Co.  Ltd.,Communication Services,002517.SZ,EQ,CNE100000XB5
Oriental Pearl Group Co. Ltd.,Communication Services,600637.SS,EQ,CNE0000004Z1
China Film Co.  Ltd.,Communication Services,600977.SS,EQ,CNE100002GX0
Perfect World Co.  Ltd.,Communication Services,002624.SZ,EQ,CNE1000018W6
G-bits Network Technology (Xiamen) Co.  Ltd.,Communication Services,603444.SS,EQ,CNE100002GK7
Jiangsu Phoenix Publishing & Media Corporation Limited,Communication Services,601928.SS,EQ,CNE1000019Q6
Easy Click Worldwide Network Technology Co.  Ltd.,Communication Services,301171.SZ,EQ,CNE100005JQ1
China South Publishing & Media Group Co.  Ltd,Communication Services,601098.SS,EQ,CNE100000W03
People.cn CO.  LTD,Communication Services,603000.SS,EQ,CNE100001FP0
Ruyi Film Entertainment Company Limited,Communication Services,002739.SZ,EQ,CNE100001WW1
Zhejiang Publishing & Media Co.  Ltd.,Communication Services,601921.SS,EQ,CNE100004P08
China Science Publishing & Media Ltd.,Communication Services,601858.SS,EQ,CNE100002R99
Runjian Co.  Ltd.,Communication Services,002929.SZ,EQ,CNE1000033M6
COL Group Co. Ltd.,Communication Services,300364.SZ,EQ,CNE100001XD9
Jiangsu Broadcasting Cable Information Network Corporation Limited,Communication Services,600959.SS,EQ,CNE1000022G1
Guangdong Guangzhou Daily Media Co.  Ltd.,Communication Services,002181.SZ,EQ,CNE000001931
Shandong Publishing&Media Co. Ltd,Communication Services,601019.SS,EQ,CNE100002TG8
Beijing Ultrapower Software Co.  Ltd.,Communication Services,300002.SZ,EQ,CNE100000H51
Xinhua Winshare Publishing and Media Co.  Ltd.,Communication Services,601811.SS,EQ,CNE100002BC5
Zhejiang Daily Digital Culture Group Co. Ltd,Communication Services,600633.SS,EQ,CNE0000007X9
Zhejiang Huace Film & TV Co.  Ltd.,Communication Services,300133.SZ,EQ,CNE100000VX3
Wuxi Online Offline Communication Information Technology Co.  Ltd.,Communication Services,300959.SZ,EQ,CNE100004G41
Hangzhou Shunwang Technology Co Ltd,Communication Services,300113.SZ,EQ,CNE100000SZ4
Guangdong South New Media Co.  Ltd. Class A,Communication Services,300770.SZ,EQ,CNE100003KB6
Net263 Ltd. Class A,Communication Services,002467.SZ,EQ,CNE100000T81
Guomai Technologies  Inc. Class A,Communication Services,002093.SZ,EQ,CNE000001PR6
Hicon Network Technology (Shandong) Co.  Ltd. Class A,Communication Services,301262.SZ,EQ,CNE1000064B4
Guangzhou Frontop Digital Creative Technology Co.  Ltd. Class A,Communication Services,301313.SZ,EQ,CNE100005L68
NOVA Technology Corp.  Ltd. Class A,Communication Services,300921.SZ,EQ,CNE1000049Y7
Eastone Century Technology Co.  Ltd. Class A,Communication Services,300310.SZ,EQ,CNE100001D47
Juneyao Grand Healthy Drinks Co.  Ltd. Class A,Communication Services,605388.SS,EQ,CNE1000043W4
Beijing Waluer Information Technology Co.  Ltd. Class A,Communication Services,301380.SZ,EQ,CNE1000065S5
Shunya International Martech (Beijing) Co.  Ltd. Class A,Communication Services,300612.SZ,EQ,CNE100002PR3
Shenzhen Friendcom Technology Co.  Ltd. Class A,Communication Services,300514.SZ,EQ,CNE100002MW0
