Company Name,Industry,Symbol,Series,ISIN Code
Midea Group Co. Ltd. Class A,Consumer Discretionary,000333.SZ,EQ,CNE100001QQ5
Lens Technology Co. Ltd. Class A,Consumer Discretionary,300433.SZ,EQ,CNE100001YW7
Haier Smart Home Co. Ltd. Class A,Consumer Discretionary,600690.SS,EQ,CNE000000CG9
Guangdong Songfa Ceramics Co. Ltd. Class A,Consumer Discretionary,603268.SS,EQ,CNE100001W02
Fuyao Glass Industry Group Co. Ltd. Class A,Consumer Discretionary,600660.SS,EQ,CNE000000230
SAIC Motor Corporation Limited Class A,Consumer Discretionary,600104.SS,EQ,CNE000000TY6
Seres Group Co. Ltd. Class A,Consumer Discretionary,601127.SS,EQ,CNE1000028B9
Great Wall Motor Co. Ltd. Class A,Consumer Discretionary,601633.SS,EQ,CNE1000018V8
China Tourism Group Duty Free Corporation Limited Class A,Consumer Discretionary,601888.SS,EQ,CNE100000G29
Chongqing Polycomp International Corporation Class A,Consumer Discretionary,301526.SZ,EQ,CNE100006CP6
Chongqing Changan Automobile Company Limited Class A,Consumer Discretionary,000625.SZ,EQ,CNE000000R36
Chongqing Changan Automobile Company Limited Class B,Consumer Discretionary,200625.SZ,EQ,CNE000000N14
Yutong Bus Co. Ltd. Class A,Consumer Discretionary,600066.SS,EQ,CNE000000PY4
Arashi Vision Inc. Class A,Consumer Discretionary,688775.SS,EQ,CNE1000070C9
Shenzhen MTC Co. Ltd. Class A,Consumer Discretionary,002429.SZ,EQ,CNE100000Q50
Guangzhou Automobile Group Co. Ltd. Class A,Consumer Discretionary,601238.SS,EQ,CNE100001NQ2
Chongqing Afari Technology Co. Ltd. Class A,Consumer Discretionary,601777.SS,EQ,CNE100000X10
Zhongce Rubber Group Co. Ltd. A,Consumer Discretionary,603049.SS,EQ,CNE1000070B1
Sailun Group Co. Ltd. Class A,Consumer Discretionary,601058.SS,EQ,CNE1000015F7
Hangzhou GreatStar Industrial Co. Ltd. Class A,Consumer Discretionary,002444.SZ,EQ,CNE100000RC5
BAIC BluePark New Energy Technology Co. Ltd. Class A,Consumer Discretionary,600733.SS,EQ,CNE000000LP1
Beijing Enlight Media Co. Ltd. Class A,Consumer Discretionary,300251.SZ,EQ,CNE100001617
Zhejiang Supor Co. Ltd. Class A,Consumer Discretionary,002032.SZ,EQ,CNE000001KS5
Hisense Home Appliances Group Co. Ltd. Class A,Consumer Discretionary,000921.SZ,EQ,CNE000000LC9
Zhejiang CFMoto Power Co. Ltd. Class A,Consumer Discretionary,603129.SS,EQ,CNE100002W84
Ecovacs Robotics Co. Ltd. Class A,Consumer Discretionary,603486.SS,EQ,CNE1000031N8
Hisense Visual Technology Co. Ltd. Class A,Consumer Discretionary,600060.SS,EQ,CNE000000PF3
Ferrotec (An Hui) Technology Development Co. Ltd. Class A,Consumer Discretionary,301297.SZ,EQ,CNE100005WY8
Oriental Pearl Group Co. Ltd. Class A,Consumer Discretionary,600637.SS,EQ,CNE0000004Z1
Yonghui Superstores Co. Ltd. Class A,Consumer Discretionary,601933.SS,EQ,CNE100000XX9
FAW Jiefang Group Co. Ltd Class A,Consumer Discretionary,000800.SZ,EQ,CNE000000R85
WG Tech (JiangXi) Group Co. LTD. Class A,Consumer Discretionary,603773.SS,EQ,CNE100003FJ9
CCOOP Group Co. Ltd. Class A,Consumer Discretionary,000564.SZ,EQ,CNE0000003W0
Beijing Roborock Technology Co. Ltd. Class A,Consumer Discretionary,688169.SS,EQ,CNE100003R80
China Film Group Co. Ltd. Class A,Consumer Discretionary,600977.SS,EQ,CNE100002GX0
Sinotruk Jinan Truck Co. Ltd. Class A,Consumer Discretionary,000951.SZ,EQ,CNE0000010Y1
Loncin Motor Co. Ltd. Class A,Consumer Discretionary,603766.SS,EQ,CNE100001JP2
Yifeng Pharmacy Chain Co Ltd Class A,Consumer Discretionary,603939.SS,EQ,CNE100001TS5
Beiqi Foton Motor Co. Ltd. Class A,Consumer Discretionary,600166.SS,EQ,CNE000000WC6
Xingyun Technology Co. Ltd. Class A,Consumer Discretionary,300209.SZ,EQ,CNE1000012D9
Jiangsu Phoenix Publishing & Media Corp. Ltd. Class A,Consumer Discretionary,601928.SS,EQ,CNE1000019Q6
Zhejiang Taotao Vehicles Co. Ltd. Class A,Consumer Discretionary,301345.SZ,EQ,CNE100005ZC7
Jason Furniture (Hangzhou) Co. Ltd. Class A,Consumer Discretionary,603816.SS,EQ,CNE100002GF7
Oppein Home Group Inc. Class A,Consumer Discretionary,603833.SS,EQ,CNE100002RB3
Anhui Anfu Battery Technology Co. Ltd. Class A,Consumer Discretionary,603031.SS,EQ,CNE1000030R1
Zhuzhou Kibing Group Co. Ltd. Class A,Consumer Discretionary,601636.SS,EQ,CNE100001666
China South Publishing & Media Group Co. Ltd Class A,Consumer Discretionary,601098.SS,EQ,CNE100000W03
Shanghai Jin Jiang International Hotels Co. Ltd. Class A,Consumer Discretionary,600754.SS,EQ,CNE000000MK0
Shanghai Jin Jiang International Hotels Co. Ltd. Class B,Consumer Discretionary,900934.SS,EQ,CNE000000HM6
Ruyi Film Entertainment Company Limited Class A,Consumer Discretionary,002739.SZ,EQ,CNE100001WW1
Xuzhou Handler Special Vehicle Co. Ltd. Class A,Consumer Discretionary,300201.SZ,EQ,CNE1000011W1
Chengdu Hi-Tech Development Group Co. Ltd. Class A,Consumer Discretionary,000628.SZ,EQ,CNE0000005X3
Aima Technology Group Co. Ltd. Class A,Consumer Discretionary,603529.SS,EQ,CNE1000051B1
Higold Group Co. Ltd. Class A,Consumer Discretionary,001221.SZ,EQ,CNE100007325
DaShenLin Pharmaceutical Group Co. Ltd. Class A,Consumer Discretionary,603233.SS,EQ,CNE100002RG2
China Science Publishing & Media Ltd. Class A,Consumer Discretionary,601858.SS,EQ,CNE100002R99
Shanghai Yuyuan Tourist Mart Group Co. Ltd. Class A,Consumer Discretionary,600655.SS,EQ,CNE000000594
Shandong Linglong Tyre Co. Ltd. Class A,Consumer Discretionary,601966.SS,EQ,CNE100002GM3
Jiangsu Broadcasting Cable Information Network Corp Ltd Class A,Consumer Discretionary,600959.SS,EQ,CNE1000022G1
Beijing United Information Technology Co. Ltd. Class A,Consumer Discretionary,603613.SS,EQ,CNE100003M28
Beijing Jetsen Technology Co. Ltd. Class A,Consumer Discretionary,300182.SZ,EQ,CNE1000010B7
Zhejiang Publishing & Media Co. Ltd. Class A,Consumer Discretionary,601921.SS,EQ,CNE100004P08
A-Zenith Home Furnishings Co. Ltd. Class A,Consumer Discretionary,603389.SS,EQ,CNE100002ZT8
Songcheng Performance Development Co. Ltd. Class A,Consumer Discretionary,300144.SZ,EQ,CNE100000XG4
Hangzhou Robam Appliances Co. Ltd. Class A,Consumer Discretionary,002508.SZ,EQ,CNE100000WY9
