Company Name,Industry,Symbol,Series,ISIN Code
Kweichow Moutai Co. Ltd. Class A,Consumer Staples,600519.SS,EQ,CNE0000018R8
Wuliangye Yibin Co. Ltd. Class A,Consumer Staples,000858.SZ,EQ,CNE000000VQ8
Foshan Haitian Flavouring and Food Company Ltd. Class A,Consumer Staples,603288.SS,EQ,CNE100001SL2
Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,Consumer Staples,600809.SS,EQ,CNE000000DH5
Yihai Kerry Arawana Holdings Co. Ltd. Class A,Consumer Staples,300999.SZ,EQ,CNE1000048D3
Luzhou Laojiao Company Limited Class A,Consumer Staples,000568.SZ,EQ,CNE000000GF2
Eastroc Beverage (Group) Co. Ltd. Class A,Consumer Staples,605499.SS,EQ,CNE100005576
Henan Shuanghui Investment & Development Co. Ltd. Class A,Consumer Staples,000895.SZ,EQ,CNE000000XM3
Tsingtao Brewery Co. Ltd. Class A,Consumer Staples,600600.SS,EQ,CNE0000009Y3
Jiangsu Yanghe Distillery Co. Ltd. Class A,Consumer Staples,002304.SZ,EQ,CNE100000HB8
Hebei Yangyuan Zhihui Beverage Co. Ltd. Class A,Consumer Staples,603156.SS,EQ,CNE100002ST3
Jinan Shengquan Group Share Holding Co. Ltd. Class A,Consumer Staples,605589.SS,EQ,CNE100004NN3
Anhui Gujing Distillery Co. Ltd. Class A,Consumer Staples,000596.SZ,EQ,CNE000000MD5
Anhui Gujing Distillery Co. Ltd. Class B,Consumer Staples,200596.SZ,EQ,CNE000000K82
Huali Industrial Group Co. Ltd. Class A,Consumer Staples,300979.SZ,EQ,CNE100004KP4
Beijing Yanjing Brewery Co. Ltd. Class A,Consumer Staples,000729.SZ,EQ,CNE000000S84
Youngor Fashion Co. Ltd. Class A,Consumer Staples,600177.SS,EQ,CNE000000XR2
Jiangsu King's Luck Brewery Joint-stock Co. Ltd. Class A,Consumer Staples,603369.SS,EQ,CNE100001TH8
CSPC Innovation Pharmaceutical Co. Ltd. Class A,Consumer Staples,300765.SZ,EQ,CNE100003K04
Angel Yeast Co. Ltd. Class A,Consumer Staples,600298.SS,EQ,CNE0000014G0
Anhui Yingjia Distillery Co. Ltd. Class A,Consumer Staples,603198.SS,EQ,CNE1000022H9
HLA Group Corp. Ltd. Class A,Consumer Staples,600398.SS,EQ,CNE0000016H3
Proya Cosmetics Co. Ltd. Class A,Consumer Staples,603605.SS,EQ,CNE100002TP9
Anjoy Foods Group Co. Ltd. Class A,Consumer Staples,603345.SS,EQ,CNE100002YQ7
MeiHua Holdings Group Co Ltd. Class A,Consumer Staples,600873.SS,EQ,CNE000000HP9
Chongqing Brewery Co.Ltd Class A,Consumer Staples,600132.SS,EQ,CNE000000TL3
Guangzhou Zhujiang Brewery Co. Ltd. Class A,Consumer Staples,002461.SZ,EQ,CNE100000SM2
Shanghai M&G Stationery Inc.,Consumer Staples,603899.SS,EQ,CNE100001V60
Lotus Holdings Co. Ltd Class A,Consumer Staples,600186.SS,EQ,CNE000000WY0
Gambol Pet Group Co. Ltd. Class A,Consumer Staples,301498.SZ,EQ,CNE1000066L8
Winner Medical Co. Ltd. Class A,Consumer Staples,300888.SZ,EQ,CNE1000047Z8
Yantai North Andre Juice Co. Ltd. Class A,Consumer Staples,605198.SS,EQ,CNE1000044H3
Sichuan Swellfun Co. Ltd. Class A,Consumer Staples,600779.SS,EQ,CNE000000NH4
Yankershop Food Co. Ltd. Class A,Consumer Staples,002847.SZ,EQ,CNE100002JZ9
Zhejiang Semir Garment Co. Ltd. Class A,Consumer Staples,002563.SZ,EQ,CNE100001104
Yunnan Botanee Bio-Technology Group Co. Ltd. Class A,Consumer Staples,300957.SZ,EQ,CNE100004G74
Sichuan Teway Food Group Co. Ltd. Class A,Consumer Staples,603317.SS,EQ,CNE100003LK5
