Company Name,Industry,Symbol,Series,ISIN Code
PetroChina Co. Ltd. Class A,Energy,601857.SS,EQ,CNE1000007Q1
CNOOC Limited Class A,Energy,600938.SS,EQ,CNE100005980
China Shenhua Energy Co. Ltd. Class A,Energy,601088.SS,EQ,CNE100000767
China Petroleum & Chemical Corporation Class A,Energy,600028.SS,EQ,CNE0000018G1
Shaanxi Coal Industry Co. Ltd. Class A,Energy,601225.SS,EQ,CNE100001T64
Yankuang Energy Group Company Limited Class A,Energy,600188.SS,EQ,CNE000000WV6
China Coal Energy Co. Ltd. Class A,Energy,601898.SS,EQ,CNE100000957
Shanxi Lu'An Environmental Energy Development Co. Ltd. Class A,Energy,601699.SS,EQ,CNE000001NT7
Inner Mongolia Yitai Coal Company Limited Class B,Energy,900948.SS,EQ,CNE000000SK7
Huaibei Mining Holdings Co. Ltd. Class A,Energy,600985.SS,EQ,CNE000001HH4
Shanxi Coking Coal Energy Group Co. Ltd Class A,Energy,000983.SZ,EQ,CNE0000013Y5
Guanghui Energy Co. Ltd. Class A,Energy,600256.SS,EQ,CNE0000012G4
CNOOC Energy Technology & Services Ltd. Class A,Energy,600968.SS,EQ,CNE100003L78
Shandong Xinchao Energy Corp. Ltd. Class A,Energy,600777.SS,EQ,CNE000000NJ0
Jinneng Holding Shanxi Coal Industry Co. Ltd. Class A,Energy,601001.SS,EQ,CNE000001MZ6
Shan Xi Hua Yang Group New Energy Co. Ltd. Class A,Energy,600348.SS,EQ,CNE000001FP1
Sinopec Shanghai Petrochemical Co. Ltd. Class A,Energy,600688.SS,EQ,CNE000000BB2
Jiangsu Xukuang Energy Co. Ltd. Class A,Energy,600925.SS,EQ,CNE100006012
Shanxi Coal International Energy Group Co. Ltd. Class A,Energy,600546.SS,EQ,CNE000001FH8
China Coal Xinji Energy Co Ltd. Class A,Energy,601918.SS,EQ,CNE1000008D7
Jiangxi Jovo Energy Co. Ltd. Class A,Energy,605090.SS,EQ,CNE1000051T3
Pingdingshan Tianan Coal Mining Co. Ltd. Class A,Energy,601666.SS,EQ,CNE000001PH7
Jizhong Energy Resources Co. Ltd. Class A,Energy,000937.SZ,EQ,CNE0000010H6
Beijing Haohua Energy Resource Co. Ltd. Class A,Energy,601101.SS,EQ,CNE100000N12
Henan Dayou Energy Co. Ltd. Class A,Energy,600403.SS,EQ,CNE000001G12
Shanxi Meijin Energy Co. Ltd. Class A,Energy,000723.SZ,EQ,CNE0000005J2
Senton Energy Co. Ltd. Class A,Energy,001331.SZ,EQ,CNE100005JH0
Guizhou Panjiang Refined Coal Co. Ltd. Class A,Energy,600395.SS,EQ,CNE0000017V2
Geo-Jade Petroleum Corporation Class A,Energy,600759.SS,EQ,CNE000000MV7
Zhongman Petroleum and Natural Gas Group Corp. Ltd. Class A,Energy,603619.SS,EQ,CNE100002TK0
Shanxi Lanhua Sci-Tech Venture Co. Ltd. Class A,Energy,600123.SS,EQ,CNE000000XZ5
Shanxi Coking Co. Ltd. Class A,Energy,600740.SS,EQ,CNE000000LD7
Shanghai Datun Energy Resources Co. Ltd. Class A,Energy,600508.SS,EQ,CNE000001915
Anhui Hengyuan Coal Industry and Electricity Power Co. Ltd. Class A,Energy,600971.SS,EQ,CNE000001KT3
Oriental Energy Co. Ltd. Class A,Energy,002221.SZ,EQ,CNE1000009S3
Sino Geophysical Co. Ltd. Class A,Energy,300191.SZ,EQ,CNE100001153
Kailuan Energy Chemical Co. Ltd. Class A,Energy,600997.SS,EQ,CNE000001HX1
Shaanxi Heimao Coking Co. Ltd.,Energy,601015.SS,EQ,CNE100001VV5
North Huajin Chemical Industries Co. Ltd. Class A,Energy,000059.SZ,EQ,CNE000000NY9
Sino Prima Gas Technology Co. Ltd. Class A,Energy,300483.SZ,EQ,CNE1000021G3
Shanxi Blue Flame Holding Company Limited Class A,Energy,000968.SZ,EQ,CNE0000012V3
Zhengzhou Coal Industry & Electric Power Co. Ltd. Class A,Energy,600121.SS,EQ,CNE000000TS8
Liaoning Energy Industry Co. Ltd. Class A,Energy,600758.SS,EQ,CNE000000MW5
Baotailong New Materials Co. Ltd. Class A,Energy,601011.SS,EQ,CNE100001112
Tong Petrotech Corp. Class A,Energy,300164.SZ,EQ,CNE100000Z34
Yunnan Coal & Energy Co. Ltd. Class A,Energy,600792.SS,EQ,CNE000000NZ6
Yunnan Yunwei Co. Ltd. Class A,Energy,600725.SS,EQ,CNE000000KW9
Sundiro Holding Co. Ltd. Class A,Energy,000571.SZ,EQ,CNE000000586
SINOPEC Shandong Taishan Petroleum Co. Ltd. Class A,Energy,000554.SZ,EQ,CNE000000669
Jiangsu Zhongsheng Gaoke Environmental Co. Ltd. Class A,Energy,002778.SZ,EQ,CNE1000024M5
Zhejiang Renzhi Co. Ltd. Class A,Energy,002629.SZ,EQ,CNE1000018S4
Jikai Equipment Manufacturing Co. Ltd. Class A,Energy,002691.SZ,EQ,CNE100001K06
CCS Supply Chain Management Co. Ltd. Class A,Energy,600180.SS,EQ,CNE000000WT0
