Company Name,Industry,Symbol,Series,ISIN Code
Industrial and Commercial Bank of China,Financials,601398.SS,EQ,CNE000001P37
Agricultural Bank of China,Financials,601288.SS,EQ,CNE100000RJ0
China Construction Bank,Financials,601939.SS,EQ,CNE100000742
Bank of China,Financials,601988.SS,EQ,CNE000001N05
China Merchants Bank,Financials,600036.SS,EQ,CNE000001B33
Ping An Insurance,Financials,601318.SS,EQ,CNE000001R84
China Life Insurance,Financials,601628.SS,EQ,CNE000001Q93
Bank of Communications,Financials,601328.SS,EQ,CNE1000000S2
Postal Savings Bank of China,Financials,601658.SS,EQ,CNE100003PZ4
China CITIC Bank Corporation Limited,Financials,601998.SS,EQ,CNE1000000R4
Industrial Bank,Financials,601166.SS,EQ,CNE000001QZ7
CITIC Securities,Financials,600030.SS,EQ,CNE000001DB6
Shanghai Pudong Development Bank Co.  Ltd.,Financials,600000.SS,EQ,CNE0000011B7
China Pacific Insurance,Financials,601601.SS,EQ,CNE1000008M8
Guotai Haitong Securities Co.  Ltd.,Financials,601211.SS,EQ,CNE1000022F3
The People's Insurance Company (Group) of China Limited,Financials,601319.SS,EQ,CNE100003F27
East Money Information,Financials,300059.SZ,EQ,CNE100000MD4
Bank of Jiangsu Co.  Ltd.,Financials,600919.SS,EQ,CNE100002G76
Ping An Bank Co.  Ltd.,Financials,000001.SZ,EQ,CNE000000040
Bank of Ningbo Co.  Ltd.,Financials,002142.SZ,EQ,CNE1000005P7
China Everbright Bank Company Limited,Financials,601818.SS,EQ,CNE100000SL4
CSC Financial Co.  Ltd.,Financials,601066.SS,EQ,CNE1000031T5
New China Life Insurance Company Ltd.,Financials,601336.SS,EQ,CNE1000019Y0
Huatai Securities Co.  Ltd.,Financials,601688.SS,EQ,CNE100000LQ8
Hithink RoyalFlush Information Network Co.  Ltd.,Financials,300033.SZ,EQ,CNE100000JG3
China Minsheng Bank,Financials,600016.SS,EQ,CNE0000015Y0
China Merchants Securities Co.  Ltd.,Financials,600999.SS,EQ,CNE100000HK9
Bank of Nanjing Co.  Ltd.,Financials,601009.SS,EQ,CNE100000627
GF Securities Co.  Ltd.,Financials,000776.SZ,EQ,CNE0000008L2
Bank of Shanghai Co.  Ltd.,Financials,601229.SS,EQ,CNE100002FM5
China International Capital Corporation Limited,Financials,601995.SS,EQ,CNE1000048J0
Bank of Hangzhou Co.  Ltd.,Financials,600926.SS,EQ,CNE100002GQ4
China Galaxy Securities Co.  Ltd.,Financials,601881.SS,EQ,CNE100002FG7
Bank of Beijing Co.  Ltd.,Financials,601169.SS,EQ,CNE100000734
Hua Xia Bank Co.  Limited,Financials,600015.SS,EQ,CNE000001FW7
Shenwan Hongyuan Group Co.  Ltd.,Financials,000166.SZ,EQ,CNE100002FD4
Guosen Securities Co.  Ltd.,Financials,002736.SZ,EQ,CNE100001WS9
CNPC Capital Company Limited,Financials,000617.SZ,EQ,CNE000000MS3
Shanghai Rural Commercial Bank Co.  Ltd.,Financials,601825.SS,EQ,CNE100004QD7
Bank of Chengdu Co.  Ltd.,Financials,601838.SS,EQ,CNE100002SN6
China Zheshang Bank Co.  Ltd,Financials,601916.SS,EQ,CNE100003PS9
Chongqing Rural Commercial Bank Co.  Ltd.,Financials,601077.SS,EQ,CNE100003NZ9
Orient Securities Company Limited,Financials,600958.SS,EQ,CNE100001ZV6
Everbright Securities Company Limited,Financials,601788.SS,EQ,CNE100000FD8
Founder Securities Co.  Ltd.,Financials,601901.SS,EQ,CNE1000015Y8
Industrial Securities Co. Ltd.,Financials,601377.SS,EQ,CNE100000V95
Guolian Minsheng Securities Co.  Ltd.,Financials,601456.SS,EQ,CNE1000041D8
Cinda Securities Co.  Ltd.,Financials,601059.SS,EQ,CNE100005VS2
Changjiang Securities Company Limited,Financials,000783.SZ,EQ,CNE000000SH3
Zheshang Securities Co.  Ltd.,Financials,601878.SS,EQ,CNE100002R65
Zhongtai Securities Co.  Ltd.,Financials,600918.SS,EQ,CNE100004900
SDIC Capital Co. Ltd,Financials,600061.SS,EQ,CNE000000Q11
Dongxing Securities Corporation Limited,Financials,601198.SS,EQ,CNE100002177
Qilu Bank Co.  Ltd.,Financials,601665.SS,EQ,CNE100005154
Bank of Changsha Co.  Ltd.,Financials,601577.SS,EQ,CNE100003F50
Jiangsu Financial Leasing Co.  Ltd.,Financials,600901.SS,EQ,CNE100002SX5
Capital Securities Corporation Limited,Financials,601136.SS,EQ,CNE100005VG7
Soochow Securities Co.  Ltd.,Financials,601555.SS,EQ,CNE1000019P8
