Company Name,Industry,Symbol,Series,ISIN Code
Hengrui Medicine,Health Care,600276.SS,EQ,CNE0000014W7
Wuxi AppTec,Health Care,603259.SS,EQ,CNE1000031K4
BeOne Medicines AG,Health Care,688235.SS,EQ,CNE100005XT6
Shenzhen Mindray,Health Care,300760.SZ,EQ,CNE100003G67
Sichuan Biokin Pharmaceutical Co. Ltd.,Health Care,688506.SS,EQ,CNE100006FN4
Shanghai United Imaging Healthcare Co.  Ltd.,Health Care,688271.SS,EQ,CNE100005PN5
Zhejiang NHU Company Ltd.,Health Care,002001.SZ,EQ,CNE000001J84
CSPC Pharmaceutical,Health Care,600673.SS,EQ,CNE000000BL1
Yunnan Baiyao,Health Care,000538.SZ,EQ,CNE0000008X7
Aier Eye Hospital,Health Care,300015.SZ,EQ,CNE100000GR6
Zhangzhou Pientzehuang Pharmaceutical Co.  Ltd.,Health Care,600436.SS,EQ,CNE000001F21
Sichuan Kelun Pharmaceutical Co.  Ltd.,Health Care,002422.SZ,EQ,CNE100000PW7
Haisco Pharmaceutical Group Co.  Ltd.,Health Care,002653.SZ,EQ,CNE100001BC7
Shanghai Fosun Pharmaceutical (Group) Co.  Ltd.,Health Care,600196.SS,EQ,CNE000000X38
Shanghai Pharmaceuticals Holding Co.  Ltd,Health Care,601607.SS,EQ,CNE000000C82
RemeGen Co.  Ltd.,Health Care,688331.SS,EQ,CNE100005B03
Zhangjiang Hi-Tech,Health Care,600895.SS,EQ,CNE000000JX9
Huadong Medicine Co.  Ltd,Health Care,000963.SZ,EQ,CNE0000011S1
China Resources Sanjiu Medical & Pharmaceutical Co.  Ltd.,Health Care,000999.SZ,EQ,CNE0000011K8
Asymchem Laboratories (Tianjin) Co.  Ltd.,Health Care,002821.SZ,EQ,CNE100002BZ6
Shanghai Allist Pharmaceuticals Co.  Ltd.,Health Care,688578.SS,EQ,CNE100005XJ7
Beijing Wantai Biological Pharmacy Enterprise Co.  Ltd.,Health Care,603392.SS,EQ,CNE100004090
Pharmaron Beijing Co.  Ltd.,Health Care,300759.SZ,EQ,CNE100003JW4
Sunshine Guojian Pharmaceutical (Shanghai) Co.  Ltd,Health Care,688336.SS,EQ,CNE1000062X2
Shenzhen Salubris Pharmaceuticals Co.  Ltd.,Health Care,002294.SZ,EQ,CNE100000FW8
Beijing Tongrentang Co.  Ltd,Health Care,600085.SS,EQ,CNE000000R69
Shenzhen New Industries Biomedical Engineering Co.  Ltd.,Health Care,300832.SZ,EQ,CNE100003T39
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Health Care,600332.SS,EQ,CNE000001733
Gan & Lee Pharmaceuticals.,Health Care,603087.SS,EQ,CNE100003ZH1
iRay Group,Health Care,688301.SS,EQ,CNE1000042V8
Shanghai RAAS Blood Products Co.  Ltd.,Health Care,002252.SZ,EQ,CNE100000C31
Dong-E-E-Jiao Co.  Ltd.,Health Care,000423.SZ,EQ,CNE0000006Y9
Hebei Changshan Biochemical Pharmaceutical Co.  Ltd.,Health Care,300255.SZ,EQ,CNE1000016C2
Hangzhou Tigermed Consulting Co.  Ltd,Health Care,300347.SZ,EQ,CNE100001KV8
Chongqing Zhifei Biological Products Co.  Ltd.,Health Care,300122.SZ,EQ,CNE100000V20
Intco Medical Technology Co.  Ltd.,Health Care,300677.SZ,EQ,CNE100003456
APT Medical Inc.,Health Care,688617.SS,EQ,CNE100004C45
Imeik Technology Development Co. Ltd.,Health Care,300896.SZ,EQ,CNE100004868
Andon Health Co.  Ltd.,Health Care,002432.SZ,EQ,CNE100000Q84
Humanwell Healthcare (Group) Co. Ltd.,Health Care,600079.SS,EQ,CNE000000QW6
Shanghai Junshi Biosciences Co.  Ltd.,Health Care,688180.SS,EQ,CNE1000041Z1
Changchun High-Tech Industry (Group) Co.  Ltd.,Health Care,000661.SZ,EQ,CNE0000007J8
Yifeng Pharmacy Chain Co.  Ltd.,Health Care,603939.SS,EQ,CNE100001TS5
Shijiazhuang Yiling Pharmaceutical Co.  Ltd.,Health Care,002603.SZ,EQ,CNE1000015S0
Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited,Health Care,600329.SS,EQ,CNE000001808
Livzon Pharmaceutical Group Inc.,Health Care,000513.SZ,EQ,CNE0000002Y8
Jiangsu Yuyue Medical Equipment & Supply Co.  Ltd.,Health Care,002223.SZ,EQ,CNE1000009X3
Beijing Tiantan Biological Products Co.  Ltd.,Health Care,600161.SS,EQ,CNE000000WF9
Hubei Jumpcan Pharmaceutical Co.  Ltd.,Health Care,600566.SS,EQ,CNE0000018X6
Suzhou Zelgen Biopharmaceuticals Co.  Ltd.,Health Care,688266.SS,EQ,CNE100003RP1
Hualan Biological Engineering Inc.,Health Care,002007.SZ,EQ,CNE000001JN8
Tonghua Golden-Horse Pharmaceutical Industry Co Ltd,Health Care,000766.SZ,EQ,CNE000000735
Xiamen Amoytop Biotech Co.  Ltd.,Health Care,688278.SS,EQ,CNE100003RT3
Jointown Pharmaceutical Group Co.  Ltd,Health Care,600998.SS,EQ,CNE100000W45
Betta Pharmaceuticals Co.  Ltd.,Health Care,300558.SZ,EQ,CNE100002DD9
Zhende Medical Co.  Ltd.,Health Care,603301.SS,EQ,CNE100003J31
Joinn Laboratories(China)Co. Ltd.,Health Care,603127.SS,EQ,CNE100002W27
MGI Tech Co.  Ltd.,Health Care,688114.SS,EQ,CNE100005PC8
Tasly Pharmaceutical Group Co.  Ltd,Health Care,600535.SS,EQ,CNE000001C81
Lepu Medical Technology (Beijing) Co.  Ltd.,Health Care,300003.SZ,EQ,CNE100000H44
Zhejiang Huahai Pharmaceutical Co.  Ltd.,Health Care,600521.SS,EQ,CNE000001DL5
China National Medicines Corporation Ltd.,Health Care,600511.SS,EQ,CNE000001D56
Jilin Aodong Pharmaceutical Group Co.  Ltd.,Health Care,000623.SZ,EQ,CNE000000719
Jiangsu Hualan New Pharmaceutical Material Co. Ltd.,Health Care,301093.SZ,EQ,CNE100004YH2
Jiangsu Nhwa Pharmaceutical Co.  LTD,Health Care,002262.SZ,EQ,CNE100000CG8
DaShenLin Pharmaceutical Group Co.  Ltd.,Health Care,603233.SS,EQ,CNE100002RG2
Kangmei Pharmaceutical Co.  Ltd.,Health Care,600518.SS,EQ,CNE0000017M1
