Company Name,Industry,Symbol,Series,ISIN Code
HGTECH Company Limited,Industrials,000988.SZ,EQ,CNE000001303
China CSSC Holdings Limited,Industrials,600150.SS,EQ,CNE000000W05
Weichai Power,Industrials,000338.SZ,EQ,CNE1000000D4
Beijing-Shanghai High-Speed Railway Co.  Ltd.,Industrials,601816.SS,EQ,CNE100003RV9
China COSCO Shipping,Industrials,601919.SS,EQ,CNE100000601
China State Construction,Industrials,601668.SS,EQ,CNE100000F46
NARI Technology Co.  Ltd.,Industrials,600406.SS,EQ,CNE000001G38
Shenzhen Inovance Technology Co. Ltd,Industrials,300124.SZ,EQ,CNE100000V46
Zhejiang Sanhua Intelligent Controls Co. Ltd,Industrials,002050.SZ,EQ,CNE000001M22
SF Holding,Industrials,002352.SZ,EQ,CNE100000L63
Jiangsu Zhongtian Technology Co.  Ltd.,Industrials,600522.SS,EQ,CNE000001CW4
CRRC Corporation,Industrials,601766.SS,EQ,CNE100000CP9
Sany Heavy Industry,Industrials,600031.SS,EQ,CNE000001F70
Jiangsu Hengli Hydraulic Co. Ltd,Industrials,601100.SS,EQ,CNE1000019R4
Sieyuan Electric Co.  Ltd.,Industrials,002028.SZ,EQ,CNE000001KM8
Shenzhen Han's CNC Technology Co.  Ltd.,Industrials,301200.SZ,EQ,CNE1000058H3
Ningbo Deye Technology Group Co.  Ltd.,Industrials,605117.SS,EQ,CNE1000052S3
AVIC Shenyang Aircraft Company Limited,Industrials,600760.SS,EQ,CNE000000MH6
Han's Laser Technology Industry Group Co.  Ltd.,Industrials,002008.SZ,EQ,CNE000001JQ1
EVE Energy Co.  Ltd.,Industrials,300014.SZ,EQ,CNE100000GS4
Air China Limited,Industrials,601111.SS,EQ,CNE000001NN0
Shanghai International Port (Group) Co.  Ltd.,Industrials,600018.SS,EQ,CNE0000013N8
TBEA Co.  Ltd.,Industrials,600089.SS,EQ,CNE000000RB8
China Railway Group,Industrials,601390.SS,EQ,CNE100000866
XCMG Construction Machinery Co.  Ltd.,Industrials,000425.SZ,EQ,CNE000000FH0
AECC Aviation Power Co. Ltd,Industrials,600893.SS,EQ,CNE000000JW1
Dongfang Electric Corporation Limited,Industrials,600875.SS,EQ,CNE000000J28
RoboTechnik Intelligent Technology Co.  LTD,Industrials,300757.SZ,EQ,CNE100003JT0
Shanghai Electric Group Co.  Ltd.,Industrials,601727.SS,EQ,CNE100000D55
Daqin Railway Co.  Ltd.,Industrials,601006.SS,EQ,CNE000001NG4
