Company Name,Industry,Symbol,Series,ISIN Code
Zijin Mining Group,Materials,601899.SS,EQ,CNE100000B24
China Molybdenum,Materials,603993.SS,EQ,CNE100001NR0
Shandong Hongqiao Aluminum Industry Holding Company Limited,Materials,002379.SZ,EQ,CNE100000MW4
Wanhua Chemical Group,Materials,600309.SS,EQ,CNE0000016J9
Grace Fabric Technology Co. Ltd.,Materials,603256.SS,EQ,CNE100003MK3
China Tungsten And Hightech Materials Co. Ltd,Materials,000657.SZ,EQ,CNE0000006M4
Aluminum Corp of China,Materials,601600.SS,EQ,CNE1000000T0
Northern Rare Earth,Materials,600111.SS,EQ,CNE000000T18
Ningxia Baofeng Energy Group Co.  Ltd.,Materials,600989.SS,EQ,CNE100003LF5
China Jushi Co.  Ltd.,Materials,600176.SS,EQ,CNE000000YM1
Qinghai Salt Lake Industry Co. Ltd,Materials,000792.SZ,EQ,CNE000000SW2
Peric Special Gases Co.  Ltd.,Materials,688146.SS,EQ,CNE1000060J5
Ganfeng Lithium,Materials,002460.SZ,EQ,CNE100000SF6
Baowu Steel,Materials,600019.SS,EQ,CNE0000015R4
Jiangxi Copper,Materials,600362.SS,EQ,CNE0000019P0
Zangge Mining Company Limited,Materials,000408.SZ,EQ,CNE000000L08
Hengli Petrochemical,Materials,600346.SS,EQ,CNE0000018V0
Shandong Gold Mining Co.  Ltd.,Materials,600547.SS,EQ,CNE000001FR7
Zhejiang Juhua Co.  Ltd.,Materials,600160.SS,EQ,CNE000000WQ6
Rongsheng Petrochemical Co.  Ltd.,Materials,002493.SZ,EQ,CNE100000W60
Inner Mongolia Baotou Steel Union Co.  Ltd.,Materials,600010.SS,EQ,CNE0000017H1
Zhongjin Gold Corp. Ltd,Materials,600489.SS,EQ,CNE000001FM8
Sinoma Science & Technology Co. Ltd.,Materials,002080.SZ,EQ,CNE000001P78
Tianqi Lithium Corporation,Materials,002466.SZ,EQ,CNE100000T32
Xiamen Tungsten Co. Ltd.,Materials,600549.SS,EQ,CNE000001D15
Guangzhou Tinci Materials Technology Co.  Ltd.,Materials,002709.SZ,EQ,CNE100001RG4
Yunnan Aluminium Co.  Ltd.,Materials,000807.SZ,EQ,CNE000000VG9
Tongling Nonferrous Metals Group Co. Ltd.,Materials,000630.SZ,EQ,CNE000000529
Conch Cement,Materials,600585.SS,EQ,CNE0000019V8
Zhejiang Huayou Cobalt Co.  Ltd,Materials,603799.SS,EQ,CNE100001VW3
Jiujiang Defu Technology Co.  Limited,Materials,301511.SZ,EQ,CNE1000066P9
Jinduicheng Molybdenum Co.  Ltd.,Materials,601958.SS,EQ,CNE1000009Y1
Satellite Chemical Co. Ltd.,Materials,002648.SZ,EQ,CNE100001B07
Jiangsu Eastern Shenghong Co. Ltd.,Materials,000301.SZ,EQ,CNE0000012K6
Hubei Dinglong CO. Ltd.,Materials,300054.SZ,EQ,CNE100000LM7
Western Mining Co. Ltd.,Materials,601168.SS,EQ,CNE100000619
Haohua Chemical Science & Technology Corp.  Ltd.,Materials,600378.SS,EQ,CNE0000016V4
Citic Pacific Special Steel Group Co.  Ltd,Materials,000708.SZ,EQ,CNE0000008J6
