Company Name,Industry,Symbol,Series,ISIN Code
China Merchants Shekou Industrial Zone Holdings Co.  Ltd.,Real Estate,001979.SZ,EQ,CNE100002FC6
Poly Developments,Real Estate,600048.SS,EQ,CNE000001ND1
China Vanke,Real Estate,000002.SZ,EQ,CNE0000000T2
Hainan Airport Infrastructure Co.  Ltd,Real Estate,600515.SS,EQ,CNE000001C32
Vantone Neo Development Group Co.  Ltd.,Real Estate,600246.SS,EQ,CNE0000014S5
Shanghai Lujiazui Finance & Trade Zone Development Co. Ltd.,Real Estate,600663.SS,EQ,CNE0000009S5
Hangzhou Binjiang Real Estate Group Co. Ltd,Real Estate,002244.SZ,EQ,CNE100000BS5
Seazen Holdings Co.  Ltd,Real Estate,601155.SS,EQ,CNE100002BF8
Quzhou Xin'an Development Co.  Ltd.,Real Estate,600208.SS,EQ,CNE000000ZH8
Shenzhen Special Economic Zone Real Estate & Properties (Group) Co.  Ltd.,Real Estate,000029.SZ,EQ,CNE0000009X5
Shanghai Lingang Holdings Co. Ltd.,Real Estate,600848.SS,EQ,CNE000000C74
China World Trade Center Co.  Ltd.,Real Estate,600007.SS,EQ,CNE000000YH1
Greenland Holdings Corporation Limited,Real Estate,600606.SS,EQ,CNE000000388
Tibet Urban Development and Investment Co. LTD,Real Estate,600773.SS,EQ,CNE000000MT1
Jinke Property Group Co.  Ltd.,Real Estate,000656.SZ,EQ,CNE000000073
China Enterprise Company Limited,Real Estate,600675.SS,EQ,CNE000000B42
Hefei Urban Construction Development Co.  Ltd,Real Estate,002208.SZ,EQ,CNE100000940
Gemdale Corporation,Real Estate,600383.SS,EQ,CNE000001790
