Company Name,Industry,Symbol,Series,ISIN Code
Foxconn Industrial Internet Co. Ltd. Class A,Technology,601138.SS,EQ,CNE1000031P3
Zhongji Innolight Co. Ltd. Class A,Technology,300308.SZ,EQ,CNE100001CY9
Cambricon Technologies Corp. Ltd. Class A,Technology,688256.SS,EQ,CNE1000041R8
Semiconductor Manufacturing International Corp. Class A,Technology,688981.SS,EQ,CNE1000041W8
Hygon Information Technology Co. Ltd. Class A,Technology,688041.SS,EQ,CNE100005PT2
Luxshare Precision Industry Co. Ltd. Class A,Technology,002475.SZ,EQ,CNE100000TP3
Suzhou Dongshan Precision Manufacturing Co. Ltd Class A,Technology,002384.SZ,EQ,CNE100000N79
Suzhou TFC Optical Communication Co. Ltd. Class A,Technology,300394.SZ,EQ,CNE100001XQ1
Giga Device Semiconductor Inc. Class A,Technology,603986.SS,EQ,CNE1000030S9
Victory Giant Technology (HuiZhou) Co. Ltd. Class A,Technology,300476.SZ,EQ,CNE1000020V4
East Money Information Co. Ltd Class A,Technology,300059.SZ,EQ,CNE100000MD4
Hangzhou Hikvision Digital Technology Co. Ltd Class A,Technology,002415.SZ,EQ,CNE100000PM8
Montage Technology Co. Ltd. Class A,Technology,688008.SS,EQ,CNE100003MN7
Yangtze Optical Fibre & Cable Joint Stock Ltd. Co. Class A,Technology,601869.SS,EQ,CNE1000036B2
Hua Hong Grace Semiconductor Limited Class A,Technology,688347.SS,EQ,CNE100006M90
Wus Printed Circuit (Kunshan) Co. Ltd. Class A,Technology,002463.SZ,EQ,CNE100000SP5
Chaozhou Three-Circle (Group) Co. Ltd. Class A,Technology,300408.SZ,EQ,CNE100001Y42
Shennan Circuit Co. Ltd. Class A,Technology,002916.SZ,EQ,CNE100003373
Avary Holding (Shenzhen) Co. Ltd. Class A,Technology,002938.SZ,EQ,CNE100003GF5
BOE Technology Group Co. Ltd. Class A,Technology,000725.SZ,EQ,CNE0000016L5
BOE Technology Group Co. Ltd. Class B,Technology,200725.SZ,EQ,CNE000000R44
Shenzhen Longsys Electronics Co. Ltd. Class A,Technology,301308.SZ,EQ,CNE100005K10
ZTE Corporation Class A,Technology,000063.SZ,EQ,CNE000000TK5
Accelink Technologies Co. Ltd. Class A,Technology,002281.SZ,EQ,CNE100000F87
Yuanjie Semiconductor Technology Co. Ltd. Class A,Technology,688498.SS,EQ,CNE100005VF9
Piotech Inc. Class A,Technology,688072.SS,EQ,CNE100005998
Hithink RoyalFlush Information Network Co. Ltd. Class A,Technology,300033.SZ,EQ,CNE100000JG3
AVIC Chengdu Aircraft Company Limited Class A,Technology,302132.SZ,EQ,CNE100006T10
Huaqin Co. Ltd. Class A,Technology,603296.SS,EQ,CNE100006M82
Xi'an ESWIN Material Technology Co. Ltd. Class A,Technology,688783.SS,EQ,CNE100007D09
Biwin Storage Technology Co. Ltd. Class A,Technology,688525.SS,EQ,CNE100005VN3
Shenzhen Techwinsemi Technology Co. Ltd. Class A,Technology,001309.SZ,EQ,CNE100005GP9
Sieyuan Electric Co. Ltd. Class A,Technology,002028.SZ,EQ,CNE000001KM8
JCET Group Co. Ltd. Class A,Technology,600584.SS,EQ,CNE000001F05
Hangzhou Changchuan Technology Co. Ltd. Class A,Technology,300604.SZ,EQ,CNE100002Q09
Range Intelligent Computing Technology Group Company Limited Class A,Technology,300442.SZ,EQ,CNE100001Z58
Dawning Information Industry Co. Ltd. Class A,Technology,603019.SS,EQ,CNE100001TW7
VeriSilicon Microelectronics (Shanghai) Co. Ltd. Class A,Technology,688521.SS,EQ,CNE100004413
OmniVision Integrated Circuits Group Inc. Class A,Technology,603501.SS,EQ,CNE100002XM8
AVIC Shenyang Aircraft Co. Ltd. Class A,Technology,600760.SS,EQ,CNE000000MH6
AECC Aviation Power Co Ltd Class A,Technology,600893.SS,EQ,CNE000000JW1
Sharetronic Data Technology Co. Ltd. Class A,Technology,300857.SZ,EQ,CNE100004173
Zhejiang Century Huatong Group Co. Ltd. Class A,Technology,002602.SZ,EQ,CNE1000015R2
Beijing Kingsoft Office Software. Inc. Class A,Technology,688111.SS,EQ,CNE100003PM2
Shenzhen Sunway Communication Co. Ltd. Class A,Technology,300136.SZ,EQ,CNE100000W94
iflytek Co. Ltd. Class A,Technology,002230.SZ,EQ,CNE100000B81
TCL Technology Group Corporation Class A,Technology,000100.SZ,EQ,CNE000001GL8
