Company Name,Industry,Symbol,Series,ISIN Code
China Yangtze Power Co. Ltd. Class A,Utilities,600900.SS,EQ,CNE000001G87
Huadian New Energy Group Corporation Limited Class A,Utilities,600930.SS,EQ,CNE1000074V1
CGN Power Co. Ltd. Class A,Utilities,003816.SZ,EQ,CNE100003N43
China National Nuclear Power Co. Ltd. Class A,Utilities,601985.SS,EQ,CNE1000022N7
Huaneng Lancang River Hydropower Co Ltd Class A,Utilities,600025.SS,EQ,CNE100002T71
Huaneng Power International Inc. Class A,Utilities,600011.SS,EQ,CNE000001998
China Three Gorges Renewables (Group) Co. Ltd. Class A,Utilities,600905.SS,EQ,CNE1000051F2
Datang International Power Generation Co. Ltd. Class A,Utilities,601991.SS,EQ,CNE000001Q02
China Longyuan Power Group Corporation Ltd Class A,Utilities,001289.SZ,EQ,CNE1000057F9
SDIC Power Holdings Co. Ltd. Class A,Utilities,600886.SS,EQ,CNE000000JM2
GD Power Development Co. Ltd Class A,Utilities,600795.SS,EQ,CNE000000PC0
Guangxi Guiguan Electric Power Co. Ltd. Class A,Utilities,600236.SS,EQ,CNE0000011Y9
Zhejiang Zheneng Electric Power Co. Ltd. Class A,Utilities,600023.SS,EQ,CNE100001SP3
Jiangsu Eastern Shenghong Co. Ltd. Class A,Utilities,000301.SZ,EQ,CNE0000012K6
Sichuan Chuantou Energy Co. Ltd. Class A,Utilities,600674.SS,EQ,CNE000000BQ0
Huadian Energy Company Limited Class A,Utilities,600726.SS,EQ,CNE000000KX7
Huadian Energy Company Limited Class B,Utilities,900937.SS,EQ,CNE000000K58
SPIC Hydropower Co. Ltd. Class A,Utilities,600292.SS,EQ,CNE000001592
ENN Natural Gas Co. Ltd. Class A,Utilities,600803.SS,EQ,CNE000000DG7
Huadian Power International Corp. Ltd. Class A,Utilities,600027.SS,EQ,CNE000001LJ2
Beijing Jingneng Power Co. Ltd. Class A,Utilities,600578.SS,EQ,CNE000001B82
Shanghai Electric Power Co. Ltd. Class A,Utilities,600021.SS,EQ,CNE000001G53
Inner Mongolia MengDian HuaNeng Thermal Power Corporation Limited Class A,Utilities,600863.SS,EQ,CNE000000GN6
China Southern Power Grid Energy Storage Co. Ltd. Class A,Utilities,600995.SS,EQ,CNE000001JD9
Shenergy Co. Ltd. Class A,Utilities,600642.SS,EQ,CNE0000005Q7
Shaanxi Energy Investment Co. Ltd. Class A,Utilities,001286.SZ,EQ,CNE100005Z70
Wintime Energy Group Co. Ltd. Class A,Utilities,600157.SS,EQ,CNE000000WD4
Guangdong Electric Power Development Co. Ltd Class A,Utilities,000539.SZ,EQ,CNE0000006J0
Guangdong Electric Power Development Co. Ltd Class B,Utilities,200539.SZ,EQ,CNE000000HW5
Jiangsu Guoxin Corp. Ltd. Class A,Utilities,002608.SZ,EQ,CNE100001658
