Company Name,Industry,Symbol,Series,ISIN Code
Siemens AG,Industrials,SIE.DE,EQ,DE0007236101
SAP SE,Technology,SAP.DE,EQ,DE0007164600
Allianz SE,Financials,ALV.DE,EQ,DE0008404005
Deutsche Telekom AG,Communication Services,DTE.DE,EQ,DE0005557508
Siemens Energy AG,Technology,ENR.DE,EQ,DE000ENER6Y0
Siemens Energy AG,Industrials,ENER6Y.DE,EQ,DE000ENER6Y0
Infineon Technologies AG,Industrials,IFX.DE,EQ,DE0006231004
Muenchener Rueckversicherungs AG,Financials,MUV2.DE,EQ,DE0008430026
Merck KGaA,Health Care,MRK.DE,EQ,DE0006599905
Deutsche Post AG,Industrials,DHL.DE,EQ,DE0005552004
Rheinmetall AG,Industrials,RHM.DE,EQ,DE0007030009
Deutsche Bank AG,Financials,DBK.DE,EQ,DE0005140008
E.ON SE,Utilities,EOAN.DE,EQ,DE000ENAG999
E.ON SE,Utilities,ENAG99.DE,EQ,DE000ENAG999
Mercedes-Benz Group AG,Consumer Discretionary,MBG.DE,EQ,DE0007100000
Deutsche Boerse AG,Financials,DB1.DE,EQ,DE0005810055
Volkswagen AG,Consumer Discretionary,VOW.DE,EQ,DE0007664005
Volkswagen AG (Preference),Consumer Discretionary,VOW3.DE,EQ,DE0007664039
Dr. Ing. h.c. F. Porsche AG,Consumer Discretionary,P911.DE,EQ,DE000PAG9113
Porsche AG,Consumer Discretionary,PAG911.DE,EQ,DE000PAG9113
BASF SE,Materials,BAS.DE,EQ,DE000BASF111
BASF SE,Materials,BASF11.DE,EQ,DE000BASF111
RWE AG,Energy,RWE.DE,EQ,DE0007037129
Commerzbank AG,Financials,CBK0.DE,EQ,DE000A41YE64
Commerzbank AG,Financials,CBK100.DE,EQ,DE000CBK1001
Commerzbank AG,Financials,CBK.DE,EQ,DE000CBK1001
Bayerische Motoren Werke Aktiengesellschaft,Consumer Discretionary,BMW3.DE,EQ,DE0005190037
BMW AG,Consumer Discretionary,BMW.DE,EQ,DE0005190003
Siemens Healthineers AG,Health Care,SHL.DE,EQ,DE000SHL1006
Siemens Healthineers AG,Health Care,SHL100.DE,EQ,DE000SHL1006
HOCHTIEF Aktiengesellschaft,Industrials,HOT.DE,EQ,DE0006070006
Bayer AG,Health Care,BAYN.DE,EQ,DE000BAY0017
Bayer AG,Health Care,BAY001.DE,EQ,DE000BAY0017
HeidelbergCement AG (Heidelberg Materials),Materials,HEI.DE,EQ,DE0006047004
Daimler Truck Holding AG,Industrials,DTG.DE,EQ,DE000DTR0CK8
Daimler Truck Holding AG,Consumer Discretionary,DTR0CK.DE,EQ,DE000DTR0CK8
adidas AG,Consumer Staples,A1EWWW.DE,EQ,DE000A1EWWW0
Adidas AG,Consumer Discretionary,ADS.DE,EQ,DE000A1EWWW0
Hannover Rueck SE,Financials,HNR1.DE,EQ,DE0008402215
Henkel AG & Co. KGaA,Consumer Staples,HEN.DE,EQ,DE0006048408
Henkel AG & Co. KGaA,Consumer Staples,HEN3.DE,EQ,DE0006048432
Talanx AG,Financials,TLX.DE,EQ,DE000TLX1005
Talanx AG,Financials,TLX100.DE,EQ,DE000TLX1005
EnBW Energie Baden-Württemberg AG,Utilities,EBK.DE,EQ,DE0005220008
Fresenius SE & Co. KGaA,Health Care,FRE.DE,EQ,DE0005785604
Hapag-Lloyd Aktiengesellschaft,Industrials,HLAG.DE,EQ,DE000HLAG475
Hapag-Lloyd AG,Industrials,HLAG47.DE,EQ,DE000HLAG475
Uniper SE,Utilities,UN0.DE,EQ,DE000UNSE026
Uniper SE,Utilities,UNSE02.DE,EQ,DE000UNSE026
Vonovia SE,Real Estate,VNA.DE,EQ,DE000A1ML7J1
Vonovia SE,Financials,A1ML7J.DE,EQ,DE000A1ML7J1
Traton SE,Industrials,8TRA.DE,EQ,DE000TRAT0N7
TRATON SE,Consumer Discretionary,TRAT0N.DE,EQ,DE000TRAT0N7
MTU Aero Engines AG,Industrials,MTX.DE,EQ,DE000A0D9PT0
MTU Aero Engines AG,Technology,A0D9PT.DE,EQ,DE000A0D9PT0
Knorr-Bremse AG,Industrials,KBX.DE,EQ,DE000KBX1006
Knorr-Bremse AG,Industrials,KBX100.DE,EQ,DE000KBX1006
Beiersdorf AG,Consumer Staples,BEI.DE,EQ,DE0005200000
Continental AG,Industrials,CON.DE,EQ,DE0005439004
Sartorius AG,Health Care,SRT.DE,EQ,DE0007165607
Sartorius Aktiengesellschaft,Health Care,SRT3.DE,EQ,DE0007165631
Covestro AG,Materials,1COV.DE,EQ,DE0006062144
DWS Group GmbH & Co. KGaA,Financials,DWS.DE,EQ,DE000DWS1007
DWS Group GmbH & Co. KGaA,Financials,DWS100.DE,EQ,DE000DWS1007
Symrise AG,Industrials,SY1.DE,EQ,DE000SYM9999
Symrise AG,Materials,SYM999.DE,EQ,DE000SYM9999
Delivery Hero SE,Industrials,A2E4K4.DE,EQ,DE000A2E4K43
Delivery Hero SE TEMP,Industrials,DHE0.DE,EQ,DE000A0STS84
Delivery Hero SE,Consumer Discretionary,DHER.DE,EQ,DE000A2E4K43
Fresenius Medical Care AG & Co. KGaA,Health Care,FME.DE,EQ,DE0005785802
Deutsche Lufthansa AG,Industrials,LHA.DE,EQ,DE0008232125
Nordex SE,Energy,NDX1.DE,EQ,DE000A0D6554
Nordex SE,Industrials,A0D655.DE,EQ,DE000A0D6554
Porsche Automobil Holding SE,Consumer Discretionary,PAH3.DE,EQ,DE000PAH0038
Porsche Automobil Holding SE Pref,Consumer Discretionary,PAH003.DE,EQ,DE000PAH0038
Schaeffler AG,Consumer Discretionary,SHA0.DE,EQ,DE000SHA0100
Schaeffler AG,Industrials,SHA010.DE,EQ,DE000SHA0100
GEA Group AG,Industrials,G1A.DE,EQ,DE0006602006
Hensoldt AG,Industrials,HAG.DE,EQ,DE000HAG0005
HENSOLDT AG,Technology,HAG000.DE,EQ,DE000HAG0005
Aurubis AG,Materials,NDA.DE,EQ,DE0006766504
Brenntag SE,Industrials,BNR.DE,EQ,DE000A1DAHH0
Brenntag SE,Industrials,A1DAHH.DE,EQ,DE000A1DAHH0
Hella GmbH & Co. KGaA,Consumer Discretionary,HLE.DE,EQ,DE000A13SX22
HELLA GmbH & Co. KGaA,Industrials,A13SX2.DE,EQ,DE000A13SX22
OHB SE,Industrials,OHB.DE,EQ,DE0005936124
Rational AG,Industrials,RAA.DE,EQ,DE0007010803
