Company Name,Industry,Symbol,Series,ISIN Code
Deutsche Bank,Financials,DBK,EQ,
Allianz,Financials,ALV,EQ,
Munich Re,Financials,MUV2,EQ,
Commerzbank,Financials,CBK,EQ,
Deutsche Boerse,Financials,DB1,EQ,
DWS Group,Financials,DWS,EQ,
Hannover Re,Financials,HNR1,EQ,
Talanx,Financials,TLX,EQ,
comdirect bank,Financials,COM,EQ,
Hypoport,Financials,HYQ,EQ,
Bayer,Healthcare,BAYN,EQ,
Fresenius,Healthcare,FRE,EQ,
Fresenius Medical Care,Healthcare,FME,EQ,
Merck KGaA,Healthcare,MRK,EQ,
Siemens Healthineers,Healthcare,SHL,EQ,
Sartorius,Healthcare,SRT3,EQ,
Qiagen,Healthcare,QIA,EQ,
Evotec,Healthcare,EVT,EQ,
Carl Zeiss Meditec,Healthcare,AFX,EQ,
Gerresheimer,Healthcare,GXI,EQ,
SAP SE,Technology,SAP,EQ,
Infineon Technologies,Technology,IFX,EQ,
AIXTRON,Technology,AIXA,EQ,
Nemetschek,Technology,NEM,EQ,
TeamViewer,Technology,TMV,EQ,
Bechtle,Technology,BC8,EQ,
Software AG,Technology,SOW,EQ,
Compugroup Medical,Technology,COP,EQ,
Datagroup,Technology,D6H,EQ,
PSI Software,Technology,PSAN,EQ,
Siemens AG,Industrials,SIE,EQ,
Thyssenkrupp,Industrials,TKA,EQ,
KION Group,Industrials,KGX,EQ,
Knorr-Bremse,Industrials,KBX,EQ,
MTU Aero Engines,Industrials,MTX,EQ,
Deutz AG,Industrials,DEZ,EQ,
Wacker Neuson,Industrials,WAC,EQ,
Duerr AG,Industrials,DUE,EQ,
Jungheinrich,Industrials,JUN3,EQ,
Stabilus,Industrials,STM,EQ,
Adidas,ConsumerDisc,ADS,EQ,
Puma SE,ConsumerDisc,PUM,EQ,
Hugo Boss,ConsumerDisc,BOSS,EQ,
Zalando,ConsumerDisc,ZAL,EQ,
Delivery Hero,ConsumerDisc,DHER,EQ,
HelloFresh,ConsumerDisc,HFG,EQ,
Home24,ConsumerDisc,H24,EQ,
About You,ConsumerDisc,YOU,EQ,
Henkel,Consumer Staples,HEN3,EQ,
Beiersdorf,Consumer Staples,BEI,EQ,
Brenntag,Consumer Staples,BNR,EQ,
Baywa,Consumer Staples,BYW,EQ,
RWE AG,Energy,RWE,EQ,
E.ON SE,Utilities,EOAN,EQ,
Uniper SE,Energy,UN01,EQ,
Verbio,Energy,VBK,EQ,
BASF SE,Materials,BAS,EQ,
Evonik Industries,Materials,EVK,EQ,
Lanxess,Materials,LXS,EQ,
Wacker Chemie,Materials,WCH,EQ,
K+S AG,Materials,SDF,EQ,
Covestro,Materials,1COV,EQ,
Volkswagen,ConsumerDisc,VOW3,EQ,
BMW Group,ConsumerDisc,BMW,EQ,
Mercedes-Benz Group,ConsumerDisc,MBG,EQ,
Porsche AG,ConsumerDisc,P911,EQ,
Continental AG,ConsumerDisc,CON,EQ,
Schaeffler,ConsumerDisc,SHA,EQ,
Hella,ConsumerDisc,HLE,EQ,
Leoni AG,ConsumerDisc,LEI,EQ,
Deutsche Telekom,CommServices,DTE,EQ,
Freenet AG,CommServices,FNTN,EQ,
United Internet,CommServices,UTDI,EQ,
ProSiebenSat1,CommServices,PSM,EQ,
Axel Springer,CommServices,SPR,EQ,
Ströer Media,CommServices,SAX,EQ,
Deutsche Post DHL,Industrials,DHL,EQ,
Hapag-Lloyd,Industrials,HLAG,EQ,
Kühne + Nagel,Industrials,KNIN,EQ,
Rheinmetall,Industrials,RHM,EQ,
Vonovia,RealEstate,VNA,EQ,
Deutsche Wohnen,RealEstate,DWNI,EQ,
LEG Immobilien,RealEstate,LEG,EQ,
TAG Immobilien,RealEstate,TEG,EQ,
Aroundtown,RealEstate,AT1,EQ,
Grand City Properties,RealEstate,GYC,EQ,
