Company Name,Industry,Symbol,Series,ISIN Code
adidas AG,Consumer Staples,A1EWWW.DE,EQ,DE000A1EWWW0
Henkel AG & Co. KGaA,Consumer Staples,HEN.DE,EQ,DE0006048408
Henkel AG & Co. KGaA,Consumer Staples,HEN3.DE,EQ,DE0006048432
Beiersdorf AG,Consumer Staples,BEI.DE,EQ,DE0005200000
HUGO BOSS AG,Consumer Staples,A1PHFF.DE,EQ,DE000A1PHFF7
Südzucker AG,Consumer Staples,SZU.DE,EQ,DE0007297004
BayWa AG,Consumer Staples,BYW6.DE,EQ,DE0005194062
FRoSTA AG,Consumer Staples,NLM.DE,EQ,DE0006069008
Hellofresh SE,Consumer Staples,HFG.DE,EQ,DE000A161408
Schloss Wachenheim AG,Consumer Staples,SWA.DE,EQ,DE0007229007
