Company Name,Industry,Symbol,Series,ISIN Code
Merck KGaA,Health Care,MRK.DE,EQ,DE0006599905
Siemens Healthineers AG,Health Care,SHL.DE,EQ,DE000SHL1006
Siemens Healthineers AG,Health Care,SHL100.DE,EQ,DE000SHL1006
Bayer AG,Health Care,BAYN.DE,EQ,DE000BAY0017
Bayer AG,Health Care,BAY001.DE,EQ,DE000BAY0017
Fresenius SE & Co. KGaA,Health Care,FRE.DE,EQ,DE0005785604
Sartorius AG,Health Care,SRT.DE,EQ,DE0007165607
Sartorius Aktiengesellschaft,Health Care,SRT3.DE,EQ,DE0007165631
Fresenius Medical Care AG & Co. KGaA,Health Care,FME.DE,EQ,DE0005785802
Fielmann Group AG,Health Care,FIE.DE,EQ,DE0005772206
Ottobock SE & Co. KGaA I,Health Care,OBCK.DE,EQ,DE000BCK2223
Ottobock SE & Co. KGaA,Health Care,BCK222.DE,EQ,DE000BCK2223
SCHOTT Pharma AG & Co. KGaA,Health Care,1SXP.DE,EQ,DE000A3ENQ51
SCHOTT Pharma AG & Co. KGaA,Health Care,A3ENQ5.DE,EQ,DE000A3ENQ51
Dermapharm Holding SE,Health Care,DMP.DE,EQ,DE000A2GS5D8
Dermapharm Holding SE,Health Care,A2GS5D.DE,EQ,DE000A2GS5D8
Carl Zeiss Meditec AG,Health Care,AFX.DE,EQ,DE0005313704
Drägerwerk AG & Co. KGaA,Health Care,DRW8.DE,EQ,DE0005550602
Drägerwerk AG & Co. KGaA,Health Care,DRW3.DE,EQ,DE0005550636
CompuGroup Medical SE & Co. KGaA,Health Care,A28890.DE,EQ,DE000A288904
Eckert & Ziegler SE,Health Care,EUZ.DE,EQ,DE0005659700
RHON-KLINIKUM AG,Health Care,RHK.DE,EQ,DE0007042301
PAUL HARTMANN AG,Health Care,PHH2.DE,EQ,DE0007474041
Formycon AG,Health Care,A1EWVY.DE,EQ,DE000A1EWVY8
Formycon AG,Health Care,FYB.DE,EQ,DE000A1EWVY8
M1 Kliniken AG,Health Care,M12.DE,EQ,DE000A0STSQ8
M1 Kliniken AG,Health Care,A0STSQ.DE,EQ,DE000A0STSQ8
STRATEC SE,Health Care,SBS.DE,EQ,DE000STRA555
STRATEC SE,Health Care,STRA55.DE,EQ,DE000STRA555
MEDICLIN Aktiengesellschaft,Health Care,MED.DE,EQ,DE0006595101
Limes Schlosskliniken AG,Health Care,LIK.DE,EQ,DE000A0JDBC7
Limes Schlosskliniken AG,Health Care,A0JDBC.DE,EQ,DE000A0JDBC7
Heidelberg Pharma AG,Health Care,HPHA.DE,EQ,DE000A11QVV0
Heidelberg Pharma AG,Health Care,A11QVV.DE,EQ,DE000A11QVV0
