Company Name,Industry,Symbol,Series,ISIN Code
Siemens AG,Industrials,SIE.DE,EQ,DE0007236101
Siemens Energy AG,Industrials,ENER6Y.DE,EQ,DE000ENER6Y0
Infineon Technologies AG,Industrials,IFX.DE,EQ,DE0006231004
Deutsche Post AG,Industrials,DHL.DE,EQ,DE0005552004
Rheinmetall AG,Industrials,RHM.DE,EQ,DE0007030009
HOCHTIEF Aktiengesellschaft,Industrials,HOT.DE,EQ,DE0006070006
Daimler Truck Holding AG,Industrials,DTG.DE,EQ,DE000DTR0CK8
Hapag-Lloyd Aktiengesellschaft,Industrials,HLAG.DE,EQ,DE000HLAG475
Hapag-Lloyd AG,Industrials,HLAG47.DE,EQ,DE000HLAG475
Traton SE,Industrials,8TRA.DE,EQ,DE000TRAT0N7
MTU Aero Engines AG,Industrials,MTX.DE,EQ,DE000A0D9PT0
Knorr-Bremse AG,Industrials,KBX.DE,EQ,DE000KBX1006
Knorr-Bremse AG,Industrials,KBX100.DE,EQ,DE000KBX1006
Continental AG,Industrials,CON.DE,EQ,DE0005439004
Symrise AG,Industrials,SY1.DE,EQ,DE000SYM9999
Delivery Hero SE,Industrials,A2E4K4.DE,EQ,DE000A2E4K43
Delivery Hero SE TEMP,Industrials,DHE0.DE,EQ,DE000A0STS84
Deutsche Lufthansa AG,Industrials,LHA.DE,EQ,DE0008232125
Nordex SE,Industrials,A0D655.DE,EQ,DE000A0D6554
Schaeffler AG,Industrials,SHA010.DE,EQ,DE000SHA0100
GEA Group AG,Industrials,G1A.DE,EQ,DE0006602006
Hensoldt AG,Industrials,HAG.DE,EQ,DE000HAG0005
Brenntag SE,Industrials,BNR.DE,EQ,DE000A1DAHH0
Brenntag SE,Industrials,A1DAHH.DE,EQ,DE000A1DAHH0
HELLA GmbH & Co. KGaA,Industrials,A13SX2.DE,EQ,DE000A13SX22
OHB SE,Industrials,OHB.DE,EQ,DE0005936124
Rational AG,Industrials,RAA.DE,EQ,DE0007010803
thyssenkrupp AG,Industrials,TKA.DE,EQ,DE0007500001
AIXTRON SE,Industrials,A0WMPJ.DE,EQ,DE000A0WMPJ6
Fraport AG,Industrials,FRA.DE,EQ,DE0005773303
KION Group AG,Industrials,KGX.DE,EQ,DE000KGX8881
KION GROUP AG,Industrials,KGX888.DE,EQ,DE000KGX8881
RENK Group AG,Industrials,R3NK.DE,EQ,DE000RENK730
TKMS AG & Co KGaA,Industrials,TKMS.DE,EQ,DE000TKMS001
TKMS AG & Co. KGaA,Industrials,TKMS00.DE,EQ,DE000TKMS001
