Company Name,Industry,Symbol,Series,ISIN Code
E.ON SE,Utilities,EOAN.DE,EQ,DE000ENAG999
E.ON SE,Utilities,ENAG99.DE,EQ,DE000ENAG999
EnBW Energie Baden-Württemberg AG,Utilities,EBK.DE,EQ,DE0005220008
Uniper SE,Utilities,UN0.DE,EQ,DE000UNSE026
Uniper SE,Utilities,UNSE02.DE,EQ,DE000UNSE026
Mainova AG,Utilities,MNV6.DE,EQ,DE0006553464
Lechwerke AG,Utilities,LEC.DE,EQ,DE0006458003
MVV Energie AG,Utilities,A0H52F.DE,EQ,DE000A0H52F5
MVV Energie AG,Utilities,MVV1.DE,EQ,DE000A0H52F5
GELSENWASSER AG,Utilities,WWG.DE,EQ,DE0007760001
2G Energy AG,Utilities,A0HL8N.DE,EQ,DE000A0HL8N9
PNE AG,Utilities,PNE3.DE,EQ,DE000A0JBPG2
PNE AG,Utilities,A0JBPG.DE,EQ,DE000A0JBPG2
Energiekontor AG,Utilities,EKT.DE,EQ,DE0005313506
7C Solarparken AG,Utilities,HRPK.DE,EQ,DE000A11QW68
7C Solarparken AG,Utilities,A11QW6.DE,EQ,DE000A11QW68
