Company Name,Industry,Symbol,Series,ISIN Code
Industria de Diseno Textil S.A.,Consumer Discretionary,ITX.MC,EQ,ES0148396007
Banco Santander S.A.,Financials,SAN.MC,EQ,ES0113900J37
Airbus SE,Technology,AIR.MC,EQ,NL0000235190
Iberdrola SA,Utilities,IBE.MC,EQ,ES0144580Y14
Banco Bilbao Vizcaya Argentaria S.A.,Financials,BBVA.MC,EQ,ES0113211835
Petroleo Brasileiro SA,Energy,XPBR.MC,EQ,BRPETRACNOR9
Petroleo Brasileiro SA Pfd,Energy,XPBRA.MC,EQ,BRPETRACNPR6
CaixaBank SA,Financials,CABK.MC,EQ,ES0140609019
Vale S.A.,Materials,XVALO.MC,EQ,BRVALEACNOR0
ArcelorMittal SA,Materials,MTS.MC,EQ,LU1598757687
Ferrovial N.V.,Industrials,FER.MC,EQ,NL0015001FS8
Endesa S.A.,Utilities,ELE.MC,EQ,ES0130670112
Aena SME SA,Industrials,AENA.MC,EQ,ES0105046017
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP.MC,EQ,GB00BDCPN049
ACS Actividades de Construccion y Servicios SA,Industrials,ACS.MC,EQ,ES0167050915
Banco Bradesco SA Pfd,Financials,XBBDC.MC,EQ,BRBBDCACNPR8
Naturgy Energy Group S.A.,Utilities,NTGY.MC,EQ,ES0116870314
Repsol SA,Energy,REP.MC,EQ,ES0173516115
Grupo Financiero Banorte SAB de CV Class O,Financials,XNOR.MC,EQ,MXP370711014
Amadeus IT Group SA Class A,Technology,AMS.MC,EQ,ES0109067019
Telefonica SA,Communication Services,TEF.MC,EQ,ES0178430E18
International Consolidated Airlines Group SA,Industrials,IAG.MC,EQ,ES0177542018
AXIA Energia SA,Utilities,XAXIA.MC,EQ,BRAXIAACNOR0
AXIA Energia SA Non-Cum Perp Pfd Registered Shs C,Utilities,XAXIC.MC,EQ,BRAXIAACNPC9
Cellnex Telecom S.A.,Industrials,CLNX.MC,EQ,ES0105066007
Banco de Sabadell SA,Financials,SAB.MC,EQ,ES0113860A34
Acciona SA,Industrials,ANA.MC,EQ,ES0125220311
Bankinter SA,Financials,BKT.MC,EQ,ES0113679I37
Mapfre SA,Financials,MAP.MC,EQ,ES0124244E34
Indra Sistemas S.A. Class A,Technology,IDR.MC,EQ,ES0118594417
MERLIN Properties SOCIMI S.A.,Financials,MRL.MC,EQ,ES0105025003
Puig Brands S.A. Class B,Consumer Staples,PUIG.MC,EQ,ES0105777017
Redeia Corporacion SA,Utilities,RED.MC,EQ,ES0173093024
Corporacion Acciona Energias Renovables SA,Utilities,ANE.MC,EQ,ES0105563003
Gerdau S.A. Pfd,Materials,XGGB.MC,EQ,BRGGBRACNPR8
Unicaja Banco S.A.,Financials,UNI.MC,EQ,ES0180907000
Companhia Paranaense de Energia,Utilities,XCOPO.MC,EQ,BRCPLEACNOR8
Companhia Energetica de Minas Gerais SA Pfd,Utilities,XCMIG.MC,EQ,BRCMIGACNPR3
Grifols S.A. Pref Class B,Health Care,GRF.P.MC,EQ,ES0171996095
Grifols S.A. Class A,Health Care,GRF.MC,EQ,ES0171996087
Fomento de Construcciones y Contratas S.A.,Industrials,FCC.MC,EQ,ES0122060314
Enagas SA,Utilities,ENG.MC,EQ,ES0130960018
Sigma Foods S.A.B. de C.V.,Consumer Staples,XSIGF.MC,EQ,MXP000511016
Logista Integral S.A.,Industrials,LOG.MC,EQ,ES0105027009
General de Galerias Comerciales SA,Financials,GGC.MC,EQ,ES0105195004
Grupo Elektra SAB de CV,Financials,XEKT.MC,EQ,MX01EL000003
Acerinox SA,Materials,ACX.MC,EQ,ES0132105018
Aperam S.A.,Materials,APAM.MC,EQ,LU0569974404
Sacyr SA,Industrials,SCYR.MC,EQ,ES0182870214
Fluidra S.A.,Consumer Discretionary,FDR.MC,EQ,ES0137650018
Grenergy Renovables S.A,Industrials,GRE.MC,EQ,ES0105079000
CIE Automotive S.A.,Industrials,CIE.MC,EQ,ES0105630315
Colonial SFL SOCIMI SA,Financials,COL.MC,EQ,ES0139140174
Elecnor S.A.,Industrials,ENO.MC,EQ,ES0129743318
Banco BBVA Argentina SA,Financials,XBBAR.MC,EQ,ARP125991090
Solaria Energia y Medio Ambiente S.A.,Utilities,SLR.MC,EQ,ES0165386014
Laboratorios Farmaceuticos Rovi S.A.,Health Care,ROVI.MC,EQ,ES0157261019
Ebro Foods SA,Materials,EBRO.MC,EQ,ES0112501012
Vidrala SA,Materials,VID.MC,EQ,ES0183746314
Viscofan S.A.,Materials,VIS.MC,EQ,ES0184262212
Tecnicas Reunidas SA,Industrials,TRE.MC,EQ,ES0178165017
Melia Hotels International S.A.,Consumer Discretionary,MEL.MC,EQ,ES0176252718
Almirall SA,Health Care,ALM.MC,EQ,ES0157097017
Distribuidora Internacional de Alimentacion SA,Consumer Discretionary,DIA.MC,EQ,ES0126775008
Arteche Lantegi Elkartea SA,Industrials,ART.MC,EQ,ES0105521001
Usinas Siderurgicas de Minas Gerais SA-Usiminas,Materials,XUSIO.MC,EQ,BRUSIMACNOR3
Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd A,Materials,XUSI.MC,EQ,BRUSIMACNPA6
Construcciones y Auxiliar de Ferrocarriles S.A.,Industrials,CAF.MC,EQ,ES0121975009
MFE-MediaForEurope NV Class A,Consumer Discretionary,MFEA.MC,EQ,NL0015001OI1
Cirsa Enterprises S.A.U.,Industrials,CIRSA.MC,EQ,ES0105884011
Gestamp Automocion S.A.,Industrials,GEST.MC,EQ,ES0105223004
INMOCEMENTO SA,Financials,IMC.MC,EQ,ES0105836003
Hbx Group International Plc,Consumer Discretionary,HBX.MC,EQ,GB00BNXJB679
Pharma Mar SA,Health Care,PHM.MC,EQ,ES0169501022
