Company Name,Industry,Symbol,Series,ISIN Code
Inditex,ConsumerDisc,ITX.MC,EQ,
Iberdrola,Utilities,IBE.MC,EQ,
Banco Santander,Financials,SAN.MC,EQ,
BBVA,Financials,BBVA.MC,EQ,
CaixaBank,Financials,CABK.MC,EQ,
Banco Sabadell,Financials,SAB.MC,EQ,
Bankinter,Financials,BKT.MC,EQ,
Mapfre,Financials,MAP.MC,EQ,
Amadeus IT,Technology,AMS.MC,EQ,
Telefonica,CommServices,TEF.MC,EQ,
Cellnex Telecom,CommServices,CLNX.MC,EQ,
Redeia,Utilities,RED.MC,EQ,
Endesa,Utilities,ELE.MC,EQ,
Naturgy Energy,Utilities,NTGY.MC,EQ,
Enagas,Utilities,ENG.MC,EQ,
Repsol,Energy,REP.MC,EQ,
ACS Group,Industrials,ACS.MC,EQ,
Ferrovial,Industrials,FER.MC,EQ,
Acciona,Industrials,ANA.MC,EQ,
Sacyr,Industrials,SCYR.MC,EQ,
Fluidra,Industrials,FDR.MC,EQ,
Solaria,Energy,SLR.MC,EQ,
Grifols,Healthcare,GRF.MC,EQ,
Almirall,Healthcare,ALM.MC,EQ,
Pharma Mar,Healthcare,PHM.MC,EQ,
Merlin Properties,RealEstate,MRL.MC,EQ,
Colonial,RealEstate,COL.MC,EQ,
Melia Hotels,ConsumerDisc,MEL.MC,EQ,
IAG (Iberia),Industrials,IAG.MC,EQ,
Aena,Industrials,AENA.MC,EQ,
Logista,Industrials,LOG.MC,EQ,
Viscofan,Consumer Staples,VIS.MC,EQ,
Ebro Foods,Consumer Staples,EBRO.MC,EQ,
Unicaja Banco,Financials,UNI.MC,EQ,
Rovi,Healthcare,ROVI.MC,EQ,
CIE Automotive,ConsumerDisc,CIE.MC,EQ,
Gestamp Automocion,ConsumerDisc,GEST.MC,EQ,
Indra Sistemas,Technology,IDR.MC,EQ,
Acerinox,Materials,ACX.MC,EQ,
ArcelorMittal,Materials,MTS.MC,EQ,
Tubacex,Materials,TUB.MC,EQ,
Ence Energia,Materials,ENC.MC,EQ,
Grupo Catalana Occidente,Financials,GCO.MC,EQ,
Linea Directa,Financials,LDA.MC,EQ,
Corporacion Financiera Alba,Financials,ALB.MC,EQ,
Faes Farma,Healthcare,FAE.MC,EQ,
Laboratorios Reig Jofre,Healthcare,RJF.MC,EQ,
Vidrala,Materials,VID.MC,EQ,
Applus Services,Industrials,APPS.MC,EQ,
Tecnicas Reunidas,Industrials,TRE.MC,EQ,
Global Dominion,Industrials,DOM.MC,EQ,
Atresmedia,CommServices,A3M.MC,EQ,
Mediaset Espana,CommServices,TL5.MC,EQ,
Prosegur,Industrials,PSG.MC,EQ,
Inmobiliaria del Sur,RealEstate,ISUR.MC,EQ,
Lar Espana,RealEstate,LRE.MC,EQ,
