Company Name,Industry,Symbol,Series,ISIN Code
Inditex,Consumer Discretionary,ITX.MC,EQ,ES0148396007
CIE Automotive,Consumer Discretionary,CIE.MC,EQ,ES0105630315
Melia Hotels,Consumer Discretionary,MEL.MC,EQ,ES0176252718
Distribuidora Internacional de Alimentacion SA,Consumer Discretionary,DIA.MC,EQ,ES0126775008
Gestamp Automocion,Consumer Discretionary,GEST.MC,EQ,ES0105223004
AmRest Holdings SE,Consumer Discretionary,EAT.MC,EQ,ES0105375002
Promotora de Informaciones  S.A. Class A,Consumer Discretionary,PRS.MC,EQ,ES0171743901
Secuoya Grupo de Comunicacion SA,Consumer Discretionary,SEC.MC,EQ,ES0131703003
Squirrel Media SA,Consumer Discretionary,SQRL.MC,EQ,ES0183304080
Vocento  S.A.,Consumer Discretionary,VOC.MC,EQ,ES0114820113
Club De Futbol Intercity SAD,Consumer Discretionary,CITY.MC,EQ,ES0105606190
Vanadi Coffee SA,Consumer Discretionary,VANA.MC,EQ,ES0105716130
Ibervalles Hoteles Socimi  S.A.,Consumer Discretionary,SCIBH.MC,EQ,ES0106005004
Hannun SA,Consumer Discretionary,HAN.MC,EQ,ES0105637005
Grandvoyage Travel SA,Consumer Discretionary,SCGV.MC,EQ,ES0105979001
Veracruz Properties Socimi SA,Consumer Discretionary,YVCP.MC,EQ,ES0105330007
